Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction
1.0,,,,,159.26119537353514,0.06614904403686522,0.17147796750068664,0.10646730586886402,0.7140625,0.2859375
2.0,,,,,845.4309326171875,0.011899304389953569,0.2049684152007103,0.13110211864113802,0.74296875,0.25703125
3.0,,,,,363.138623046875,0.0119663000106811,0.1665905654430389,0.10192556753754609,0.7765625,0.2234375
4.0,,,,,488.7447021484375,0.01164803504943841,0.13234816715121264,0.07959945872426029,0.79609375,0.20390625
5.0,,,,,524.55390625,0.011613631248474057,0.1544544406235218,0.09665134921669957,0.79140625,0.20859375
6.0,,,,,369.8455810546875,0.01173725128173823,0.15323966145515439,0.09313398450613017,0.80625,0.19375
7.0,,,,,314.5694549560547,0.01176719665527339,0.15342264473438263,0.09208263903856274,0.81640625,0.18359375
8.0,,,,,381.2415710449219,0.0116094827651977,0.1605666622519493,0.10199800506234165,0.83359375,0.16640625
9.0,,,,,368.8232116699219,0.01167945861816402,0.1555521160364151,0.09618830457329747,0.85546875,0.14453125
10.0,,,,,272.0349609375,0.01164405345916743,0.16727555245161055,0.10524494200944898,0.840625,0.159375
11.0,,,,,261.0380142211914,0.01162209510803218,0.15848823040723797,0.10022053867578506,0.85390625,0.14609375
12.0,,,,,310.4072326660156,0.011855292320251419,0.1563182026147842,0.09597227871417995,0.86015625,0.13984375
13.0,,,,,290.11940307617186,0.011711025238037059,0.1448642700910568,0.08966594189405437,0.846875,0.153125
14.0,,,,,226.2117141723633,0.01158885955810542,0.14568894356489176,0.09273049905896183,0.8609375,0.1390625
15.0,,,,,221.72555541992188,0.011944127082824661,0.17372176349163054,0.11170857474207876,0.8421875,0.1578125
16.0,,,,,256.12679595947264,0.01172356605529781,0.1554530009627342,0.09599635675549503,0.8296875,0.1703125
17.0,,,,,241.64283447265626,0.011940956115722582,0.163305227458477,0.09873219057917593,0.84140625,0.15859375
18.0,,,,,188.50245819091796,0.011657619476318309,0.17544592171907422,0.10980832725763319,0.84296875,0.15703125
19.0,,,,,204.49830780029296,0.01212487220764156,0.17777924984693524,0.11064748466014858,0.8234375,0.1765625
20.0,,,,,222.14495849609375,0.011888194084167419,0.16032944768667218,0.09759524390101428,0.84140625,0.15859375
21.0,,,,,209.00231018066407,0.011794924736022911,0.16308790445327756,0.09884445443749422,0.82109375,0.17890625
22.0,,,,,176.23858489990235,0.01206097602844233,0.17355885207653043,0.10738940611481662,0.8359375,0.1640625
23.0,,,,,186.21236267089844,0.012000727653503369,0.16244176477193834,0.100733295828104,0.82578125,0.17421875
24.0,,,,,192.95789031982423,0.011640095710754361,0.1726229593157768,0.10638903081417081,0.85078125,0.14921875
25.0,,,,,172.47323455810547,0.011668610572814889,0.1666849948465824,0.10323112457990644,0.85390625,0.14609375
26.0,,,,,162.92957305908203,0.01163794994354244,0.15388316363096236,0.09752519205212587,0.8484375,0.1515625
27.0,,,,,175.69364013671876,0.011688089370727479,0.15716980695724486,0.1005263693630695,0.86875,0.13125
28.0,,,,,169.70482940673827,0.01167361736297601,0.14332187473773955,0.08880510181188575,0.875,0.125
29.0,,,,,154.11371917724608,0.01177783012390132,0.15425116717815396,0.09283205717802044,0.88515625,0.11484375
30.0,,,,,166.81928405761718,0.011752939224243118,0.15953641682863234,0.09657218530774112,0.8625,0.1375
31.0,,,,,161.63841857910157,0.01164193153381343,0.1539880834519863,0.09508350715041156,0.86796875,0.13203125
32.0,,,,,148.4175827026367,0.0115724086761474,0.16723691076040265,0.10523040443658824,0.85859375,0.14140625
33.0,,,,,150.094482421875,0.01167776584625239,0.1706813499331474,0.10631923303008076,0.85234375,0.14765625
34.0,,,,,151.46082305908203,0.011650681495666459,0.16952371001243588,0.1060195848345756,0.87109375,0.12890625
35.0,,,,,144.52713775634766,0.01160190105438227,0.15931553095579146,0.09849501997232431,0.86015625,0.13984375
36.0,,,,,142.86267700195313,0.011640739440917917,0.16455188393592832,0.10080766379833217,0.87734375,0.12265625
37.0,,,,,138.01270446777343,0.01160652637481684,0.1673706069588661,0.10369151383638382,0.86953125,0.13046875
38.0,,,,,137.05083999633788,0.01197514533996576,0.16626581102609633,0.09955667480826375,0.86015625,0.13984375
39.0,,,,,139.79705810546875,0.0116761684417724,0.15793195366859436,0.09844271391630169,0.87421875,0.12578125
40.0,,,,,133.8941566467285,0.0119261264801025,0.16108668744564053,0.09747556149959556,0.85703125,0.14296875
41.0,,,,,133.8679557800293,0.011958479881286569,0.1642057716846466,0.1011557839810848,0.85234375,0.14765625
42.0,,,,,134.48842239379883,0.0115908861160278,0.16592930555343627,0.10285204127430914,0.8703125,0.1296875
43.0,,,,,131.73320999145508,0.011898732185363721,0.17254118919372557,0.10754793137311933,0.84921875,0.15078125
44.0,,,,,132.89429931640626,0.01170718669891353,0.16347713470458983,0.09951852932572361,0.8703125,0.1296875
45.0,,,,,128.5447967529297,0.01164467334747309,0.18121232986450192,0.11171398982405659,0.86484375,0.13515625
46.0,,,,,125.56422805786133,0.011864519119262649,0.16514008641242978,0.10177393928170202,0.875,0.125
47.0,,,,,125.11287994384766,0.01176950931549067,0.1533333487808704,0.09502703547477717,0.865625,0.134375
48.0,,,,,121.5249412536621,0.011755490303039521,0.1639563754200935,0.10342973098158832,0.88671875,0.11328125
49.0,,,,,125.77887573242188,0.011846041679382259,0.15519332140684122,0.09538220092654226,0.88984375,0.11015625
50.0,,,,,124.2482666015625,0.01189208030700678,0.14868267029523846,0.09138092100620267,0.8734375,0.1265625
51.0,,,,,122.63725814819335,0.012102985382080041,0.15607292205095288,0.09622047096490857,0.88671875,0.11328125
52.0,,,,,119.79896545410156,0.01264932155609127,0.17375081330537795,0.10578167065978047,0.87890625,0.12109375
53.0,,,,,120.68295974731446,0.012117481231689398,0.15052930787205696,0.09259383007884023,0.88515625,0.11484375
54.0,,,,,118.11504135131835,0.01207251548767086,0.15701714754104612,0.09596473947167392,0.88828125,0.11171875
55.0,,,,,117.18884658813477,0.011714839935302679,0.16789996922016143,0.10189155265688891,0.88125,0.11875
56.0,,,,,116.75584030151367,0.01189799308776851,0.15925211310386655,0.10052651688456533,0.884375,0.115625
