Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction
1.0,27927.52890625,15935.62822265625,5.216030788421631,0.9669038236141205,44830.06095252037,0.3989877700805664,0.19281233996152874,0.1206237845122814,0.6890625,0.3109375
2.0,43087.187890625,16417.24111328125,0.5117246359586716,0.988816910982132,60493.24591488838,0.17498643398284913,0.05470095202326769,0.036924705468118144,0.96640625,0.03359375
3.0,39606.9765625,16013.3974609375,0.02165064380387771,0.9904601454734803,56610.83416891098,0.17545535564422607,0.014430086687207171,0.012940255925059277,0.9984375,0.0015625
4.0,38823.291015625,15551.86962890625,7.042341222813285e-05,0.9870483875274658,55362.209032058716,0.17503776550292965,0.01125638345256442,0.010771392192691518,1.0,0.0
5.0,35030.223828125,15204.8939453125,1.0672313569992653e-05,0.9435248613357544,51178.642634773256,0.17531633377075193,0.01146695660427209,0.01096189273521299,1.0,0.0
6.0,35482.373046875,15198.44755859375,5.154891104689613e-06,0.9703022480010987,51651.122853469846,0.17512581348419187,0.011691585369408081,0.01095718909054991,1.0,0.0
7.0,35294.430859375,15387.0177734375,2.237015553129148e-06,0.9456633269786835,51627.11195979118,0.17487359046936035,0.012866846378892608,0.009522143844515048,1.0,0.0
8.0,35109.6333984375,15656.84873046875,8.701154404968185e-07,0.8996834754943848,51666.16560440064,0.17501072883605956,0.01365602808073157,0.010125171486288269,1.0,0.0
9.0,34414.4599609375,15485.00390625,2.583433004621489e-07,0.9138527035713195,50813.31657075882,0.17511727809906003,0.013601471669971901,0.00927139534614977,1.0,0.0
10.0,33698.795703125,15475.8125,8.784459094641625e-08,0.8930179476737976,50067.626150798795,0.17497830390930175,0.01316333180293435,0.00926808081567282,1.0,0.0
11.0,33037.580078125,15342.31962890625,5.6097770206943976e-08,0.8217145651578903,49201.61427218914,0.17508692741394044,0.01242576045915479,0.00855644326657054,1.0,0.0
12.0,33061.6466796875,15320.54150390625,4.1121732264175994e-08,0.7805520504713058,49162.74023406506,0.17506661415100094,0.013672617170959661,0.00920706270262597,1.0,0.0
13.0,32972.615234375,15547.7357421875,4.6859970634809796e-08,0.8945233047008514,49414.87428126335,0.17532994747161862,0.01540605220943686,0.00948542067781087,1.0,0.0
14.0,32714.875,15758.79541015625,9.928194647307763e-08,0.8908233523368836,49364.49376249313,0.17502536773681637,0.01448609866201873,0.009914222080260479,1.0,0.0
15.0,31920.304296875,15900.237890625,1.447410379847717e-07,0.917808723449707,48738.35091094971,0.17510678768157958,0.01414918322116133,0.00987441991455849,1.0,0.0
16.0,31203.471875,16002.298828125,1.4699667984974187e-07,0.862728601694107,48068.49930481911,0.17540745735168456,0.013862199522554842,0.010488258581608489,1.0,0.0
17.0,31097.980078125,16074.74921875,1.7741607029987179e-07,0.7450362980365753,47917.76559491157,0.1753141403198242,0.013706550281494808,0.010096808290108991,1.0,0.0
18.0,31056.7912109375,16144.18876953125,2.5781223847972867e-07,0.8756337344646454,48076.613714933395,0.17505340576171874,0.01515578115358944,0.00943768797442314,1.0,0.0
