Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction
1,28746.8359375,16077.271484375,4.459752082824707,0.9637039303779602,50247.56343507767,0.03459000587463379,0.15513315796852112,0.09575976431369781,0.734375,0.265625
2,45709.3046875,16818.947265625,0.37256142497062683,0.9927195310592651,63893.53290915489,0.03385806083679199,0.04720381647348404,0.029765833169221878,0.9765625,0.0234375
3,41970.63671875,16875.947265625,0.01472856942564249,0.9940406084060669,59855.35316220671,0.031252384185791016,0.008619415573775768,0.00809981394559145,1.0,0.0
4,40437.7109375,16204.080078125,8.888873708201572e-06,0.9939441680908203,57635.74407258953,0.03131270408630371,0.011393457651138306,0.010788081213831902,1.0,0.0
5,34854.55078125,15850.4775390625,1.801859461636468e-08,0.9807544946670532,51685.78283299815,0.03133130073547363,0.029129547998309135,0.027879510074853897,1.0,0.0
6,38551.12890625,15957.55078125,3.2906048996750314e-09,0.9933229684829712,55502.002659273574,0.031174898147583008,0.011588706634938717,0.010538035072386265,1.0,0.0
7,37700.671875,15898.646484375,1.3970489209924608e-09,0.9869670271873474,54586.2853879594,0.03143429756164551,0.009709515608847141,0.008844275027513504,1.0,0.0
8,36308.9765625,16076.677734375,3.650170721236634e-10,0.9263492226600647,53312.003519900085,0.03127861022949219,0.00884193554520607,0.007796150632202625,1.0,0.0
9,34622.0703125,16160.9560546875,8.12929029647691e-11,0.9723796844482422,51755.40605171704,0.031160593032836914,0.00844484567642212,0.0077798692509531975,1.0,0.0
10,35061.8046875,15868.7158203125,3.219606178883616e-11,0.9773253202438354,51907.84582808853,0.03136944770812988,0.008257780224084854,0.007747509051114321,1.0,0.0
11,35173.8984375,15656.796875,2.813872052032096e-11,0.9695065021514893,51800.201814679625,0.0340113639831543,0.008244108408689499,0.007747509051114321,1.0,0.0
12,36183.1484375,15780.1650390625,4.676140030746012e-11,0.9729814529418945,52936.29492955116,0.03321647644042969,0.008260293863713741,0.007769051939249039,1.0,0.0
13,33630.39453125,15468.232421875,7.145643798889267e-11,0.8679506182670593,49966.57757146352,0.0314180850982666,0.008331398479640484,0.0077798692509531975,1.0,0.0
14,31707.759765625,15516.283203125,1.4999522457426195e-10,0.3603697121143341,47584.41268101433,0.03119969367980957,0.008454975672066212,0.007786373607814312,1.0,0.0
15,32306.59375,16080.431640625,3.9792352746204074e-10,0.7469392418861389,49133.96463290906,0.0314488410949707,0.008715805597603321,0.007796150632202625,1.0,0.0
16,31575.154296875,16092.734375,1.3213595773109432e-09,0.8659750819206238,48533.86375511698,0.033846378326416016,0.00887537095695734,0.008324023336172104,1.0,0.0
17,31353.158203125,16250.0791015625,3.825598060558377e-09,0.810826301574707,48414.063610087804,0.033106088638305664,0.00914150569587946,0.008675165474414825,1.0,0.0
18,29958.953125,15876.5693359375,9.037090187291597e-09,0.9282919764518738,46763.81444642646,0.031442880630493164,0.009797520935535431,0.0095235425978899,1.0,0.0
19,31644.6796875,16501.7109375,2.0622513474677362e-08,0.8972368836402893,49043.627529262805,0.03197169303894043,0.011190678924322128,0.010674098506569862,1.0,0.0
20,31598.890625,15991.8740234375,-1.5360285487986403e-08,0.9608480334281921,48551.6126665054,0.03145098686218262,0.01359320618212223,0.012985557317733765,1.0,0.0
21,32482.375,16446.150390625,3.53667424235482e-08,0.922055721282959,49850.5811472747,0.036943912506103516,0.016437839716672897,0.015906665474176407,1.0,0.0
22,32508.62890625,16245.2314453125,1.1094763863184198e-07,0.8784016966819763,49632.26215919211,0.03131699562072754,0.01797395572066307,0.017330441623926163,1.0,0.0
23,30568.064453125,16086.298828125,1.355530230284785e-07,0.7818666100502014,47436.23002685323,0.03126358985900879,0.017473280429840088,0.016825566068291664,1.0,0.0
24,30840.048828125,15980.1015625,2.295368517479801e-07,0.6472558379173279,47467.40645807918,0.03130483627319336,0.01608310081064701,0.015378249809145927,1.0,0.0
25,32116.44921875,16583.509765625,3.323687565170985e-07,0.8627338409423828,49562.69315768614,0.03272438049316406,0.016087224707007408,0.015398763120174408,1.0,0.0
26,31310.01953125,16293.326171875,6.016072120473837e-07,0.8673765659332275,48470.72287066544,0.03130650520324707,0.017615284770727158,0.016967693343758583,1.0,0.0
27,31662.9296875,16336.0302734375,1.0370308700657915e-06,0.6704647541046143,48669.42575207299,0.031250715255737305,0.021047301590442657,0.020540740340948105,1.0,0.0
