Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction
1,29657.3671875,16408.078125,1.1766443252563477,0.8686766624450684,48110.766300201416,0.03414201736450195,0.08469446003437042,0.05895344167947769,0.9296875,0.0703125
2,24896.640625,8496.353515625,0.2762383222579956,149.12843322753906,182797.66569042206,0.022530794143676758,0.02383679524064064,0.020036770030856133,0.9765625,0.0234375
3,77142.171875,17762.208984375,0.11092010885477066,0.9868155717849731,96002.11654001474,0.03198885917663574,0.007815949618816376,0.007813279516994953,0.9921875,0.0078125
4,17022.74609375,8091.1279296875,0.09804391115903854,0.3278961479663849,25539.814082562923,0.023385047912597656,0.010677476413547993,0.010065656155347824,0.9921875,0.0078125
5,50071.7890625,15953.427734375,0.09509450197219849,0.9937689900398254,67114.08028888702,0.031912803649902344,0.010203598067164421,0.009577423334121704,0.9921875,0.0078125
6,24298.7421875,7915.02099609375,0.09383120387792587,71.27401733398438,103581.61172145605,0.02345132827758789,0.009904462844133377,0.009274563752114773,0.9921875,0.0078125
7,48344.81640625,15395.326171875,0.09123586863279343,0.9647314548492432,64796.10990160704,0.032408714294433594,0.010338599793612957,0.009556042961776257,0.9921875,0.0078125
8,19645.94921875,7412.5107421875,0.08201830089092255,22.58530044555664,49725.77870738506,0.023623228073120117,0.00797164998948574,0.00786938238888979,0.9921875,0.0078125
9,42066.17578125,14749.5048828125,0.06328517943620682,0.9787981510162354,57857.76399451494,0.0321345329284668,0.00782853178679943,0.00781557522714138,0.9921875,0.0078125
10,20125.05859375,7274.638671875,0.010106847621500492,40.36933135986328,67779.13547310978,0.022922754287719727,0.007812504656612873,0.0078125,1.0,0.0
11,43909.2265625,14969.064453125,1.9874760255333968e-05,0.9817985892295837,59860.10947961484,0.032105445861816406,0.007813746109604836,0.007812948897480965,1.0,0.0
12,19378.6328125,6925.4521484375,1.0171201658693008e-08,11.366506576538086,37670.59154764679,0.02369999885559082,0.00834306888282299,0.008269338868558407,1.0,0.0
13,43975.4375,14574.904296875,2.7143270742158165e-08,0.954306960105896,59504.64878412417,0.03241133689880371,0.007854881696403027,0.007811162620782852,1.0,0.0
14,19316.02734375,7063.1728515625,2.585406200239504e-08,22.992496490478516,49371.696711645076,0.023021221160888672,0.00785135105252266,0.0078111207112669945,1.0,0.0
