Step,Total Loss,Time,0 Fraction,1 Fraction
1,0.10885055363178253,0.7456700801849365,0.020000000000000018,0.98
2,0.08775585889816284,0.7198803424835205,0.09999999999999998,0.9
3,0.17442499101161957,0.6996297836303711,0.8,0.2
4,0.17753292620182037,0.7080562114715576,1.0,0.0
5,0.12876124680042267,0.7042810916900635,1.0,0.0
6,0.09101735800504684,0.7147073745727539,1.0,0.0
7,0.3114522099494934,0.7081983089447021,1.0,0.0
8,0.163660928606987,0.7043297290802002,1.0,0.0
9,0.18930402398109436,0.7099959850311279,1.0,0.0
10,0.30938372015953064,0.7028458118438721,1.0,0.0
11,0.10020812600851059,0.7068672180175781,1.0,0.0
12,0.07191111892461777,0.7080988883972168,1.0,0.0
13,0.08521407097578049,0.7051753997802734,1.0,0.0
14,0.18982884287834167,0.7114088535308838,1.0,0.0
15,0.0626601055264473,0.7077236175537109,1.0,0.0
16,0.1318875253200531,0.7045469284057617,1.0,0.0
17,0.11607670783996582,0.7085080146789551,1.0,0.0
18,0.09853052347898483,0.7025787830352783,1.0,0.0
19,0.13657638430595398,0.7138712406158447,1.0,0.0
20,0.11600589752197266,0.69842529296875,1.0,0.0
21,0.027235059067606926,0.7011857032775879,1.0,0.0
22,0.2195042371749878,0.7045590877532959,1.0,0.0
23,0.2469038963317871,0.7027146816253662,1.0,0.0
24,0.2130512297153473,0.709195613861084,1.0,0.0
25,0.09592720866203308,0.7033381462097168,1.0,0.0
26,0.19992786645889282,0.7026760578155518,1.0,0.0
27,0.056256432086229324,0.7053122520446777,1.0,0.0
28,0.07927131652832031,0.706782341003418,1.0,0.0
29,0.2784728705883026,0.7111234664916992,1.0,0.0
30,0.20962364971637726,0.695378303527832,1.0,0.0
31,0.16814056038856506,0.7054789066314697,1.0,0.0
32,0.006487044971436262,0.7054953575134277,1.0,0.0
33,0.06430771201848984,0.7018871307373047,1.0,0.0
34,0.37211233377456665,0.7077765464782715,1.0,0.0
35,0.05766436085104942,0.7030477523803711,1.0,0.0
36,0.11487424373626709,0.6982467174530029,0.92,0.08
37,0.23445387184619904,0.7051651477813721,0.86,0.14
38,0.10831981152296066,0.7018833160400391,0.8,0.2
39,0.21421924233436584,0.7185277938842773,0.76,0.24
40,0.07038066536188126,0.6988124847412109,0.76,0.24
41,0.1453629583120346,0.698310375213623,0.76,0.24
42,0.10476000607013702,0.7002155780792236,0.7,0.3
43,0.2122565358877182,0.7015016078948975,0.6599999999999999,0.34
44,0.16894309222698212,0.708914041519165,0.8200000000000001,0.18
45,0.21877971291542053,0.7019133567810059,0.78,0.22
46,0.13520991802215576,0.7006485462188721,0.78,0.22
47,0.0999625027179718,0.7000389099121094,0.74,0.26
48,0.12038936465978622,0.7037050724029541,0.86,0.14
49,0.11084873974323273,0.706247091293335,0.74,0.26
50,0.1553259640932083,0.6993792057037354,0.8,0.2
51,0.23750045895576477,0.7032456398010254,0.86,0.14
52,0.14360208809375763,0.7059957981109619,0.78,0.22
53,0.18716883659362793,0.703763484954834,0.86,0.14
54,0.13341589272022247,0.7052273750305176,0.8200000000000001,0.18
55,0.034413959830999374,0.7079565525054932,0.84,0.16
56,0.2019152194261551,0.7158219814300537,0.9,0.1
57,0.0758097693324089,0.7030773162841797,0.88,0.12
58,0.0966634675860405,0.7083120346069336,0.94,0.06
59,0.11723049730062485,0.696171760559082,0.94,0.06
