Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,21965.85546875,762.70751953125,1.1504465341567993,0.024498391896486282,22728.56298828125,0.006263256072998047,0.35846763849258423,0.38503074645996094,0.09375,0.078125,0.09375,0.0859375,0.0703125,0.0234375,0.1171875,0.0390625,0.2265625,0.171875
2,22580.42578125,784.356201171875,0.8480792045593262,0.3388955891132355,23364.781982421875,0.005396604537963867,0.34673982858657837,0.4002183675765991,0.09375,0.078125,0.09375,0.078125,0.078125,0.0234375,0.1171875,0.0390625,0.21875,0.1796875
3,25502.1640625,781.260498046875,0.5252858400344849,0.34594982862472534,26283.424560546875,0.005239725112915039,0.36135923862457275,0.41992056369781494,0.1015625,0.0390625,0.0703125,0.078125,0.125,0.03125,0.1015625,0.0390625,0.265625,0.1484375
4,28289.40234375,803.6229248046875,0.28812891244888306,0.12120828032493591,29093.025268554688,0.005080461502075195,0.39101719856262207,0.41858261823654175,0.1015625,0.0078125,0.0703125,0.1015625,0.140625,0.0234375,0.1015625,0.0390625,0.28125,0.1328125
5,31234.6015625,829.3126831054688,0.20137342810630798,0.07669099420309067,32063.91424560547,0.005589962005615234,0.4366987645626068,0.42866232991218567,0.09375,0.0,0.0703125,0.1015625,0.1640625,0.0234375,0.1015625,0.0390625,0.28125,0.125
6,37921.0703125,819.00390625,0.18105119466781616,0.10942494124174118,38740.07421875,0.0050506591796875,0.4341582953929901,0.44626307487487793,0.09375,0.0,0.0703125,0.09375,0.1796875,0.0390625,0.1015625,0.0390625,0.265625,0.1171875
7,41422.0703125,846.8682861328125,0.1863442063331604,0.01659148558974266,42268.93859863281,0.005133152008056641,0.4274395704269409,0.4681623876094818,0.09375,0.0,0.0625,0.0703125,0.203125,0.03125,0.09375,0.0390625,0.28125,0.125
8,45757.7109375,883.7139892578125,0.20513106882572174,0.006595531478524208,46641.42492675781,0.0051724910736083984,0.42749208211898804,0.4791056513786316,0.0859375,0.0,0.046875,0.0703125,0.21875,0.0234375,0.1015625,0.0390625,0.296875,0.1171875
9,53086.1796875,904.046630859375,0.2303951382637024,0.03155306354165077,53990.226318359375,0.005192756652832031,0.4347728490829468,0.49250471591949463,0.09375,0.0,0.046875,0.0625,0.2109375,0.0234375,0.1015625,0.0390625,0.3203125,0.1015625
10,56444.91015625,912.2861938476562,0.2607385516166687,0.039697322994470596,57357.196350097656,0.005788087844848633,0.41229167580604553,0.5036650896072388,0.0859375,0.0,0.046875,0.0234375,0.21875,0.0625,0.1015625,0.0546875,0.328125,0.078125
