Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,23273.265625,776.2760009765625,0.798660397529602,2.0248528016963974e-05,24049.541625976562,0.005940437316894531,0.46012791991233826,0.41786396503448486,0.0625,0.046875,0.0625,0.078125,0.1015625,0.015625,0.140625,0.0546875,0.2578125,0.1796875
2,22642.654296875,784.2039794921875,0.5523151755332947,0.22635596990585327,23426.858276367188,0.0066204071044921875,0.4378584325313568,0.4029487371444702,0.0625,0.03125,0.0546875,0.0859375,0.109375,0.015625,0.1484375,0.0703125,0.265625,0.15625
3,21316.07421875,795.072265625,0.4220896363258362,0.38278260827064514,22111.146484375,0.005088329315185547,0.42845016717910767,0.3996971547603607,0.0703125,0.015625,0.0546875,0.09375,0.1171875,0.0078125,0.140625,0.0703125,0.28125,0.1484375
4,23544.556640625,809.0203247070312,0.3089064657688141,0.27060550451278687,24353.57696533203,0.00475311279296875,0.4276221990585327,0.39765703678131104,0.0703125,0.0078125,0.0625,0.09375,0.15625,0.0078125,0.140625,0.0703125,0.28125,0.109375
5,25295.138671875,799.397216796875,0.24072331190109253,0.21556368470191956,26094.535888671875,0.005051374435424805,0.4129101634025574,0.41984444856643677,0.0703125,0.0,0.0625,0.09375,0.171875,0.0078125,0.140625,0.0703125,0.28125,0.1015625
6,26404.35546875,795.3145751953125,0.1971232295036316,0.24410466849803925,27199.670043945312,0.004813194274902344,0.4009236693382263,0.42848873138427734,0.0703125,0.0,0.0625,0.09375,0.1796875,0.0078125,0.140625,0.0703125,0.28125,0.09375
7,27740.15234375,805.1727905273438,0.17901930212974548,0.05163966864347458,28545.325134277344,0.005648612976074219,0.39614203572273254,0.44093450903892517,0.0859375,0.0,0.0625,0.0703125,0.1875,0.0,0.1328125,0.0703125,0.296875,0.09375
8,29069.216796875,824.330322265625,0.17953450977802277,0.03763575851917267,29893.547119140625,0.005155801773071289,0.3911988139152527,0.46230435371398926,0.0859375,0.0,0.0546875,0.0390625,0.203125,0.015625,0.1171875,0.078125,0.3125,0.09375
9,30660.31640625,819.2772827148438,0.18692056834697723,0.08606191724538803,31479.593688964844,0.005051136016845703,0.39038896560668945,0.46917465329170227,0.1015625,0.0,0.0546875,0.03125,0.2109375,0.0234375,0.109375,0.078125,0.296875,0.09375
10,32449.32421875,823.4215087890625,0.2031134068965912,0.06265713274478912,33272.74572753906,0.004948616027832031,0.39024531841278076,0.4879758656024933,0.1171875,0.0,0.0546875,0.015625,0.2265625,0.0234375,0.109375,0.078125,0.265625,0.109375
11,34725.58984375,843.711181640625,0.2179626226425171,0.25362181663513184,35569.301025390625,0.005212306976318359,0.38961735367774963,0.49172037839889526,0.109375,0.0,0.0546875,0.015625,0.2421875,0.0234375,0.109375,0.0859375,0.265625,0.09375
12,36100.890625,835.8301391601562,0.23862166702747345,0.05812528729438782,36936.720764160156,0.004854917526245117,0.38885411620140076,0.5002917051315308,0.1328125,0.0,0.046875,0.015625,0.25,0.015625,0.109375,0.0703125,0.265625,0.09375
13,37420.1796875,859.44921875,0.2564425468444824,0.05238049477338791,38279.62890625,0.005214214324951172,0.388755738735199,0.4996076226234436,0.1328125,0.0,0.046875,0.015625,0.2578125,0.0078125,0.109375,0.078125,0.2734375,0.078125
14,38743.91015625,855.7154541015625,0.27928686141967773,0.0597158819437027,39599.62561035156,0.004897356033325195,0.39036715030670166,0.49790918827056885,0.1328125,0.0,0.0390625,0.0,0.28125,0.0,0.109375,0.078125,0.2890625,0.0703125
15,38897.078125,865.8594360351562,0.2971351742744446,0.04977010563015938,39762.937561035156,0.005005598068237305,0.39242538809776306,0.5000198483467102,0.125,0.0,0.0390625,0.0,0.28125,0.0,0.109375,0.0859375,0.3046875,0.0546875
