Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1.0,45785.91875,1478.4237060546875,1.1663824617862701,0.037044323436566585,48430.724917840955,0.0061433553695678395,0.38971448242664336,0.3817558020353317,0.08828125,0.08125,0.06953125,0.09921875,0.0953125,0.02265625,0.14140625,0.06171875,0.2140625,0.1265625
2.0,48435.601171875,1464.97822265625,1.0233570098876954,0.047203842434100765,50923.93640441894,0.005626821517944301,0.3907527536153793,0.3916433870792389,0.09375,0.0734375,0.0671875,0.10078125,0.10234375,0.0203125,0.140625,0.065625,0.2171875,0.11875
3.0,50402.290625,1468.5738525390625,0.859202641248703,0.026565408363239795,52730.06711878777,0.00553307533264155,0.3974347025156021,0.40214875936508176,0.1078125,0.0640625,0.06875,0.10078125,0.11015625,0.0125,0.1390625,0.06796875,0.215625,0.11328125
4.0,50735.06484375,1464.3730102539062,0.7565683484077453,0.04441996221139559,52956.00620241165,0.005512309074401829,0.4024640768766403,0.4121942281723022,0.11953125,0.05078125,0.06953125,0.1046875,0.1140625,0.0109375,0.13515625,0.06875,0.21328125,0.11328125
5.0,52110.101953125,1464.7422241210938,0.6986208260059357,0.05666091836174014,54273.46500325203,0.005504560470581021,0.4062955558300018,0.41541831791400907,0.12734375,0.0484375,0.06875,0.0984375,0.1140625,0.01171875,0.13203125,0.065625,0.2140625,0.11953125
6.0,51007.08046875,1464.2881225585938,0.6599116414785385,0.04087754369829777,53131.28023278713,0.00554928779602046,0.4089410364627838,0.41852228343486786,0.1296875,0.04296875,0.06875,0.10234375,0.1125,0.0125,0.13046875,0.0625,0.20859375,0.1296875
7.0,50997.60234375,1457.28876953125,0.6416672170162201,0.06591133532929229,53096.55833029747,0.005582761764526321,0.41147215068340304,0.41836408972740174,0.13203125,0.040625,0.06875,0.10234375,0.1125,0.01171875,0.13046875,0.0578125,0.20859375,0.13515625
8.0,50802.30859375,1457.7946411132812,0.6367565512657165,0.03176968328307333,52896.859786128996,0.005564069747924739,0.41435704827308656,0.42058932185173037,0.13046875,0.04140625,0.071875,0.1046875,0.11015625,0.0125,0.1328125,0.05625,0.20078125,0.1390625
9.0,50169.509375,1461.7396484375,0.6473797112703323,0.02244645047976513,52278.62873470783,0.00559182167053217,0.41668419539928436,0.4230809032917023,0.1265625,0.04453125,0.07265625,0.1015625,0.1078125,0.0140625,0.134375,0.05625,0.2015625,0.140625
10.0,49524.046484375,1456.3233276367187,0.6759299993515014,0.013207901013083709,51656.29981136322,0.0055563688278197606,0.4200945347547531,0.42543256282806396,0.1265625,0.04765625,0.07421875,0.10390625,0.10546875,0.01328125,0.1328125,0.05390625,0.2,0.1421875
11.0,49039.690234375,1455.8921508789062,0.701930046081543,0.011284993296658257,51197.512431335446,0.0055026531219481995,0.42337486147880554,0.4256658911705017,0.1234375,0.04921875,0.0765625,0.10390625,0.10078125,0.01328125,0.13359375,0.05234375,0.2015625,0.1453125
12.0,48961.860546875,1460.2436645507812,0.7180469244718551,0.015159574686549543,51140.151135897635,0.00552179813385004,0.4240096002817154,0.42843294739723203,0.11875,0.05,0.0765625,0.10390625,0.096875,0.01484375,0.13359375,0.05234375,0.20390625,0.14921875
13.0,48861.946484375,1462.4843017578125,0.726585739850998,0.02173470847192216,51051.01652598381,0.00547046661376948,0.4210150629281998,0.424912565946579,0.1140625,0.05078125,0.075,0.1046875,0.096875,0.0171875,0.13359375,0.05078125,0.20546875,0.1515625
14.0,48549.986328125,1463.8894653320312,0.7385260701179505,0.015633102426363572,50752.40186357498,0.005521202087402279,0.42058077752590173,0.4226875305175781,0.11171875,0.0546875,0.075,0.10703125,0.10078125,0.01875,0.13515625,0.05,0.19921875,0.14765625
15.0,47857.031640625,1459.7620727539063,0.7410995572805404,0.030993237774237004,50057.89327065945,0.005587315559387151,0.419459742307663,0.421131095290184,0.11015625,0.053125,0.075,0.11015625,0.0984375,0.01953125,0.1359375,0.053125,0.19765625,0.146875
16.0,48477.051953125,1458.069970703125,0.7369492888450623,0.03296903863379153,50672.07121267319,0.005467224121093699,0.4182699888944626,0.42155163288116454,0.109375,0.05234375,0.0765625,0.11015625,0.09765625,0.01953125,0.1375,0.05390625,0.196875,0.14609375
17.0,48559.12890625,1453.9484741210938,0.7250281363725662,0.03272916704599988,50738.10551674366,0.00548775196075435,0.41808804869651783,0.42016348242759705,0.10859375,0.04921875,0.07578125,0.11171875,0.09765625,0.0203125,0.1375,0.05390625,0.20078125,0.14453125
18.0,48413.76953125,1451.8918823242188,0.7070734828710556,0.03579936904425263,50572.734896445276,0.005490040779113711,0.41744052469730375,0.42282904386520387,0.109375,0.04609375,0.075,0.11015625,0.0984375,0.0203125,0.13671875,0.05390625,0.2046875,0.1453125
19.0,48173.51640625,1446.8515625,0.6862045139074325,0.030729879916179863,50306.57248265743,0.00544502735137934,0.41686254143714907,0.42187042236328126,0.11015625,0.04296875,0.0765625,0.11171875,0.0984375,0.0171875,0.13671875,0.0546875,0.20625,0.1453125
20.0,49320.456640625,1441.6475341796875,0.6723386168479919,0.02989840135014672,51434.44279165268,0.00551362037658685,0.4166448563337326,0.4226568877696991,0.11015625,0.04296875,0.078125,0.1140625,0.09921875,0.0171875,0.1359375,0.05625,0.2015625,0.14453125
21.0,48692.903125,1436.4013671875,0.6551274865865707,0.0585054991068318,50784.43197877407,0.0054412364959716296,0.4158435106277466,0.42255895733833315,0.11171875,0.04140625,0.078125,0.11484375,0.09921875,0.01484375,0.13515625,0.05859375,0.203125,0.14296875
22.0,49369.8359375,1435.7568481445312,0.6474457859992981,0.009308627931318333,51453.03857164383,0.005554223060607861,0.41491680443286894,0.42106613218784333,0.115625,0.03984375,0.07734375,0.1171875,0.1015625,0.01328125,0.13359375,0.05859375,0.203125,0.13984375
23.0,48835.923046875,1438.4842163085937,0.6436122000217438,0.03737200764007862,50918.01946320534,0.00550153255462643,0.4126978635787964,0.41963531374931334,0.1171875,0.0421875,0.07578125,0.11640625,0.103125,0.01171875,0.13125,0.059375,0.2046875,0.13828125
24.0,49332.36953125,1432.8635375976562,0.6477698922157288,0.06379679110832506,51413.00296106339,0.00548570156097405,0.41009852588176726,0.4162795186042786,0.115625,0.04296875,0.075,0.11328125,0.103125,0.01171875,0.1328125,0.059375,0.20703125,0.1390625
25.0,49452.27265625,1432.4641845703125,0.6540516138076782,0.03319648265460269,51538.78845462799,0.00547277927398677,0.4078812152147293,0.41325722336769105,0.115625,0.0421875,0.07421875,0.11484375,0.10234375,0.01015625,0.1328125,0.06015625,0.209375,0.13828125
26.0,49343.4609375,1431.118212890625,0.6616774082183838,0.03978621152928094,51436.256558609006,0.0055014610290526796,0.40607596933841694,0.4096728444099426,0.1140625,0.0421875,0.0765625,0.115625,0.103125,0.0109375,0.13203125,0.06015625,0.21015625,0.13515625
27.0,49425.0828125,1429.387109375,0.6663430094718933,0.03297056756055096,51520.812931346896,0.00556049346923824,0.4040702849626541,0.406743785738945,0.1109375,0.04296875,0.07578125,0.1140625,0.1015625,0.0140625,0.1328125,0.05859375,0.21171875,0.1375
28.0,48981.809765625,1427.4808715820313,0.6659513294696808,0.05703002819791432,51075.24196667671,0.00563707351684566,0.4028052031993866,0.40442619323730467,0.10625,0.04296875,0.07578125,0.1125,0.1015625,0.015625,0.1359375,0.059375,0.215625,0.134375
29.0,49110.272265625,1424.7987182617187,0.6718296051025391,0.022381872916594093,51206.90058898926,0.005730223655700641,0.40056886374950407,0.40494467318058014,0.10546875,0.04296875,0.075,0.11171875,0.1015625,0.01484375,0.13828125,0.0578125,0.215625,0.13671875
30.0,49445.058203125,1429.340966796875,0.6748792201280593,0.0364369197399355,51549.278390049934,0.005716562271118109,0.39847053289413453,0.4054813712835312,0.10546875,0.04453125,0.07578125,0.11015625,0.10078125,0.01484375,0.13828125,0.0578125,0.21484375,0.1375
31.0,48708.012890625,1424.8897705078125,0.6742011070251465,0.05114503659278846,50807.10376815796,0.00572767257690426,0.3975705146789551,0.40614889562129974,0.10546875,0.04453125,0.0765625,0.11015625,0.10390625,0.0140625,0.13671875,0.05625,0.21484375,0.1375
32.0,48205.161328125,1423.0732177734376,0.66707384288311,0.029311241141112932,50295.308388781545,0.00561997890472407,0.39747374653816225,0.4044014573097229,0.1046875,0.04453125,0.078125,0.11015625,0.1015625,0.01484375,0.13828125,0.05625,0.21328125,0.13828125
33.0,48751.8828125,1429.6797241210938,0.6537347704172134,0.01803792716132189,50835.29730703831,0.00560247898101802,0.3973359227180481,0.40253031849861143,0.10390625,0.04375,0.07734375,0.1140625,0.10234375,0.01484375,0.1390625,0.05625,0.21171875,0.13671875
34.0,48057.055078125,1433.0000854492187,0.6359029233455658,0.04047653130364774,50125.95808691978,0.005525469779968229,0.3974005520343781,0.40044680833816526,0.1046875,0.03828125,0.078125,0.11484375,0.1046875,0.01484375,0.13828125,0.05546875,0.215625,0.13515625
35.0,48239.37109375,1434.226953125,0.6186910897493363,0.018706539389677312,50292.289136624335,0.005524873733520461,0.3976734787225723,0.40035839974880216,0.1046875,0.0390625,0.078125,0.115625,0.10703125,0.01640625,0.13671875,0.0515625,0.21484375,0.1359375
36.0,48305.478515625,1439.0231323242188,0.6042304188013077,0.020281244581565192,50348.73206675053,0.005534911155700649,0.39890922605991364,0.4007443606853485,0.10546875,0.0390625,0.07890625,0.11640625,0.1046875,0.01796875,0.1359375,0.0515625,0.2140625,0.1359375
37.0,48606.303125,1429.243994140625,0.5938745081424713,0.028231252505793204,50629.421627283096,0.0055279731750487605,0.3996055066585541,0.40110161900520325,0.10703125,0.0375,0.0796875,0.11640625,0.103125,0.0171875,0.13671875,0.05234375,0.2140625,0.1359375
38.0,48901.530078125,1435.7361083984374,0.5855637848377228,0.03655654374451836,50922.82997136116,0.005489420890808059,0.4017834484577179,0.4009385764598846,0.1078125,0.0375,0.07890625,0.11484375,0.10390625,0.0171875,0.1359375,0.05234375,0.21484375,0.13671875
39.0,48747.427734375,1431.61513671875,0.5789162337779998,0.030730841604236003,50757.95910487175,0.005450940132141069,0.40430174171924593,0.4007189303636551,0.1078125,0.03515625,0.07890625,0.11640625,0.10625,0.01796875,0.1328125,0.05078125,0.21640625,0.1375
40.0,49452.819140625,1426.9145874023438,0.5746109426021576,0.00419801828393241,51454.3446706295,0.00551724433898921,0.40659364461898806,0.40403732359409333,0.1078125,0.03359375,0.07890625,0.1171875,0.1078125,0.01875,0.13203125,0.0515625,0.2171875,0.13515625
41.0,48399.761328125,1428.62421875,0.5678995788097382,0.04457754665345416,50396.285125684735,0.00549778938293453,0.40892046093940737,0.40428483188152314,0.10859375,0.034375,0.07890625,0.11796875,0.10859375,0.01640625,0.13203125,0.05390625,0.2171875,0.13203125
42.0,48663.7890625,1430.3629638671875,0.5653281539678574,0.04557015979080456,50659.48018033504,0.00545868873596187,0.41200470328330996,0.4061535716056824,0.109375,0.03359375,0.07890625,0.11875,0.109375,0.0171875,0.13203125,0.05546875,0.215625,0.1296875
43.0,48120.662890625,1432.9127319335937,0.5676932543516159,0.029733426242819376,50121.26887691021,0.00554888248443599,0.41432973742485046,0.4093747079372406,0.11171875,0.03359375,0.078125,0.11875,0.11015625,0.015625,0.13203125,0.0546875,0.21484375,0.13046875
44.0,48189.84375,1431.6322265625,0.5733405619859695,0.04848599668475795,50194.81653854847,0.005483984947204531,0.41632707715034484,0.4108720928430557,0.11328125,0.03515625,0.07890625,0.11875,0.1109375,0.0140625,0.13046875,0.0546875,0.21328125,0.13046875
45.0,48150.444921875,1429.6497924804687,0.5793713152408599,0.01988657000474628,50159.466029596326,0.005453801155090291,0.41710291504859925,0.4119646608829498,0.11484375,0.03671875,0.078125,0.11796875,0.109375,0.01484375,0.128125,0.05625,0.21171875,0.13203125
46.0,48069.82109375,1436.005615234375,0.5790589869022369,0.014361359983013194,50084.88569588661,0.005464506149291929,0.41724721193313596,0.41279232800006865,0.115625,0.0359375,0.07734375,0.11640625,0.10703125,0.0140625,0.128125,0.0578125,0.21484375,0.1328125
47.0,48203.65859375,1434.3109252929687,0.5753778934478759,0.026485597104095822,50213.347412490846,0.00549876689910883,0.4164324074983597,0.413369020819664,0.11328125,0.03515625,0.07578125,0.1171875,0.10703125,0.015625,0.1296875,0.0578125,0.215625,0.1328125
48.0,47782.401953125,1431.3682983398437,0.577876803278923,0.037818950760993134,49791.647054743764,0.00544216632843013,0.4144662022590637,0.4080663174390793,0.11328125,0.03515625,0.07578125,0.115625,0.10546875,0.015625,0.13046875,0.05703125,0.2171875,0.134375
49.0,47999.20234375,1425.440673828125,0.5868162095546723,0.04108772092731665,50011.4592271328,0.005453896522521919,0.41318880319595336,0.405808025598526,0.1125,0.03671875,0.07578125,0.1171875,0.10546875,0.015625,0.13046875,0.05703125,0.215625,0.13359375
50.0,47887.977734375,1427.8343627929687,0.5914297640323639,0.027017825382063116,49907.24186120033,0.0054877519607543605,0.4119244545698166,0.4042344391345978,0.11171875,0.0359375,0.078125,0.115625,0.1046875,0.01640625,0.13046875,0.05625,0.2171875,0.13359375
51.0,47663.689453125,1435.216796875,0.5897085875272751,0.04457911713980133,49688.614837527275,0.0054634809494018,0.4113356649875641,0.4051086395978928,0.11171875,0.03515625,0.078125,0.1171875,0.10390625,0.0171875,0.1296875,0.05234375,0.21796875,0.13671875
52.0,47747.165625,1440.176416015625,0.585634845495224,0.019972296116043217,49772.97688651085,0.00549020767211909,0.4106781542301178,0.40705992579460143,0.1109375,0.03515625,0.07890625,0.11875,0.10078125,0.01953125,0.1296875,0.05390625,0.21640625,0.1359375
53.0,38936.413671875,1216.7872924804688,0.5822331547737122,0.0219472893048987,40735.43411912918,0.00550165176391596,0.41013850569725036,0.40689985156059266,0.11171875,0.03515625,0.07890625,0.11953125,0.10390625,0.01875,0.1296875,0.0515625,0.2140625,0.13671875
54.0,47964.15859375,1433.524560546875,0.5804867058992386,0.019668207969516478,49978.16986019611,0.005873322486877401,0.4109399527311325,0.40659684538841245,0.11015625,0.0328125,0.07890625,0.121875,0.103125,0.01953125,0.13046875,0.05234375,0.2125,0.13828125
55.0,47476.5640625,1444.2694702148438,0.5819002598524093,0.024868135163757132,49502.733792567255,0.005630421638488719,0.41032923460006715,0.4069403290748596,0.1125,0.03359375,0.07890625,0.11953125,0.10625,0.01640625,0.12890625,0.05234375,0.215625,0.1359375
56.0,47725.743359375,1443.4626342773438,0.5837949812412262,0.01983531075529749,49753.00097489357,0.00560812950134272,0.4095587432384491,0.40857755243778227,0.11171875,0.03359375,0.0796875,0.11875,0.10390625,0.01640625,0.12890625,0.053125,0.21640625,0.1375
57.0,48820.258984375,1437.0974853515625,0.5869412899017334,0.032950182893546266,50844.297759628294,0.0055115938186645,0.4077612429857254,0.40627950727939605,0.1125,0.03359375,0.07890625,0.11875,0.1046875,0.0140625,0.13125,0.0546875,0.215625,0.1359375
58.0,47800.7046875,1438.9984008789063,0.5864792793989182,0.03032962768338616,49826.18236777782,0.00552444458007808,0.40665683150291443,0.4039835214614868,0.11171875,0.03359375,0.07890625,0.11796875,0.1046875,0.01484375,0.13125,0.0546875,0.21640625,0.1359375
59.0,47815.61640625,1437.789501953125,0.5920079588890076,0.023702436219900803,49845.41386709213,0.0055104255676269,0.40428235232830045,0.40374202132225034,0.1109375,0.034375,0.0796875,0.11953125,0.10390625,0.015625,0.13046875,0.0546875,0.21484375,0.1359375
60.0,47600.8328125,1441.2820068359374,0.5993213146924973,0.01961982317152429,49641.43613402844,0.005504679679870559,0.40085125267505645,0.39961202144622804,0.1109375,0.03515625,0.078125,0.11875,0.10546875,0.0125,0.13359375,0.05390625,0.21640625,0.13515625
61.0,47662.805859375,1439.6365966796875,0.6045592486858368,0.019440616731299033,49707.00170474053,0.00549461841583247,0.398191773891449,0.39890732765197756,0.10859375,0.0359375,0.078125,0.11796875,0.10546875,0.01328125,0.13515625,0.05390625,0.215625,0.1359375
62.0,47430.15546875,1440.8639892578126,0.6050242215394974,0.02436612329911436,49476.04367954731,0.00561628341674799,0.39558560848236085,0.39447318613529203,0.10546875,0.03671875,0.078125,0.11796875,0.103125,0.0140625,0.1375,0.05625,0.215625,0.13515625
63.0,47651.95234375,1437.9093994140626,0.6043271452188492,0.06228184255305673,49694.18888838291,0.005578804016113229,0.3943143397569656,0.3916032463312149,0.1046875,0.03828125,0.07734375,0.115625,0.10234375,0.0140625,0.13828125,0.05625,0.21953125,0.13359375
64.0,47994.99140625,1435.049560546875,0.6008944690227509,0.054094908229853855,50030.93543581963,0.00556430816650387,0.39321725070476526,0.38929838240146636,0.10234375,0.0375,0.07890625,0.1171875,0.103125,0.01328125,0.1390625,0.05703125,0.21796875,0.13359375
65.0,48162.05078125,1445.2180786132812,0.5932650238275528,0.02823142675915729,50200.533883690834,0.005496573448181099,0.39331929981708524,0.3890434801578522,0.1015625,0.03671875,0.078125,0.11796875,0.10546875,0.0125,0.13984375,0.05546875,0.21953125,0.1328125
