Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,46484.8828125,1487.3421630859375,1.1597193479537964,0.032054007053375244,49131.944323539734,0.006013631820678711,0.3644271492958069,0.37827596068382263,0.09375,0.078125,0.046875,0.0625,0.1015625,0.03125,0.1796875,0.046875,0.1953125,0.1640625
2,47984.34375,1477.849609375,1.0596214532852173,0.09892336279153824,50521.81481266022,0.0055005550384521484,0.3756014108657837,0.39706769585609436,0.09375,0.078125,0.046875,0.0625,0.1015625,0.0234375,0.1796875,0.0546875,0.203125,0.15625
3,47991.3359375,1476.531982421875,0.9810903072357178,0.008486437611281872,50448.95822715759,0.005433797836303711,0.39433372020721436,0.4080372452735901,0.125,0.078125,0.046875,0.0625,0.1015625,0.0078125,0.1796875,0.0625,0.1875,0.1484375
4,52276.0234375,1476.458984375,0.9171773195266724,0.007748521398752928,54669.65974140167,0.005533933639526367,0.40667903423309326,0.4221534729003906,0.1328125,0.0625,0.046875,0.0625,0.1171875,0.0078125,0.171875,0.0625,0.1875,0.1484375
5,51550.296875,1476.395263671875,0.8609412312507629,0.08501116931438446,53887.63336992264,0.005548954010009766,0.4097563624382019,0.4211534261703491,0.1328125,0.0625,0.046875,0.0625,0.1171875,0.0078125,0.171875,0.0625,0.1875,0.1484375
6,51758.671875,1495.002197265625,0.793796181678772,0.06052291765809059,54047.4702539444,0.005486488342285156,0.41027766466140747,0.4243522882461548,0.1328125,0.0625,0.046875,0.0625,0.125,0.0078125,0.171875,0.046875,0.1875,0.15625
7,52393.34765625,1474.075439453125,0.7274568676948547,0.06811924278736115,54594.87996339798,0.00550389289855957,0.4082432687282562,0.4169667959213257,0.1484375,0.0546875,0.046875,0.078125,0.125,0.0078125,0.171875,0.046875,0.1640625,0.15625
8,52485.34375,1485.679931640625,0.7017808556556702,0.024482227861881256,54672.804537296295,0.00544285774230957,0.40779048204421997,0.41510120034217834,0.15625,0.0546875,0.0546875,0.078125,0.125,0.0078125,0.171875,0.046875,0.1484375,0.15625
9,50987.328125,1472.8939208984375,0.7027257680892944,0.04894837737083435,53162.94781398773,0.005460977554321289,0.41214996576309204,0.41816961765289307,0.15625,0.0546875,0.0625,0.078125,0.1171875,0.0078125,0.171875,0.0390625,0.1484375,0.1640625
10,52292.0390625,1474.640625,0.7440282702445984,0.02065756358206272,54510.7079577446,0.005469560623168945,0.41590744256973267,0.41801130771636963,0.15625,0.0546875,0.0625,0.078125,0.1328125,0.0078125,0.171875,0.03125,0.1484375,0.15625
11,48806.3125,1476.950927734375,0.7700793743133545,3.507741439534584e-06,51053.34280204773,0.005479574203491211,0.4220532476902008,0.42871561646461487,0.15625,0.0546875,0.0703125,0.078125,0.1328125,0.0078125,0.171875,0.03125,0.140625,0.15625
12,49876.0625,1482.1033935546875,0.8049114942550659,0.02898566424846649,52163.07738780975,0.005553483963012695,0.41884297132492065,0.43072015047073364,0.1484375,0.0546875,0.0703125,0.078125,0.125,0.0078125,0.171875,0.0390625,0.1484375,0.15625
13,48977.1484375,1464.595703125,0.8320031762123108,0.00923535693436861,51273.74731683731,0.0054776668548583984,0.4103415906429291,0.42588087916374207,0.125,0.046875,0.0546875,0.09375,0.109375,0.015625,0.171875,0.0390625,0.171875,0.171875
14,47722.546875,1489.197021484375,0.8447625637054443,0.0002077076496789232,50056.50646018982,0.005579233169555664,0.40594640374183655,0.41659167408943176,0.109375,0.0546875,0.0546875,0.09375,0.109375,0.0234375,0.1796875,0.046875,0.1640625,0.1640625
15,48221.8671875,1460.41357421875,0.8429335951805115,0.002352057723328471,50525.21435689926,0.005563259124755859,0.40063607692718506,0.40941494703292847,0.1015625,0.0546875,0.0546875,0.09375,0.109375,0.03125,0.1796875,0.046875,0.1640625,0.1640625
16,48510.21875,1446.68798828125,0.8138468861579895,2.5892518351611216e-06,50770.75362443924,0.005494117736816406,0.39544278383255005,0.4101810157299042,0.1015625,0.046875,0.0625,0.09375,0.09375,0.03125,0.1796875,0.046875,0.171875,0.171875
17,48078.890625,1466.212158203125,0.7903860211372375,0.05057697370648384,50335.48880434036,0.00549626350402832,0.39749497175216675,0.4142041504383087,0.1015625,0.046875,0.0546875,0.09375,0.09375,0.03125,0.1796875,0.046875,0.1796875,0.171875
18,47968.6484375,1474.2696533203125,0.769208550453186,0.014595496468245983,50212.1266412735,0.0054857730865478516,0.4000687301158905,0.4242982566356659,0.1015625,0.046875,0.0546875,0.09375,0.09375,0.03125,0.1796875,0.046875,0.1796875,0.171875
19,47790.59375,1458.61083984375,0.7566023468971252,0.005294696893543005,50005.806936740875,0.005490541458129883,0.4036257863044739,0.4293344020843506,0.1015625,0.046875,0.0546875,0.1015625,0.09375,0.03125,0.1796875,0.046875,0.171875,0.171875
20,50749.7734375,1440.6407470703125,0.7451083064079285,0.008277514018118382,52935.52249097824,0.005841493606567383,0.4088403582572937,0.43896418809890747,0.1015625,0.046875,0.0625,0.1015625,0.09375,0.03125,0.1796875,0.046875,0.1640625,0.171875
21,49409.03125,1451.471435546875,0.7083460688591003,0.0026124026626348495,51568.848754405975,0.00539708137512207,0.41263970732688904,0.45104530453681946,0.125,0.046875,0.0625,0.09375,0.1015625,0.0234375,0.1640625,0.046875,0.1640625,0.171875
22,49437.57421875,1430.7666015625,0.6709442138671875,0.005276424810290337,51539.28503417969,0.0053708553314208984,0.4145803451538086,0.45712101459503174,0.125,0.046875,0.0703125,0.0859375,0.109375,0.0234375,0.1640625,0.046875,0.1640625,0.1640625
23,48295.6640625,1485.427490234375,0.6409303545951843,0.023465687409043312,50422.02190732956,0.0054666996002197266,0.4140148460865021,0.45459821820259094,0.125,0.0390625,0.0546875,0.09375,0.109375,0.0234375,0.1640625,0.046875,0.1796875,0.1640625
24,48896.0,1449.22216796875,0.6507729887962341,0.0037071171682327986,50995.995156764984,0.00535273551940918,0.41104280948638916,0.45530349016189575,0.1171875,0.0390625,0.0546875,0.0859375,0.109375,0.0234375,0.171875,0.046875,0.1875,0.1640625
25,48841.48046875,1456.5655517578125,0.6572280526161194,0.009643160738050938,50955.27407312393,0.005396366119384766,0.4056670665740967,0.4475597143173218,0.109375,0.0390625,0.0546875,0.0859375,0.1015625,0.0234375,0.1796875,0.046875,0.1953125,0.1640625
