Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1.0,46548.95546875,1478.0789428710937,1.2018368005752564,0.03992189847631374,48066.956310097405,0.02218091487884517,0.38733287453651427,0.3971746176481247,0.084375,0.08125,0.06328125,0.09296875,0.09453125,0.021875,0.13984375,0.05625,0.22578125,0.13984375
2.0,48829.7296875,1472.7200317382812,0.5722892820835114,0.05409717414513576,50356.54689338342,0.0217312574386596,0.3751677185297012,0.40123585164546965,0.08984375,0.028125,0.0640625,0.0984375,0.115625,0.02265625,0.13203125,0.06015625,0.26171875,0.12734375
3.0,50771.77109375,1469.0791748046875,0.2564293757081032,0.06357162058775427,52304.42188914244,0.0208701372146606,0.3608861744403839,0.3876079171895981,0.1,0.00234375,0.06484375,0.11328125,0.125,0.02265625,0.128125,0.06015625,0.26484375,0.11875
4.0,51859.170703125,1463.3476318359376,0.16036183685064315,0.04974641964654436,53372.26475460748,0.020515108108520468,0.3587714284658432,0.3885321348905563,0.10625,0.0,0.06640625,0.128125,0.134375,0.02890625,0.12265625,0.0609375,0.23671875,0.115625
5.0,52086.415234375,1460.1988647460937,0.1254295505583286,0.039503412889871435,53586.11751201097,0.020414853096008233,0.3654893398284912,0.38954879641532897,0.109375,0.0,0.06796875,0.13671875,0.13984375,0.03203125,0.12109375,0.06171875,0.21484375,0.11640625
6.0,52437.052734375,1458.2070678710938,0.10860117748379702,0.038579589101209386,53933.8393913473,0.0201036691665649,0.37355016469955443,0.39278627932071686,0.11171875,0.0,0.06953125,0.14453125,0.1421875,0.03515625,0.12109375,0.0625,0.19609375,0.1171875
7.0,52943.45625,1460.1855224609376,0.10040170401334758,0.037135945959016654,54440.77771841995,0.01995985507965083,0.3827355176210403,0.3987156778573989,0.109375,0.0,0.0703125,0.1453125,0.13828125,0.04140625,0.121875,0.06484375,0.18671875,0.121875
8.0,51699.362890625,1453.2642944335937,0.09960484430193899,0.037919866066658814,53190.54705112525,0.02098283767700191,0.3926820009946823,0.40336194038391116,0.10546875,0.0,0.071875,0.14765625,0.134375,0.0453125,0.125,0.06640625,0.18046875,0.1234375
9.0,51165.35390625,1457.442431640625,0.1057802721858024,0.04021378789766455,52663.01012578829,0.020592260360717717,0.4053129702806473,0.4095318466424942,0.103125,0.0,0.07265625,0.1453125,0.13359375,0.0453125,0.12421875,0.06640625,0.18515625,0.12421875
10.0,50329.710546875,1447.8056518554688,0.11681280732154842,0.024279640847817023,51801.795839578284,0.01986794471740718,0.4132465094327927,0.4125134348869324,0.09921875,0.0,0.075,0.14609375,0.12734375,0.04609375,0.125,0.0671875,0.18671875,0.12734375
11.0,50548.757421875,1454.0012939453125,0.13322655633091923,0.049507342348806514,52052.266058169116,0.0202003955841064,0.41889283061027527,0.4184127748012543,0.096875,0.0,0.075,0.1453125,0.12734375,0.046875,0.12578125,0.0671875,0.190625,0.125
12.0,49732.405859375,1444.7019409179688,0.15278885215520857,0.031234842965932284,51208.342643258904,0.02018728256225581,0.4230682611465454,0.4208414554595947,0.096875,0.0,0.0765625,0.14375,0.12421875,0.0453125,0.1265625,0.06953125,0.1953125,0.121875
13.0,49432.752734375,1447.7325073242187,0.16839394718408582,0.03240144075825806,50912.88668245748,0.02010021209716792,0.42511171400547026,0.4249999403953552,0.09609375,0.0,0.0765625,0.14140625,0.1203125,0.0453125,0.12578125,0.0671875,0.19921875,0.128125
14.0,49468.64765625,1439.6053466796875,0.17541870027780532,0.04042564978590231,50948.67865271559,0.02000114917755122,0.4259601354598999,0.42337938249111173,0.0984375,0.0,0.07734375,0.1421875,0.1171875,0.0390625,0.12421875,0.0671875,0.20390625,0.13046875
