Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,47053.9921875,1494.853515625,0.8336246013641357,0.1013350784778595,49483.805382966995,0.01174473762512207,0.39049893617630005,0.4072100520133972,0.0859375,0.046875,0.078125,0.140625,0.0625,0.03125,0.125,0.0859375,0.21875,0.125
2,49397.65234375,1485.8143310546875,0.33329442143440247,0.1711043417453766,51387.86543798447,0.010462045669555664,0.34468013048171997,0.38119634985923767,0.1015625,0.0234375,0.078125,0.1484375,0.0625,0.0390625,0.109375,0.0859375,0.2109375,0.140625
3,51051.4921875,1489.811279296875,0.16537243127822876,0.04112805426120758,52747.80395233631,0.010345697402954102,0.32916730642318726,0.3582100570201874,0.109375,0.0,0.078125,0.171875,0.0703125,0.0390625,0.1015625,0.078125,0.2109375,0.140625
4,51091.265625,1487.2469482421875,0.12269295006990433,0.07457076758146286,52775.776290893555,0.010260581970214844,0.3310384154319763,0.36816301941871643,0.109375,0.0,0.078125,0.171875,0.078125,0.0390625,0.1015625,0.078125,0.2109375,0.1328125
5,50659.0859375,1522.072509765625,0.1028309166431427,0.006716365925967693,52290.705729834735,0.010498523712158203,0.34192317724227905,0.37376976013183594,0.1015625,0.0,0.078125,0.1796875,0.0859375,0.0390625,0.109375,0.078125,0.1953125,0.1328125
6,52202.50390625,1522.54052734375,0.09512465447187424,0.0008715663570910692,53821.040654422715,0.010401487350463867,0.3459283113479614,0.3829090893268585,0.0859375,0.0,0.078125,0.171875,0.1015625,0.0390625,0.125,0.078125,0.1953125,0.125
7,51679.3203125,1502.559326171875,0.09300565719604492,0.02748279459774494,53302.368090465665,0.0102081298828125,0.35312002897262573,0.3862585127353668,0.1015625,0.0,0.078125,0.1640625,0.1015625,0.046875,0.1171875,0.0859375,0.1875,0.1171875
8,50128.7109375,1496.552978515625,0.09660147875547409,3.7853191315662116e-05,51721.903247962415,0.01019597053527832,0.36080658435821533,0.38289186358451843,0.1171875,0.0,0.078125,0.1640625,0.1015625,0.046875,0.1015625,0.09375,0.1875,0.109375
9,49377.140625,1510.487060546875,0.10494736582040787,0.08635802567005157,51078.933077037334,0.010208606719970703,0.36347293853759766,0.3750057816505432,0.1171875,0.0,0.078125,0.1640625,0.1015625,0.0546875,0.1015625,0.09375,0.1796875,0.109375
10,49397.78125,1508.3223876953125,0.11926262080669403,0.0005669294623658061,51025.93318796437,0.010503530502319336,0.36905381083488464,0.37547749280929565,0.1171875,0.0,0.078125,0.1640625,0.09375,0.0546875,0.1015625,0.09375,0.1796875,0.1171875
11,49225.6953125,1518.8740234375,0.1319338083267212,0.007384339813143015,50883.887484077364,0.010174751281738281,0.37312424182891846,0.3921244144439697,0.1171875,0.0,0.078125,0.1640625,0.0859375,0.0546875,0.1015625,0.09375,0.1796875,0.125
12,47249.16015625,1501.5361328125,0.13809806108474731,0.011253292672336102,48900.04764281958,0.010212898254394531,0.37275245785713196,0.39547330141067505,0.1171875,0.0,0.078125,0.1640625,0.0859375,0.0546875,0.1015625,0.1015625,0.1796875,0.1171875
13,49852.7421875,1494.6162109375,0.1409691572189331,0.0014323818031698465,51489.7599374596,0.010212898254394531,0.3731642961502075,0.38987091183662415,0.1171875,0.0,0.078125,0.1640625,0.078125,0.0546875,0.1015625,0.1015625,0.1875,0.1171875
14,48518.89453125,1473.326416015625,0.13902351260185242,0.0363009087741375,50167.545368641615,0.010513544082641602,0.3744243383407593,0.3961866796016693,0.109375,0.0,0.0859375,0.1640625,0.0703125,0.0546875,0.09375,0.1015625,0.1953125,0.125
15,48204.0546875,1485.6390380859375,0.13604629039764404,0.003656630637124181,49829.396646620706,0.010640382766723633,0.37367314100265503,0.39232733845710754,0.109375,0.0,0.0859375,0.1640625,0.0703125,0.046875,0.09375,0.1015625,0.203125,0.125
16,50023.1484375,1431.4031982421875,0.13381439447402954,0.08518470823764801,51673.550738453865,0.01022195816040039,0.37163713574409485,0.3906433582305908,0.109375,0.0,0.0859375,0.1640625,0.0703125,0.0390625,0.09375,0.09375,0.2109375,0.1328125
17,48128.3515625,1452.682861328125,0.13377954065799713,0.004470083396881819,49719.284047883004,0.010233163833618164,0.36822760105133057,0.3845030963420868,0.109375,0.0,0.0859375,0.1640625,0.0703125,0.0390625,0.09375,0.09375,0.2109375,0.1328125
18,48228.0234375,1455.34619140625,0.13174806535243988,0.11953609436750412,49934.653788626194,0.010037660598754883,0.36471906304359436,0.38235044479370117,0.109375,0.0,0.0859375,0.1640625,0.0703125,0.0390625,0.09375,0.09375,0.2109375,0.1328125
19,47902.97265625,1443.083251953125,0.13029736280441284,0.017911268398165703,49494.2645394057,0.010093927383422852,0.36059844493865967,0.3724529445171356,0.1015625,0.0,0.0859375,0.1640625,0.0703125,0.0390625,0.1015625,0.09375,0.21875,0.125
20,46907.10546875,1416.897705078125,0.1278437376022339,0.002173449145630002,48454.02036057599,0.01019597053527832,0.35804229974746704,0.3688684105873108,0.1015625,0.0,0.0859375,0.1640625,0.0859375,0.0390625,0.1015625,0.09375,0.2109375,0.1171875
21,46739.6171875,1443.8609619140625,0.12355928122997284,0.09262052923440933,48399.657959878445,0.010519027709960938,0.35696130990982056,0.36778125166893005,0.1015625,0.0,0.0859375,0.171875,0.0859375,0.0390625,0.1015625,0.09375,0.203125,0.1171875
22,49690.73828125,1426.8077392578125,0.12033239006996155,0.010645190253853798,51248.52360083163,0.010188817977905273,0.35591182112693787,0.35666099190711975,0.109375,0.0,0.0859375,0.171875,0.0859375,0.0390625,0.09375,0.09375,0.203125,0.1171875
23,46887.96875,1461.38525390625,0.11726449429988861,0.030555088073015213,48497.173586279154,0.010163545608520508,0.35467085242271423,0.35413527488708496,0.109375,0.0,0.0859375,0.171875,0.0859375,0.046875,0.09375,0.09375,0.1953125,0.1171875
24,47730.8515625,1407.44384765625,0.11486870050430298,0.01091886404901743,49264.08297470957,0.010129928588867188,0.34983813762664795,0.3511418402194977,0.109375,0.0,0.0859375,0.171875,0.0859375,0.0546875,0.09375,0.09375,0.1875,0.1171875
25,48132.1015625,1418.257568359375,0.11311638355255127,0.00016770351794548333,49663.64321792987,0.010587692260742188,0.3432554602622986,0.34492066502571106,0.109375,0.0,0.0859375,0.171875,0.0859375,0.0546875,0.09375,0.09375,0.1875,0.1171875
26,47444.0546875,1431.2342529296875,0.11257682740688324,0.01633313111960888,49004.19889895618,0.010127782821655273,0.3364887535572052,0.3419208228588104,0.109375,0.0,0.0859375,0.171875,0.0859375,0.0546875,0.09375,0.09375,0.1875,0.1171875
27,48066.7265625,1425.299560546875,0.11231972277164459,0.018990300595760345,49623.33614641428,0.010155916213989258,0.332891047000885,0.33985286951065063,0.109375,0.0,0.0859375,0.171875,0.0859375,0.0546875,0.09375,0.0859375,0.1796875,0.1328125
28,46982.3671875,1430.9010009765625,0.1104922741651535,0.0007193388883024454,48524.47980153002,0.010127067565917969,0.3304709196090698,0.3371867537498474,0.109375,0.0,0.0859375,0.1640625,0.0859375,0.0546875,0.09375,0.0859375,0.1875,0.1328125
29,49316.45703125,1424.374267578125,0.11035391688346863,0.015225841663777828,50866.41105737537,0.010342836380004883,0.33153054118156433,0.33791738748550415,0.109375,0.0,0.0859375,0.1640625,0.078125,0.0546875,0.09375,0.0859375,0.203125,0.125
30,48319.15625,1439.6717529296875,0.11118382215499878,0.03777971491217613,49907.79153999686,0.010118961334228516,0.33560988306999207,0.34142976999282837,0.109375,0.0,0.0859375,0.1640625,0.078125,0.0546875,0.09375,0.0859375,0.203125,0.125
31,48183.9921875,1428.12548828125,0.11152292788028717,0.007742945570498705,49731.383549232036,0.010105371475219727,0.33942997455596924,0.3424631357192993,0.109375,0.0,0.0859375,0.1640625,0.078125,0.0546875,0.09375,0.0859375,0.203125,0.125
32,48734.109375,1453.8504638671875,0.11126090586185455,0.12090518325567245,50420.125927984715,0.010073184967041016,0.3422815501689911,0.3441326916217804,0.109375,0.0,0.0859375,0.1640625,0.078125,0.0546875,0.09375,0.0859375,0.203125,0.125
33,46922.125,1453.081787109375,0.11199312657117844,0.04107978567481041,48528.279699355364,0.010247945785522461,0.34329551458358765,0.34226661920547485,0.109375,0.0,0.0859375,0.1640625,0.078125,0.0546875,0.09375,0.0859375,0.203125,0.125
34,49237.71484375,1426.64306640625,0.11062382906675339,0.0703878104686737,50845.36954969168,0.010317087173461914,0.3432962894439697,0.3398035168647766,0.109375,0.0,0.0859375,0.1640625,0.0859375,0.0546875,0.09375,0.0859375,0.1953125,0.125
35,46256.68359375,1446.494873046875,0.10864369571208954,0.004388723988085985,47816.21088649705,0.010941028594970703,0.3414114713668823,0.3487711250782013,0.109375,0.0,0.0859375,0.1640625,0.0859375,0.0546875,0.09375,0.0859375,0.1875,0.1328125
36,47287.64453125,1428.47607421875,0.10512176901102066,0.04655628651380539,48867.798660993576,0.010594367980957031,0.3403587341308594,0.3513910472393036,0.109375,0.0,0.0859375,0.1640625,0.09375,0.0546875,0.09375,0.0859375,0.1875,0.125
37,47534.9375,1437.4599609375,0.10158540308475494,0.0015094199916347861,49075.49228401389,0.01058816909790039,0.34044402837753296,0.34620651602745056,0.109375,0.0,0.0859375,0.1640625,0.1015625,0.0546875,0.09375,0.0859375,0.1875,0.1171875
38,49049.54296875,1446.705078125,0.09986981749534607,0.05925321578979492,50655.37108016014,0.010334491729736328,0.3405382037162781,0.34197288751602173,0.09375,0.0,0.0859375,0.1640625,0.1015625,0.0546875,0.109375,0.0859375,0.1875,0.1171875
39,48026.390625,1419.826904296875,0.09901177883148193,0.011576065793633461,49556.80537392199,0.01034402847290039,0.33729398250579834,0.3416346311569214,0.09375,0.0,0.078125,0.171875,0.1015625,0.0546875,0.1171875,0.0859375,0.1796875,0.1171875
40,46717.78515625,1427.54296875,0.09579441696405411,0.03966697305440903,48280.78951501846,0.01030731201171875,0.3316248655319214,0.3322727680206299,0.09375,0.0,0.0859375,0.171875,0.1015625,0.0546875,0.109375,0.0859375,0.1875,0.109375
41,46852.578125,1411.5501708984375,0.09497016668319702,0.1952458918094635,48554.3443543911,0.010991334915161133,0.3271573781967163,0.33000674843788147,0.09375,0.0,0.0859375,0.1796875,0.1015625,0.0546875,0.109375,0.0859375,0.1796875,0.109375
42,49954.98046875,1427.9603271484375,0.09671354293823242,0.0026175782550126314,51482.27191709168,0.010421037673950195,0.32416537404060364,0.3269614577293396,0.09375,0.0,0.0859375,0.1796875,0.0859375,0.0546875,0.109375,0.0859375,0.1796875,0.125
43,46936.734375,1422.5140380859375,0.09776569157838821,0.006143970414996147,48463.15807507932,0.010323524475097656,0.32428136467933655,0.32666733860969543,0.09375,0.0,0.0859375,0.1796875,0.0859375,0.0546875,0.109375,0.0859375,0.1796875,0.125
44,47115.5,1400.837646484375,0.09867601096630096,0.010432630777359009,48625.446288228035,0.010241031646728516,0.32612091302871704,0.3295295834541321,0.09375,0.0,0.0859375,0.1796875,0.0859375,0.0546875,0.109375,0.0859375,0.171875,0.1328125
45,45913.02734375,1424.3272705078125,0.09980824589729309,0.011884883977472782,47449.04774413258,0.01044917106628418,0.3274909555912018,0.33089756965637207,0.0859375,0.0,0.0859375,0.1875,0.0859375,0.0546875,0.1171875,0.0859375,0.171875,0.125
46,46757.1015625,1420.166015625,0.09949841350317001,0.010187292471528053,48286.9532840997,0.010380744934082031,0.3326706290245056,0.3363637924194336,0.09375,0.0,0.0859375,0.1875,0.0859375,0.0546875,0.109375,0.09375,0.171875,0.1171875
47,45002.38671875,1425.431884765625,0.0993717834353447,0.0016602280084043741,46528.850614959374,0.010484695434570312,0.3380739092826843,0.34528183937072754,0.09375,0.0,0.09375,0.1796875,0.078125,0.0546875,0.109375,0.09375,0.1796875,0.1171875
48,47769.390625,1392.319580078125,0.1008995771408081,0.006300067994743586,49268.90985021368,0.01037454605102539,0.3442904055118561,0.3511895537376404,0.1015625,0.0,0.09375,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1796875,0.1171875
49,47442.69140625,1419.7825927734375,0.10198309272527695,0.033953286707401276,48998.410378456116,0.010428190231323242,0.34833231568336487,0.36067184805870056,0.09375,0.0,0.09375,0.171875,0.078125,0.0546875,0.109375,0.09375,0.1875,0.1171875
50,48032.984375,1391.4599609375,0.10339268296957016,0.012572146952152252,49540.40916585922,0.01024770736694336,0.35045963525772095,0.36215460300445557,0.1015625,0.0,0.09375,0.171875,0.078125,0.0546875,0.1015625,0.09375,0.1875,0.1171875
51,49637.0703125,1423.864013671875,0.10481325536966324,0.00490399869158864,51170.65158023313,0.010257244110107422,0.3480892777442932,0.3599696159362793,0.1015625,0.0,0.0859375,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1796875,0.125
52,47251.50390625,1396.1524658203125,0.10459310561418533,0.0024604545906186104,48754.70993227512,0.010324239730834961,0.34568172693252563,0.35855019092559814,0.1015625,0.0,0.0859375,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1796875,0.125
53,40834.0390625,1196.97705078125,0.10625194758176804,0.036448124796152115,42173.71618565917,0.010586977005004883,0.34359148144721985,0.35611581802368164,0.1015625,0.0,0.0859375,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1796875,0.125
54,48413.0390625,1410.4578857421875,0.10777202248573303,0.09767249971628189,50028.9414704442,0.011399507522583008,0.3414047360420227,0.3531782329082489,0.1015625,0.0,0.0859375,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1796875,0.125
55,48704.8984375,1409.510498046875,0.10907949507236481,0.05588652193546295,50279.3749525547,0.010672330856323242,0.34071552753448486,0.34766751527786255,0.109375,0.0,0.0859375,0.1796875,0.078125,0.046875,0.1015625,0.09375,0.1796875,0.125
56,48852.8828125,1405.082763671875,0.10901190340518951,0.06065145879983902,50427.6289383769,0.010381937026977539,0.3402571678161621,0.34707221388816833,0.109375,0.0,0.0859375,0.171875,0.078125,0.046875,0.1015625,0.09375,0.1875,0.125
57,47794.34765625,1407.25048828125,0.10848988592624664,0.30800947546958923,49618.097505927086,0.01068115234375,0.34112802147865295,0.3472529351711273,0.109375,0.0,0.0859375,0.171875,0.078125,0.0546875,0.09375,0.09375,0.1875,0.125
58,47469.5234375,1413.4141845703125,0.10841670632362366,0.02640664018690586,49017.76096858084,0.010428667068481445,0.34474432468414307,0.3533371686935425,0.109375,0.0,0.0859375,0.171875,0.078125,0.0546875,0.09375,0.09375,0.1875,0.125
59,47743.5234375,1427.5045166015625,0.10538285970687866,0.005364728160202503,49281.775541968644,0.01024317741394043,0.3484698235988617,0.3458850681781769,0.109375,0.0,0.078125,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1796875,0.125
60,47475.640625,1419.498779296875,0.10201337933540344,0.05268872529268265,49049.84150892496,0.010159015655517578,0.35056835412979126,0.35197895765304565,0.109375,0.0,0.078125,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1796875,0.125
61,49658.9453125,1454.908203125,0.09967005252838135,0.0037588183768093586,51217.28238653019,0.01020669937133789,0.35347479581832886,0.35331296920776367,0.109375,0.0,0.078125,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1796875,0.125
62,47592.7265625,1442.8985595703125,0.09693659842014313,0.0032012369483709335,49135.76295743883,0.010363340377807617,0.3524355888366699,0.3453678786754608,0.109375,0.0,0.078125,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1796875,0.125
63,47705.9921875,1450.9063720703125,0.09760459512472153,0.005843202117830515,49260.346356812865,0.010161638259887695,0.35032516717910767,0.34461474418640137,0.109375,0.0,0.078125,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1875,0.1171875
64,49528.0703125,1427.9915771484375,0.09896446019411087,0.010086762718856335,51065.113112561405,0.010321855545043945,0.34725266695022583,0.3472682237625122,0.109375,0.0,0.078125,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1875,0.1171875
65,47797.64453125,1448.374755859375,0.09827886521816254,0.07157280296087265,49415.87095528841,0.010420799255371094,0.3427278697490692,0.342434823513031,0.109375,0.0,0.078125,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.1875,0.1171875
66,47897.65234375,1468.14501953125,0.09689518809318542,0.0024514789693057537,49465.14403034374,0.010588884353637695,0.338331013917923,0.33584022521972656,0.1015625,0.0,0.078125,0.171875,0.0859375,0.0546875,0.109375,0.09375,0.1875,0.1171875
67,47572.94921875,1460.2315673828125,0.09469051659107208,0.12401561439037323,49251.88691711426,0.01018381118774414,0.334689199924469,0.3322618901729584,0.1015625,0.0,0.0859375,0.171875,0.0859375,0.0546875,0.1015625,0.09375,0.1796875,0.125
68,49473.71875,1479.802978515625,0.09338164329528809,0.07969845831394196,51126.601830124855,0.010354757308959961,0.3292180299758911,0.3293495178222656,0.1015625,0.0,0.09375,0.171875,0.078125,0.0546875,0.1015625,0.09375,0.1796875,0.125
69,46535.2734375,1474.402099609375,0.0918906033039093,0.024234330281615257,48125.8004706949,0.010322809219360352,0.32242706418037415,0.3244307041168213,0.1015625,0.0,0.09375,0.171875,0.078125,0.0546875,0.1015625,0.0859375,0.1796875,0.1328125
70,50290.14453125,1455.536376953125,0.09093359112739563,0.0005367251578718424,51837.15122448839,0.010156631469726562,0.31752657890319824,0.3205776810646057,0.1015625,0.0,0.09375,0.171875,0.078125,0.0546875,0.1015625,0.0859375,0.1796875,0.1328125
71,50159.8046875,1487.508056640625,0.09079097211360931,0.007457717787474394,51745.56143404171,0.010205268859863281,0.3160859942436218,0.3179625868797302,0.1015625,0.0,0.09375,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.171875,0.125
72,48091.484375,1458.913330078125,0.09025587886571884,0.022529548034071922,49663.183131977916,0.010710000991821289,0.31719571352005005,0.31818321347236633,0.1015625,0.0,0.09375,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.171875,0.125
73,47927.203125,1469.388671875,0.09130145609378815,0.002214520238339901,49490.10777320713,0.010188102722167969,0.32015329599380493,0.3196040689945221,0.1015625,0.0,0.09375,0.1796875,0.078125,0.0546875,0.1015625,0.09375,0.171875,0.125
74,48670.8515625,1453.385986328125,0.09483011811971664,0.08069468289613724,50299.76234984398,0.010150432586669922,0.32377782464027405,0.3205133080482483,0.109375,0.0,0.09375,0.1796875,0.078125,0.0546875,0.09375,0.09375,0.171875,0.125
75,49031.21875,1460.265625,0.10017728805541992,0.0017926450818777084,50593.4543081373,0.010126590728759766,0.3272915482521057,0.32281649112701416,0.109375,0.0,0.09375,0.1796875,0.078125,0.0546875,0.09375,0.09375,0.1796875,0.1171875
76,48383.76953125,1476.434814453125,0.10635603964328766,0.04117970913648605,50007.7400944829,0.01013326644897461,0.33058232069015503,0.32707205414772034,0.109375,0.0,0.0859375,0.1875,0.078125,0.0546875,0.09375,0.09375,0.1875,0.109375
77,48301.9375,1462.5179443359375,0.11187607049942017,0.087356336414814,49963.68785125017,0.010141849517822266,0.3328806161880493,0.3331720232963562,0.109375,0.0,0.0859375,0.1875,0.078125,0.0546875,0.09375,0.09375,0.1875,0.109375
78,47380.2265625,1464.78662109375,0.11252229660749435,0.019394109025597572,48976.92958922684,0.010776519775390625,0.3362007141113281,0.33826032280921936,0.109375,0.0,0.09375,0.1796875,0.078125,0.046875,0.1015625,0.09375,0.1875,0.109375
