Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1.0,45863.97421875,1482.5731689453125,1.329655122756958,0.02892202143993921,48705.12453189221,0.0234803199768066,0.38257968723773955,0.3800113171339035,0.0953125,0.0953125,0.078125,0.10546875,0.09921875,0.01953125,0.11796875,0.05859375,0.1953125,0.13515625
2.0,22487.1541015625,771.9274597167969,0.6626063823699951,0.10078624863308502,24022.474192282378,0.008706665039062448,0.3843896955251694,0.39419601261615755,0.09921875,0.0390625,0.0796875,0.1046875,0.11171875,0.02421875,0.1140625,0.05859375,0.240625,0.128125
3.0,52251.119140625,1484.6322875976562,0.27999407798051834,0.09865139581961554,54114.39690202279,0.022988033294677683,0.3764474630355835,0.3805000126361847,0.1078125,0.00390625,0.07890625,0.10625,0.12265625,0.0234375,0.11171875,0.0578125,0.2671875,0.1203125
4.0,21877.71875,764.9842163085938,0.1670209266245365,0.0778786692069843,22887.602562140113,0.00833570957183833,0.3843534588813782,0.3796950072050095,0.11484375,0.0015625,0.07890625,0.11640625,0.13359375,0.0234375,0.109375,0.06015625,0.24921875,0.1125
5.0,54120.77109375,1473.7607421875,0.1291802883148193,0.0788233617553487,55802.53548600767,0.0225530862808227,0.39180616736412044,0.3829204738140106,0.1203125,0.0,0.07890625,0.12890625,0.14140625,0.02734375,0.1109375,0.06171875,0.22578125,0.1046875
6.0,22246.4681640625,767.6637756347657,0.11220341175794597,0.08656587016594128,23212.901221621152,0.00857028961181636,0.3999413549900055,0.38920189440250397,0.1234375,0.0,0.0796875,0.13515625,0.146875,0.02890625,0.11484375,0.0609375,0.209375,0.10078125
7.0,54043.874609375,1479.25908203125,0.105556209385395,0.08610492421248633,55714.79482500414,0.022930812835693298,0.401177653670311,0.38641699552536013,0.12109375,0.0,0.08203125,0.14296875,0.146875,0.03203125,0.115625,0.06171875,0.19765625,0.1
8.0,21830.9841796875,772.297705078125,0.1055051229894161,0.06517356585245575,22773.960573607495,0.009060049057006778,0.406689727306366,0.3884993940591812,0.1171875,0.0,0.0828125,0.14609375,0.146875,0.03359375,0.11796875,0.0640625,0.190625,0.10078125
9.0,53434.752734375,1484.6667602539062,0.11234488263726228,0.051708101722761,55083.47247898893,0.02213106155395502,0.41121079623699186,0.3941758096218109,0.1140625,0.0,0.084375,0.146875,0.14453125,0.03515625,0.11875,0.06484375,0.18984375,0.1015625
10.0,21909.930859375,764.7784545898437,0.12552435547113414,0.07740240150596941,22877.636070941946,0.00858626365661616,0.41005981862545016,0.39859092235565186,0.11171875,0.0,0.08671875,0.15,0.140625,0.03515625,0.1171875,0.0640625,0.1890625,0.10546875
11.0,51374.897265625,1471.5576538085938,0.14478944092988966,0.04399873120710249,53035.243091570585,0.022679996490478468,0.4053564041852951,0.4025122940540314,0.11015625,0.0,0.08984375,0.14921875,0.13515625,0.03828125,0.11328125,0.0640625,0.18828125,0.11171875
12.0,21571.801953125,765.3877807617188,0.16689175218343733,0.03036337607773018,22534.444862147888,0.0083285808563232,0.40515353679656985,0.4076455652713776,0.11015625,0.0,0.09140625,0.14453125,0.1265625,0.03671875,0.1109375,0.0640625,0.19375,0.121875
13.0,50945.083984375,1467.7685668945312,0.18521720170974726,0.025072574022487915,52623.14232700176,0.02280545234680171,0.40757758915424347,0.4123070627450943,0.1109375,0.0,0.0921875,0.14375,0.121875,0.0359375,0.11015625,0.06640625,0.1953125,0.1234375
14.0,21432.5462890625,768.1412475585937,0.19243887066841123,0.05305576758983075,22446.182174879337,0.00855894088745112,0.4076590746641159,0.41245355308055875,0.109375,0.00078125,0.0921875,0.1390625,0.11796875,0.034375,0.11015625,0.0671875,0.203125,0.12578125
15.0,50323.243359375,1478.3450317382812,0.18690487444400786,0.04072754066437477,52029.22080622167,0.02189457416534419,0.4073965311050415,0.41116763651371,0.10859375,0.0,0.09296875,0.134375,0.11796875,0.034375,0.11015625,0.06875,0.20859375,0.12421875
16.0,21405.644140625,765.0011657714844,0.17489074319601058,0.03776182448491448,22383.29787407741,0.00835072994232173,0.40921911001205447,0.40873520374298095,0.10625,0.0,0.09296875,0.12890625,0.121875,0.03359375,0.1109375,0.06875,0.21640625,0.1203125
17.0,50197.41328125,1466.1451782226563,0.1603027448058128,0.03581061140866945,51859.671815687136,0.02194113731384274,0.4102464884519577,0.4083767235279083,0.10625,0.0,0.09296875,0.12734375,0.11953125,0.034375,0.1109375,0.06875,0.2171875,0.12265625
18.0,21164.8955078125,766.6496154785157,0.14694714993238447,0.058098876429721655,22136.591149653123,0.00836360454559323,0.41025117337703704,0.4064139425754547,0.10625,0.0,0.09453125,0.12734375,0.11953125,0.034375,0.11015625,0.06875,0.21640625,0.12265625
19.0,51027.7875,1470.274365234375,0.13675881400704384,0.029374716055463018,52664.19539529688,0.021860098838806095,0.40836002826690676,0.4053895980119705,0.10546875,0.0,0.09453125,0.128125,0.11953125,0.034375,0.1109375,0.06875,0.2171875,0.12109375
20.0,21549.746484375,767.894775390625,0.12933770567178723,0.0662558384239673,22513.234803861378,0.00842242240905757,0.40809437036514284,0.404069721698761,0.1046875,0.0,0.09375,0.13515625,0.12109375,0.03359375,0.11171875,0.06953125,0.21171875,0.11875
21.0,51432.37890625,1463.2451416015624,0.12429371774196621,0.04789825763145923,53067.81602322499,0.02190520763397214,0.4096988797187805,0.40552800297737124,0.10546875,0.0,0.09296875,0.13828125,0.1265625,0.03359375,0.1109375,0.06953125,0.209375,0.11328125
22.0,21098.640625,760.3156860351562,0.12055879905819891,0.04749203366227445,22027.00714375563,0.008436274528503382,0.41001810431480407,0.40207909047603607,0.10625,0.0,0.090625,0.1390625,0.1296875,0.03671875,0.1125,0.0703125,0.203125,0.11171875
23.0,51073.39609375,1456.451220703125,0.11872025579214093,0.04010008279001335,52688.66765303528,0.022343277931213316,0.4112099289894104,0.4009736657142639,0.10546875,0.0,0.090625,0.14375,0.13125,0.0359375,0.11171875,0.07109375,0.20078125,0.109375
24.0,21370.3380859375,758.0180114746094,0.11880738735198973,0.06811873725322354,22315.282222017322,0.00860199928283685,0.413432639837265,0.40181519985198977,0.10703125,0.0,0.0890625,0.14453125,0.13359375,0.03828125,0.11171875,0.07109375,0.196875,0.1078125
25.0,51699.23828125,1457.3781127929688,0.12083781063556667,0.029370928679418228,53306.825133357954,0.0224342823028564,0.41523210108280184,0.402717661857605,0.11015625,0.0,0.08828125,0.14453125,0.13359375,0.03984375,0.11015625,0.07109375,0.19375,0.10859375
26.0,21746.3076171875,756.3375061035156,0.12431571409106253,0.06221475749989617,22689.175594881974,0.008466768264770452,0.4158905863761902,0.40109059810638426,0.11015625,0.0,0.08671875,0.14609375,0.1359375,0.03984375,0.109375,0.0703125,0.19453125,0.10703125
27.0,51252.912890625,1451.3269897460937,0.12850629091262816,0.06665713586626218,52899.40330714998,0.02190108299255366,0.41440421938896177,0.40097472369670867,0.10859375,0.0,0.0875,0.1484375,0.1390625,0.040625,0.11015625,0.06875,0.19140625,0.10546875
28.0,21551.194921875,754.8528869628906,0.13231196999549863,0.030213118944507733,22468.5728977779,0.008280849456787049,0.4146002769470215,0.398705193400383,0.10859375,0.0,0.0875,0.14765625,0.13828125,0.0421875,0.109375,0.06796875,0.18984375,0.10859375
29.0,51891.78828125,1452.6638916015625,0.13401353955268858,0.046171104634413464,53524.63681703866,0.02193253040313716,0.41705337464809417,0.39685302674770356,0.109375,0.0,0.08984375,0.1484375,0.13828125,0.04140625,0.11015625,0.0671875,0.1875,0.1078125
30.0,21297.1640625,752.7584411621094,0.13345171064138409,0.028843836188207173,22212.218050491698,0.00879571437835688,0.420213857293129,0.39799306392669676,0.109375,0.0,0.090625,0.14765625,0.1390625,0.0421875,0.10859375,0.065625,0.18828125,0.10859375
