Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,46943.4609375,1480.076171875,1.106473684310913,0.004261948633939028,49534.27274231985,0.012434720993041992,0.3801732659339905,0.41210490465164185,0.09375,0.0703125,0.0390625,0.109375,0.078125,0.015625,0.109375,0.0703125,0.28125,0.1328125
2,23176.55078125,743.9727783203125,0.4778662323951721,0.01120290532708168,24409.592697292566,0.007600307464599609,0.3764462471008301,0.43078911304473877,0.1015625,0.0078125,0.046875,0.109375,0.109375,0.0234375,0.09375,0.0703125,0.328125,0.109375
3,51730.3203125,1453.1866455078125,0.2213280200958252,0.02248218283057213,53427.31716093421,0.010214805603027344,0.37510401010513306,0.4329196810722351,0.1015625,0.0,0.046875,0.140625,0.1328125,0.0234375,0.09375,0.0703125,0.28125,0.109375
4,22821.951171875,742.4503784179688,0.16111671924591064,0.003140032524242997,23728.658302063122,0.00756525993347168,0.38477635383605957,0.4206807017326355,0.1015625,0.0,0.0390625,0.15625,0.1796875,0.0234375,0.1015625,0.078125,0.2578125,0.0625
5,55961.75,1465.009033203125,0.13862664997577667,0.08138620853424072,57646.77189171314,0.010261774063110352,0.38055211305618286,0.40935829281806946,0.1015625,0.0,0.03125,0.15625,0.1796875,0.03125,0.109375,0.0703125,0.25,0.0703125
6,23785.759765625,752.3524780273438,0.12482212483882904,0.015379795804619789,24678.314164295793,0.007820367813110352,0.38417184352874756,0.41434943675994873,0.109375,0.0,0.03125,0.1484375,0.1796875,0.03125,0.109375,0.0703125,0.2421875,0.078125
7,56453.73828125,1424.642822265625,0.11684401333332062,0.009122395887970924,58004.34751273692,0.010233640670776367,0.39348745346069336,0.43126991391181946,0.125,0.0,0.0390625,0.1484375,0.1796875,0.0390625,0.109375,0.0703125,0.203125,0.0859375
8,21896.20703125,759.2750244140625,0.115516796708107,0.00022711158089805394,22771.225963953068,0.007679939270019531,0.40644556283950806,0.4524564743041992,0.1328125,0.0,0.0390625,0.1484375,0.1796875,0.046875,0.1015625,0.0703125,0.1953125,0.0859375
9,54632.328125,1449.0517578125,0.11774124205112457,0.12245185673236847,56321.57298159599,0.011404275894165039,0.4183681011199951,0.45438843965530396,0.125,0.0,0.0546875,0.15625,0.1640625,0.0390625,0.09375,0.0625,0.1953125,0.109375
10,21684.671875,747.5719604492188,0.12084518373012543,0.008075595833361149,22561.164615012705,0.007582664489746094,0.43364015221595764,0.4607813060283661,0.1171875,0.0,0.0546875,0.171875,0.1484375,0.0390625,0.09375,0.0703125,0.1953125,0.109375
11,51587.4921875,1448.87109375,0.13059085607528687,0.05165959522128105,53218.61373254657,0.010232686996459961,0.44660699367523193,0.46598541736602783,0.1015625,0.0,0.0546875,0.1640625,0.1484375,0.0390625,0.1015625,0.0625,0.2109375,0.1171875
12,21814.98046875,763.5924072265625,0.148464173078537,0.017747953534126282,22744.785002589226,0.007965803146362305,0.45603591203689575,0.46023768186569214,0.09375,0.0,0.0625,0.1640625,0.125,0.0390625,0.1015625,0.0625,0.21875,0.1328125
13,52294.73828125,1457.80712890625,0.16735246777534485,0.031369682401418686,53951.26756033301,0.010370492935180664,0.4440392851829529,0.4591829776763916,0.0859375,0.0,0.0625,0.1640625,0.109375,0.0390625,0.1015625,0.0625,0.2265625,0.1484375
14,21628.587890625,765.3922119140625,0.18860331177711487,0.041992101818323135,22624.5755161345,0.007569074630737305,0.43180224299430847,0.45523902773857117,0.0859375,0.0,0.0625,0.1640625,0.109375,0.03125,0.109375,0.0703125,0.234375,0.1328125
15,51162.5703125,1458.277587890625,0.20286825299263,0.019643280655145645,52843.3594340384,0.01058506965637207,0.4250938594341278,0.44557487964630127,0.0859375,0.0,0.0625,0.1640625,0.0859375,0.03125,0.109375,0.078125,0.234375,0.1484375
16,22201.123046875,760.3483276367188,0.2058323323726654,0.010342615656554699,23177.64632254094,0.007637500762939453,0.41830122470855713,0.43663108348846436,0.0859375,0.0,0.0546875,0.15625,0.078125,0.03125,0.109375,0.078125,0.25,0.15625
17,53719.53515625,1468.6953125,0.19323484599590302,0.10398166626691818,55485.44698101282,0.01032876968383789,0.41072970628738403,0.42921027541160583,0.0859375,0.0,0.0546875,0.1640625,0.0703125,0.03125,0.109375,0.078125,0.2421875,0.1640625
18,21134.12890625,759.9232177734375,0.17570948600769043,0.40411627292633057,22473.87788295746,0.007500410079956055,0.40458500385284424,0.4268578886985779,0.0859375,0.0,0.0546875,0.15625,0.0703125,0.0390625,0.109375,0.078125,0.2421875,0.1640625
19,53660.8125,1463.2401123046875,0.1563611626625061,0.3190435469150543,55599.45732188225,0.010269403457641602,0.40176358819007874,0.4227389693260193,0.0859375,0.0,0.0546875,0.1328125,0.078125,0.046875,0.109375,0.078125,0.25,0.1640625
20,21704.4296875,782.5130615234375,0.13989457488059998,0.04243779927492142,22669.27512317896,0.007629871368408203,0.4048048257827759,0.43067699670791626,0.0859375,0.0,0.0625,0.125,0.1015625,0.0546875,0.1015625,0.078125,0.25,0.140625
21,55911.21875,1476.945068359375,0.12526269257068634,0.16239656507968903,57675.82307600975,0.010202407836914062,0.4183955788612366,0.4401671290397644,0.0859375,0.0,0.0546875,0.1328125,0.1171875,0.0546875,0.1015625,0.0859375,0.2421875,0.125
22,20589.494140625,768.7855224609375,0.11471304297447205,0.09804872423410416,21571.041430294514,0.00754094123840332,0.437424898147583,0.4483271539211273,0.0859375,0.0,0.0546875,0.1328125,0.1484375,0.0546875,0.1015625,0.0859375,0.2421875,0.09375
23,57991.05859375,1463.8765869140625,0.11062507331371307,0.08287558704614639,59648.43584102392,0.010437488555908203,0.43346214294433594,0.44950488209724426,0.0859375,0.0,0.046875,0.1328125,0.1640625,0.0546875,0.109375,0.0859375,0.2421875,0.078125
24,20433.859375,757.3128662109375,0.10810351371765137,0.07799237966537476,21377.268134593964,0.007626056671142578,0.42919039726257324,0.4504344165325165,0.09375,0.0,0.0546875,0.1328125,0.1640625,0.046875,0.1015625,0.0859375,0.2421875,0.078125
25,59081.2734375,1476.41845703125,0.10975479334592819,0.09636052697896957,60763.80721485615,0.010370731353759766,0.4288182556629181,0.4510013163089752,0.09375,0.0,0.0546875,0.1328125,0.171875,0.046875,0.109375,0.0859375,0.234375,0.0703125
26,21652.38671875,781.9528198242188,0.11288303881883621,0.003972661215811968,22551.195238608867,0.008140087127685547,0.4291420578956604,0.44897061586380005,0.09375,0.0,0.0546875,0.140625,0.1640625,0.046875,0.109375,0.078125,0.2265625,0.0859375
27,56585.5390625,1468.41796875,0.1182800829410553,0.055589329451322556,58227.82644364238,0.01124119758605957,0.4327489137649536,0.4492149353027344,0.0859375,0.0,0.0546875,0.15625,0.15625,0.0546875,0.109375,0.078125,0.203125,0.1015625
28,21304.47265625,771.5366821289062,0.12601059675216675,0.0305192731320858,22232.53920826316,0.008146047592163086,0.4359920918941498,0.44379496574401855,0.0859375,0.0,0.0546875,0.15625,0.15625,0.046875,0.109375,0.078125,0.2109375,0.1015625
29,57402.1640625,1484.13134765625,0.13364003598690033,0.06415443122386932,59084.08987736702,0.011037826538085938,0.437799334526062,0.44031479954719543,0.0859375,0.0,0.0546875,0.15625,0.1484375,0.0390625,0.109375,0.078125,0.2265625,0.1015625
30,20376.19140625,774.2517700195312,0.14119872450828552,0.06729031354188919,21358.932214319706,0.008088350296020508,0.4372628629207611,0.4341920018196106,0.0859375,0.0,0.0546875,0.15625,0.1484375,0.0390625,0.109375,0.078125,0.2265625,0.1015625
