Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1.0,46337.16171875,1474.5608154296874,1.142165470123291,0.008319231257883034,47820.04176543757,0.01185383796691889,0.39265172779560087,0.3787088543176651,0.08828125,0.08046875,0.07578125,0.10078125,0.08671875,0.02578125,0.1296875,0.0625,0.22265625,0.12734375
2.0,22243.296484375,770.3278442382813,0.5237605422735214,0.04520411711418996,23058.82844572747,0.00703351497650143,0.38223676979541776,0.3821881949901581,0.0921875,0.02734375,0.07578125,0.10234375,0.09765625,0.02734375,0.12890625,0.0625,0.25625,0.1296875
3.0,49712.1796875,1478.5110107421874,0.329434160888195,0.03264641610439864,51223.337114346585,0.010440778732299769,0.3809639811515808,0.3777207970619202,0.1015625,0.0109375,0.0765625,0.10390625,0.1046875,0.0265625,0.12421875,0.06328125,0.26015625,0.128125
4.0,22310.723046875,766.9113525390625,0.21378606855869292,0.03365974896005349,23111.294148374116,0.0070336580276488606,0.38310990631580355,0.37754444479942323,0.103125,0.003125,0.07734375,0.1140625,0.11328125,0.0296875,0.1234375,0.0640625,0.25,0.121875
5.0,52989.7625,1470.5876220703126,0.17379712015390397,0.0825758678372949,54542.925989907606,0.01043202877044675,0.38510282933712003,0.3833019584417343,0.11171875,0.00234375,0.078125,0.1234375,0.11640625,0.028125,0.12421875,0.0640625,0.228125,0.1234375
6.0,21937.5439453125,769.0223510742187,0.1486258707940578,0.03087495568624944,22737.441252072967,0.00700283050537105,0.3877747356891632,0.38857304155826566,0.11484375,0.0015625,0.078125,0.13671875,0.11796875,0.0296875,0.12578125,0.06484375,0.20703125,0.1234375
7.0,53243.917578125,1469.39365234375,0.1444981977343559,0.03239697599638015,54745.70820646513,0.01050741672515864,0.3893280178308487,0.3932874441146851,0.11640625,0.0015625,0.07890625,0.140625,0.1203125,0.02890625,0.125,0.065625,0.2,0.12265625
8.0,21798.4099609375,770.642041015625,0.14484247863292693,0.028727393230656116,22597.77939518378,0.0069945096969604,0.3910887360572815,0.3936850160360336,0.11328125,0.00078125,0.0796875,0.14375,0.1203125,0.03203125,0.1265625,0.06484375,0.19375,0.125
9.0,51963.078125,1467.3573486328125,0.15763126015663145,0.03126894857996371,53461.70442221277,0.010340237617492618,0.39377734065055847,0.3938976675271988,0.11328125,0.0015625,0.0796875,0.14296875,0.1203125,0.03203125,0.12421875,0.065625,0.19375,0.1265625
10.0,21474.09140625,760.3145568847656,0.17089151889085769,0.02104610063397553,22255.452063768742,0.006983160972595178,0.3984538972377777,0.3926284223794937,0.11171875,0.0015625,0.08046875,0.1453125,0.1171875,0.0328125,0.12265625,0.0640625,0.19296875,0.13125
