Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,46657.8046875,1481.3016357421875,1.0012009143829346,0.00105701491702348,48140.16333815921,0.01175999641418457,0.36174121499061584,0.3522089719772339,0.0859375,0.0625,0.046875,0.09375,0.078125,0.03125,0.171875,0.0546875,0.2265625,0.1484375
2,22758.78125,762.3790283203125,0.4125306308269501,0.04900683835148811,23570.1671166718,0.007005929946899414,0.33759796619415283,0.35559573769569397,0.09375,0.015625,0.046875,0.1015625,0.0859375,0.03125,0.1640625,0.0625,0.2578125,0.140625
3,50373.86328125,1497.561279296875,0.24074071645736694,0.07896614819765091,51950.390708744526,0.010668039321899414,0.3257923424243927,0.33746474981307983,0.09375,0.0,0.046875,0.1171875,0.09375,0.03125,0.1640625,0.0625,0.25,0.140625
4,22349.484375,781.8323974609375,0.17384283244609833,0.0006655316683463752,23131.982304129284,0.006964445114135742,0.3263828754425049,0.3500659763813019,0.09375,0.0,0.046875,0.1328125,0.09375,0.03125,0.1640625,0.0625,0.234375,0.140625
5,52220.765625,1490.24169921875,0.15411442518234253,0.14925415813922882,53860.26148235798,0.01062154769897461,0.33387598395347595,0.35772228240966797,0.109375,0.0,0.046875,0.1484375,0.09375,0.015625,0.1640625,0.0625,0.21875,0.140625
6,22112.857421875,790.0560302734375,0.1344352513551712,0.0315130352973938,22934.42648744583,0.007019758224487305,0.344163179397583,0.3676413297653198,0.09375,0.0,0.046875,0.171875,0.09375,0.03125,0.1640625,0.0625,0.1953125,0.140625
7,52098.4375,1485.478759765625,0.12835082411766052,0.028612537309527397,53612.52879707515,0.010308265686035156,0.3489478826522827,0.38000935316085815,0.09375,0.0,0.046875,0.171875,0.09375,0.03125,0.1640625,0.0625,0.1953125,0.140625
8,21867.263671875,778.1712646484375,0.12435746192932129,0.05191129818558693,22697.346234709024,0.006932258605957031,0.3578602969646454,0.3863173723220825,0.09375,0.0,0.046875,0.171875,0.09375,0.0390625,0.1640625,0.0625,0.1875,0.140625
9,52195.6484375,1501.191162109375,0.13146090507507324,0.012365780770778656,53709.205380380154,0.010174036026000977,0.3652805685997009,0.37757056951522827,0.09375,0.0,0.046875,0.171875,0.09375,0.0390625,0.1640625,0.0625,0.1875,0.140625
10,21792.64453125,761.1951293945312,0.1423710435628891,0.013594943098723888,22567.434603743255,0.0068206787109375,0.3743554353713989,0.35113000869750977,0.09375,0.0,0.046875,0.171875,0.09375,0.046875,0.15625,0.0625,0.1875,0.140625
11,51916.3515625,1467.9954833984375,0.1602347046136856,0.004055711440742016,53388.40275733918,0.010209083557128906,0.3934273421764374,0.34576863050460815,0.09375,0.0,0.046875,0.171875,0.09375,0.046875,0.15625,0.0625,0.1875,0.140625
12,20985.234375,777.3349609375,0.1736806333065033,0.044974442571401596,21807.5437785089,0.006802558898925781,0.42039671540260315,0.35313212871551514,0.09375,0.0,0.046875,0.1640625,0.09375,0.046875,0.15625,0.0625,0.1953125,0.140625
13,50247.6875,1471.394287109375,0.191875159740448,0.04528049752116203,51764.36228463054,0.01037287712097168,0.44586092233657837,0.3658922612667084,0.09375,0.0,0.046875,0.1640625,0.09375,0.046875,0.15625,0.0625,0.1953125,0.140625
14,21931.810546875,763.6072998046875,0.2003604769706726,0.0015033759409561753,22696.921222620644,0.006792545318603516,0.4354258179664612,0.35432082414627075,0.09375,0.0,0.046875,0.1640625,0.1015625,0.0390625,0.15625,0.0625,0.203125,0.1328125
