Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,21118.02734375,775.4215087890625,1.2993457317352295,0.01198519580066204,21893.448852539062,0.012929677963256836,0.409138947725296,0.4011017084121704,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
2,20480.0390625,761.4652099609375,1.2989423274993896,0.013399988412857056,21241.504272460938,0.009495258331298828,0.4091665744781494,0.4009498357772827,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
3,21820.0234375,780.2434692382812,1.2989912033081055,0.007143104448914528,22600.26690673828,0.009621143341064453,0.409059077501297,0.4007095694541931,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
4,21266.19921875,769.9417724609375,1.298555850982666,0.021952087059617043,22036.140991210938,0.01012730598449707,0.4090103507041931,0.40061530470848083,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
5,21567.00390625,772.9764404296875,1.2978525161743164,0.0006763018318451941,22339.980346679688,0.00951385498046875,0.40894821286201477,0.40041208267211914,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
6,21639.4375,776.134033203125,1.2972383499145508,0.024894215166568756,22415.571533203125,0.009579181671142578,0.40886110067367554,0.4002700746059418,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
7,22514.546875,766.8958740234375,1.2968697547912598,0.012006299570202827,23281.442749023438,0.009760856628417969,0.408772736787796,0.4000752568244934,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
8,20832.21875,756.4722900390625,1.2963563203811646,0.0371231772005558,21588.691040039062,0.009431838989257812,0.4087110161781311,0.39989256858825684,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
9,23946.572265625,754.4600830078125,1.295903205871582,0.00020484364358708262,24701.032348632812,0.00978994369506836,0.408631294965744,0.3996577560901642,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
10,21319.61328125,768.5194091796875,1.2952922582626343,0.005197874736040831,22088.132690429688,0.011422872543334961,0.4085514545440674,0.39945006370544434,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
11,22669.150390625,770.3626708984375,1.294619083404541,0.07212858647108078,23439.513061523438,0.017324209213256836,0.4084464907646179,0.39923688769340515,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
12,22355.578125,781.5223388671875,1.2938920259475708,0.0007824111962690949,23137.100463867188,0.010474920272827148,0.4083554744720459,0.3990585207939148,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
13,20900.572265625,773.0216064453125,1.2931692600250244,0.04792972281575203,21673.593872070312,0.010517358779907227,0.40824466943740845,0.3979578912258148,0.1015625,0.09375,0.0625,0.046875,0.0859375,0.03125,0.140625,0.046875,0.2421875,0.1484375
