Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,24480.91796875,760.9742431640625,1.3269110918045044,0.12240255624055862,25241.892211914062,0.00928807258605957,0.4036462604999542,0.3437061309814453,0.1015625,0.1015625,0.078125,0.1015625,0.0625,0.03125,0.1171875,0.046875,0.2265625,0.1328125
2,23603.16796875,752.2996215820312,1.3190066814422607,0.0010240549454465508,24355.46759033203,0.006936788558959961,0.3873646557331085,0.3496992588043213,0.1015625,0.09375,0.0859375,0.09375,0.0703125,0.0234375,0.1171875,0.0390625,0.2421875,0.1328125
3,21248.8515625,758.3878173828125,1.227065086364746,0.002756742062047124,22007.239379882812,0.006797075271606445,0.3994487226009369,0.36874493956565857,0.125,0.09375,0.09375,0.09375,0.0859375,0.0078125,0.1171875,0.0390625,0.2265625,0.1171875
4,21469.671875,778.5616455078125,1.1231080293655396,0.01533279288560152,22248.233520507812,0.007489681243896484,0.4232895076274872,0.3740088939666748,0.140625,0.0703125,0.09375,0.09375,0.109375,0.0078125,0.1171875,0.0390625,0.2109375,0.1171875
5,22193.98828125,770.1357421875,1.0036425590515137,0.2393440157175064,22964.1240234375,0.007442951202392578,0.42758023738861084,0.3777045011520386,0.15625,0.0703125,0.1015625,0.0859375,0.109375,0.015625,0.1171875,0.0390625,0.1796875,0.125
6,21396.216796875,770.4715576171875,0.8263282775878906,0.09519080072641373,22166.688354492188,0.007256031036376953,0.4266229271888733,0.37929415702819824,0.1640625,0.0546875,0.09375,0.09375,0.1171875,0.015625,0.1171875,0.0390625,0.1796875,0.125
7,21783.46484375,776.1846923828125,0.7006864547729492,0.3678784668445587,22559.649536132812,0.006924629211425781,0.4193478226661682,0.3902069330215454,0.1640625,0.0390625,0.09375,0.109375,0.1171875,0.015625,0.1171875,0.0390625,0.1796875,0.125
8,22246.44140625,761.7625732421875,0.5945520997047424,0.17965883016586304,23008.203979492188,0.0071258544921875,0.40759900212287903,0.39380472898483276,0.1640625,0.0234375,0.09375,0.125,0.1171875,0.015625,0.109375,0.0390625,0.1796875,0.1328125
9,22650.0859375,771.8387451171875,0.5101630091667175,0.20890960097312927,23421.924682617188,0.006989717483520508,0.40401995182037354,0.3967302739620209,0.1796875,0.0234375,0.0859375,0.125,0.1171875,0.015625,0.109375,0.046875,0.171875,0.125
10,22627.51171875,787.0784301757812,0.4597954750061035,0.11382152885198593,23414.59014892578,0.006955146789550781,0.4100136160850525,0.40464434027671814,0.1640625,0.0234375,0.1015625,0.125,0.1171875,0.015625,0.1015625,0.046875,0.1796875,0.125
11,21724.05078125,781.3102416992188,0.4632689356803894,0.1798861175775528,22505.36102294922,0.007489681243896484,0.42358100414276123,0.40027251839637756,0.1640625,0.0234375,0.1015625,0.125,0.109375,0.015625,0.109375,0.046875,0.1796875,0.125
12,23382.54296875,772.4736328125,0.4976545572280884,0.09422282874584198,24155.0166015625,0.007108211517333984,0.44687867164611816,0.40606239438056946,0.1640625,0.0234375,0.1015625,0.125,0.0859375,0.015625,0.109375,0.046875,0.1796875,0.1484375
13,22148.353515625,759.0775146484375,0.5592919588088989,0.165414497256279,22907.431030273438,0.006966829299926758,0.46016085147857666,0.40604931116104126,0.15625,0.03125,0.09375,0.125,0.0859375,0.0234375,0.109375,0.046875,0.1796875,0.1484375
14,21708.4375,776.4553833007812,0.6493483781814575,0.003244957886636257,22484.89288330078,0.007166385650634766,0.48552024364471436,0.40305647253990173,0.140625,0.0625,0.09375,0.1171875,0.0859375,0.03125,0.1171875,0.046875,0.15625,0.1484375
15,22054.025390625,772.9119873046875,0.7392388582229614,0.00011070135224144906,22826.937377929688,0.0073986053466796875,0.43889158964157104,0.4014485478401184,0.1328125,0.0625,0.09375,0.1015625,0.0703125,0.0390625,0.1171875,0.046875,0.1875,0.1484375
16,21655.181640625,765.744384765625,0.8266704678535461,0.28262007236480713,22420.926025390625,0.007250785827636719,0.4164828062057495,0.40216702222824097,0.125,0.0625,0.09375,0.09375,0.0703125,0.0390625,0.1171875,0.046875,0.203125,0.1484375
17,21722.1640625,768.5074462890625,0.869755744934082,0.20416203141212463,22490.671508789062,0.0078277587890625,0.40980470180511475,0.39072149991989136,0.125,0.0625,0.09375,0.09375,0.0703125,0.0390625,0.1171875,0.046875,0.2109375,0.140625
18,22162.712890625,756.593505859375,0.8910424709320068,0.11350284516811371,22919.306396484375,0.007452964782714844,0.41506773233413696,0.4073163866996765,0.125,0.0625,0.09375,0.09375,0.0703125,0.0390625,0.1171875,0.046875,0.2109375,0.140625
