Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,23342.95703125,782.662353515625,1.0309696197509766,0.01820230297744274,25156.5890045166,0.010212182998657227,0.4191967844963074,0.4036559760570526,0.0390625,0.0546875,0.0390625,0.2109375,0.1328125,0.015625,0.1796875,0.0625,0.171875,0.09375
2,21927.12890625,780.2205810546875,1.0363407135009766,0.004068007692694664,23743.690200805664,0.008383512496948242,0.41907912492752075,0.4040391147136688,0.0390625,0.0625,0.0390625,0.2109375,0.1328125,0.015625,0.1796875,0.0625,0.1640625,0.09375
3,21317.966796875,757.2235107421875,1.0410515069961548,0.00227153766900301,23116.241814613342,0.008288383483886719,0.41892945766448975,0.40339404344558716,0.0390625,0.0625,0.0390625,0.2109375,0.1328125,0.015625,0.1796875,0.0625,0.1640625,0.09375
4,22440.93359375,775.8179321289062,1.0447211265563965,0.033980466425418854,24261.472652435303,0.00819706916809082,0.4187237620353699,0.40217670798301697,0.0390625,0.0625,0.0390625,0.2109375,0.1328125,0.015625,0.1796875,0.0625,0.1640625,0.09375
5,22088.24609375,771.5214233398438,1.0488994121551514,0.0014554290100932121,23908.666929244995,0.008571863174438477,0.41853922605514526,0.4020819067955017,0.0390625,0.0625,0.0390625,0.203125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
6,21837.341796875,765.8906860351562,1.0529005527496338,0.04077800735831261,23656.13303565979,0.008533954620361328,0.41835764050483704,0.4029506742954254,0.0390625,0.0625,0.0390625,0.203125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
7,21104.8359375,778.1375732421875,1.0555052757263184,0.04305747151374817,22938.478786468506,0.00852060317993164,0.4181446433067322,0.403813898563385,0.0390625,0.0625,0.0390625,0.203125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
8,21013.75390625,771.296875,1.05879807472229,0.03608788177371025,22843.84885597229,0.008450746536254883,0.41797035932540894,0.40323567390441895,0.0390625,0.0625,0.0390625,0.203125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
9,22124.34765625,768.7013549804688,1.0612280368804932,0.005963800475001335,23954.277048110962,0.008297204971313477,0.41776043176651,0.4024225175380707,0.0390625,0.0625,0.0390625,0.203125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
10,22392.88671875,764.5938720703125,1.0638771057128906,0.017884161323308945,24221.357696533203,0.008305788040161133,0.41755980253219604,0.40151113271713257,0.0390625,0.0625,0.0390625,0.203125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
11,22553.142578125,763.36474609375,1.0670533180236816,0.015539920888841152,24383.56064224243,0.00843048095703125,0.4173702597618103,0.4008193016052246,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
12,20763.82421875,766.9834594726562,1.0704588890075684,0.0017107495805248618,22601.266567230225,0.00827479362487793,0.4171888828277588,0.4017183184623718,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
13,20229.259765625,769.41015625,1.0738667249679565,0.019555101171135902,22072.536646842957,0.00834798812866211,0.4170019328594208,0.40197035670280457,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
14,22252.7109375,776.6121826171875,1.076775312423706,0.0161276925355196,24106.098432540894,0.008333206176757812,0.4167986512184143,0.4015103280544281,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
15,21646.2578125,768.1383056640625,1.079299807548523,0.016682486981153488,23493.695925712585,0.008322477340698242,0.416593998670578,0.4010196924209595,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
16,22993.1640625,777.4725341796875,1.0813467502593994,0.003295184811577201,24851.983346939087,0.008314132690429688,0.4163864850997925,0.40049469470977783,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
17,24557.8828125,769.5206298828125,1.0836020708084106,0.009145314805209637,26411.005513191223,0.008392095565795898,0.41619253158569336,0.40001243352890015,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.1640625,0.09375
18,23389.69140625,770.4210205078125,1.0861220359802246,0.01986953616142273,25246.234462738037,0.008640766143798828,0.4160229563713074,0.3999413251876831,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.15625,0.1015625
19,21998.802734375,762.509765625,1.0892434120178223,0.005396357271820307,23850.555912017822,0.008159637451171875,0.4158862233161926,0.4001123607158661,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.15625,0.1015625
20,23276.556640625,769.7777099609375,1.0920300483703613,0.053751036524772644,25138.3643989563,0.008226394653320312,0.41573476791381836,0.400310754776001,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.15625,0.1015625
21,22795.646484375,774.4102783203125,1.0941451787948608,0.026181988418102264,24664.201941490173,0.009746074676513672,0.4155800938606262,0.40052592754364014,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.15625,0.1015625
22,21743.548828125,766.182373046875,1.0956928730010986,0.009299716912209988,23605.424074172974,0.009608745574951172,0.41541194915771484,0.40015140175819397,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.15625,0.1015625
23,20535.44140625,768.708251953125,1.0972074270248413,0.08387096971273422,22401.357085227966,0.008334875106811523,0.4152419865131378,0.3991931080818176,0.0390625,0.0703125,0.0390625,0.1953125,0.1328125,0.0234375,0.1796875,0.0625,0.15625,0.1015625
24,21222.1171875,753.6600341796875,1.0979230403900146,0.04880574345588684,23073.700262069702,0.008188724517822266,0.4150521755218506,0.3996330499649048,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
25,22478.361328125,773.7138671875,1.0981909036636353,0.0004142850812058896,24350.266098976135,0.008423328399658203,0.41487348079681396,0.40024447441101074,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
26,22170.51953125,763.2423095703125,1.098732829093933,0.0033764587715268135,24032.494669914246,0.008402347564697266,0.4147054851055145,0.40083974599838257,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
27,21111.87109375,768.5325927734375,1.0993973016738892,0.04664013162255287,22979.800988197327,0.00819540023803711,0.41455936431884766,0.40144163370132446,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
28,23269.76171875,777.59375,1.0993471145629883,0.006091355346143246,25146.70258331299,0.008393526077270508,0.4144132435321808,0.40200984477996826,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
29,21051.158203125,773.8675537109375,1.09927499294281,0.04038164019584656,22924.300749778748,0.008502721786499023,0.4142801761627197,0.40256065130233765,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
30,20682.4453125,767.9049682617188,1.0984810590744019,0.08058671653270721,22548.83133983612,0.008233070373535156,0.4141286015510559,0.4030691385269165,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
31,22415.41796875,779.941162109375,1.0972844362258911,0.041615404188632965,24292.643567085266,0.008104324340820312,0.41397225856781006,0.4034045934677124,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
32,21439.91015625,779.99609375,1.0960438251495361,0.08870840072631836,23315.950075149536,0.00811457633972168,0.41382503509521484,0.4037676751613617,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
33,20711.927734375,775.177001953125,1.0943108797073364,0.2125813513994217,22581.41561603546,0.008254766464233398,0.4136481285095215,0.40369296073913574,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
34,22138.078125,758.149169921875,1.0917190313339233,0.01956751011312008,23987.9463262558,0.008090972900390625,0.4134417772293091,0.40227341651916504,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
35,21192.7734375,787.06005859375,1.0892436504364014,0.07004926353693008,23069.07714653015,0.008164405822753906,0.41323554515838623,0.40090131759643555,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
36,21417.3359375,771.2576904296875,1.086690902709961,0.06377792358398438,23275.28453063965,0.008033514022827148,0.41302725672721863,0.39952218532562256,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
37,22072.689453125,768.7811279296875,1.0840346813201904,0.043137792497873306,23925.505262374878,0.008085489273071289,0.412825345993042,0.3981234133243561,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
38,21518.8046875,773.562744140625,1.081167221069336,0.059032369405031204,23373.53465270996,0.008576393127441406,0.41261953115463257,0.3966703414916992,0.0390625,0.0703125,0.0390625,0.1953125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
39,22269.298828125,759.2546997070312,1.0782564878463745,0.013750486075878143,24106.810015678406,0.008530616760253906,0.4124094843864441,0.3955152630805969,0.0390625,0.0625,0.0390625,0.203125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
40,22794.39453125,769.0045776367188,1.0766431093215942,0.03418664634227753,24640.042218208313,0.009305477142333984,0.41224321722984314,0.39592617750167847,0.0390625,0.0625,0.0390625,0.203125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
41,21811.515625,777.1417846679688,1.0747623443603516,0.08155507594347,23663.41975402832,0.008222579956054688,0.4120689630508423,0.3963797390460968,0.0390625,0.0625,0.0390625,0.203125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
42,21041.12890625,770.555908203125,1.0723568201065063,0.0612676739692688,22884.04163455963,0.008376121520996094,0.41188764572143555,0.39697521924972534,0.0390625,0.0625,0.0390625,0.203125,0.140625,0.0234375,0.171875,0.0625,0.15625,0.1015625
