Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,22309.46484375,771.92822265625,0.9177908301353455,2.02932224055985e-05,23999.183896541595,0.008779764175415039,0.4094957709312439,0.3879093527793884,0.1015625,0.0703125,0.0703125,0.140625,0.1015625,0.0234375,0.1484375,0.0859375,0.1640625,0.09375
2,23175.765625,791.607666015625,1.0051531791687012,0.094266876578331,24972.526470184326,0.007592201232910156,0.3584666848182678,0.36173897981643677,0.1015625,0.0703125,0.0703125,0.140625,0.109375,0.03125,0.140625,0.0859375,0.1640625,0.0859375
3,22244.908203125,790.886962890625,0.8772692084312439,0.34709620475769043,23913.06437444687,0.007602691650390625,0.3420772850513458,0.3557208776473999,0.1015625,0.0703125,0.0703125,0.1015625,0.1171875,0.046875,0.140625,0.09375,0.1875,0.0703125
4,24044.6484375,800.8124389648438,0.6677854657173157,0.17768724262714386,25513.24634218216,0.008246183395385742,0.3485381603240967,0.35580623149871826,0.109375,0.046875,0.0625,0.09375,0.1328125,0.0390625,0.1484375,0.1015625,0.2109375,0.0546875
5,25284.400390625,811.5370483398438,0.501370906829834,0.1692432314157486,26597.308345794678,0.007624387741088867,0.37702542543411255,0.3761606514453888,0.109375,0.0390625,0.0625,0.1015625,0.1328125,0.0390625,0.1484375,0.1015625,0.2109375,0.0546875
6,27767.19921875,818.8438720703125,0.37508460879325867,0.23300674557685852,28961.12769961357,0.0074727535247802734,0.4242703318595886,0.3906080722808838,0.109375,0.0234375,0.0625,0.1171875,0.171875,0.0390625,0.109375,0.109375,0.203125,0.0546875
7,30465.53515625,825.5053100585938,0.2790081799030304,0.1372174173593521,31570.048646211624,0.009107589721679688,0.4186282753944397,0.41544145345687866,0.109375,0.0234375,0.0625,0.09375,0.1796875,0.03125,0.109375,0.1171875,0.2109375,0.0625
8,32663.291015625,846.30126953125,0.22407327592372894,0.01978469453752041,33733.66556107998,0.009197235107421875,0.4187453091144562,0.4403030276298523,0.1328125,0.0078125,0.0859375,0.046875,0.1796875,0.0234375,0.109375,0.125,0.21875,0.0703125
9,36613.1484375,867.0776977539062,0.21899640560150146,0.023073915392160416,37699.22254085541,0.007863044738769531,0.4266525208950043,0.4646509885787964,0.15625,0.0,0.0859375,0.0234375,0.1875,0.0234375,0.109375,0.125,0.25,0.0390625
10,39722.875,870.9432373046875,0.24276849627494812,0.008400981314480305,40836.586733579636,0.009258747100830078,0.4359055161476135,0.48256605863571167,0.1484375,0.0,0.09375,0.0,0.203125,0.0078125,0.1015625,0.1328125,0.28125,0.03125
11,45178.01171875,882.2743530273438,0.2807124853134155,0.006718257907778025,46340.99855709076,0.007929086685180664,0.4382580518722534,0.4907553791999817,0.15625,0.0,0.0703125,0.0,0.2109375,0.0,0.09375,0.1328125,0.3046875,0.03125
12,51568.1796875,891.995849609375,0.327428936958313,0.029287584125995636,52787.60447406769,0.007919073104858398,0.41500675678253174,0.49274295568466187,0.140625,0.0,0.046875,0.0078125,0.25,0.0,0.0859375,0.125,0.3125,0.03125
