Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,22627.515625,748.8646240234375,1.3423949480056763,0.0010545875411480665,24718.775197029114,0.00841212272644043,0.41717517375946045,0.3955196738243103,0.09375,0.109375,0.0703125,0.0703125,0.078125,0.0234375,0.171875,0.0625,0.203125,0.1171875
2,22230.20703125,759.4710693359375,0.6541337966918945,0.005608909763395786,23643.811897277832,0.007421255111694336,0.39952951669692993,0.40310415625572205,0.09375,0.0390625,0.0703125,0.0703125,0.1171875,0.0234375,0.171875,0.0625,0.2265625,0.125
3,21651.5625,768.3662109375,0.24191324412822723,0.01270032487809658,22661.841955065727,0.007231712341308594,0.3637060821056366,0.36662352085113525,0.09375,0.0,0.0703125,0.0703125,0.1328125,0.015625,0.1796875,0.0625,0.265625,0.109375
4,21459.63671875,778.1827392578125,0.14660724997520447,0.000774047861341387,22384.426707983017,0.007295131683349609,0.34566760063171387,0.35679882764816284,0.09375,0.0,0.0859375,0.0703125,0.1328125,0.015625,0.1796875,0.0703125,0.25,0.1015625
5,23309.57421875,771.267822265625,0.11412695795297623,0.029826808720827103,24194.9689989686,0.0073621273040771484,0.34588152170181274,0.3660988509654999,0.09375,0.0,0.0859375,0.0859375,0.140625,0.015625,0.1796875,0.0703125,0.21875,0.109375
6,22286.248046875,769.427978515625,0.09635435789823532,0.14156927168369293,23152.03038328886,0.0071773529052734375,0.3571544587612152,0.3801434636116028,0.1015625,0.0,0.0859375,0.1015625,0.140625,0.015625,0.171875,0.078125,0.1953125,0.109375
7,22263.630859375,768.84912109375,0.08722509443759918,0.03669220954179764,23119.70507490635,0.007193326950073242,0.36720871925354004,0.3895776867866516,0.109375,0.0,0.0859375,0.1171875,0.140625,0.015625,0.1640625,0.0859375,0.1796875,0.1015625
8,21000.2265625,758.796142578125,0.08768662065267563,0.01120841410011053,21846.7093257308,0.0073986053466796875,0.37173616886138916,0.39138662815093994,0.1015625,0.0,0.0859375,0.1171875,0.140625,0.0234375,0.1640625,0.0859375,0.1796875,0.1015625
9,22229.748046875,782.2156372070312,0.09218746423721313,0.03126700222492218,23104.151148319244,0.007636070251464844,0.3764340579509735,0.3998867869377136,0.1015625,0.0,0.0859375,0.1171875,0.1328125,0.0234375,0.1640625,0.0859375,0.1796875,0.109375
10,22270.6015625,769.6482543945312,0.10109710693359375,0.07694025337696075,23141.346923828125,0.007394552230834961,0.3803666830062866,0.39899706840515137,0.1015625,0.0,0.0859375,0.1171875,0.1328125,0.0234375,0.1640625,0.0859375,0.1796875,0.109375
11,21829.19921875,774.6940307617188,0.1098354235291481,0.004201692529022694,22713.728673040867,0.007341146469116211,0.38322925567626953,0.3965272009372711,0.1015625,0.0,0.0859375,0.1171875,0.1171875,0.0390625,0.1484375,0.078125,0.1796875,0.1328125
12,20814.765625,775.001708984375,0.11925286054611206,0.0937257930636406,21709.020194530487,0.007194042205810547,0.385910302400589,0.3968728482723236,0.1015625,0.0,0.0859375,0.109375,0.1171875,0.03125,0.15625,0.078125,0.1875,0.1328125
13,21136.53515625,759.726806640625,0.12711793184280396,0.04648066312074661,22023.37989473343,0.0071735382080078125,0.38740110397338867,0.40364888310432434,0.1015625,0.0,0.0859375,0.109375,0.1171875,0.0390625,0.1484375,0.078125,0.1875,0.1328125
14,21565.21875,765.0205078125,0.13677792251110077,0.0317634642124176,22467.0171803236,0.007224082946777344,0.3915499448776245,0.40691837668418884,0.1015625,0.0,0.0859375,0.109375,0.109375,0.0390625,0.1484375,0.078125,0.1875,0.140625
15,21252.056640625,748.361083984375,0.14679378271102905,0.100443534553051,22147.211507320404,0.007367849349975586,0.3982783854007721,0.41214028000831604,0.1015625,0.0,0.0859375,0.109375,0.109375,0.0390625,0.1484375,0.078125,0.1875,0.140625
