Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1.0,22807.1828125,773.3722595214844,1.2414907395839692,0.015528445315430827,24822.045811605454,0.00917642116546626,0.3895390808582306,0.38911409974098204,0.09453125,0.084375,0.07421875,0.08671875,0.0859375,0.02734375,0.1375,0.0546875,0.2125,0.1421875
2.0,22965.8189453125,755.1227600097657,1.0551224172115325,0.13706531994976098,24776.064122533797,0.007838582992553671,0.4185809910297394,0.4230727642774582,0.09140625,0.07109375,0.0734375,0.0875,0.07578125,0.0171875,0.13671875,0.046875,0.2484375,0.1515625
3.0,25365.1029296875,753.1786682128907,1.0700108349323272,0.10162180000916118,27188.292432832717,0.00781803131103511,0.4541173726320267,0.46590075790882113,0.0890625,0.05859375,0.071875,0.08125,0.06953125,0.00546875,0.13671875,0.04140625,0.29140625,0.1546875
4.0,28273.5056640625,748.6125427246094,1.1193856596946716,0.08274369089567696,30141.50386648178,0.007856464385986268,0.490347683429718,0.5041118830442428,0.0828125,0.0515625,0.0734375,0.078125,0.06484375,0.0,0.13046875,0.0421875,0.3484375,0.128125
5.0,31507.2958984375,740.7543884277344,1.164941942691803,0.037159867660375254,33412.992229557036,0.007991099357604921,0.5191831380128861,0.5252883553504943,0.07734375,0.0359375,0.075,0.0875,0.059375,0.0,0.12109375,0.04375,0.41015625,0.08984375
6.0,33678.08984375,738.1751403808594,1.190922486782074,0.034263884997199005,35607.18747091293,0.008051848411560002,0.5392473042011261,0.5458272695541382,0.0671875,0.02421875,0.07578125,0.09375,0.0453125,0.0,0.1171875,0.0453125,0.46484375,0.06640625
7.0,36184.66484375,730.3029907226562,1.1793969511985778,0.06718715136812532,38094.364785671234,0.007961201667785581,0.5459130525588989,0.5565920472145081,0.05625,0.01796875,0.07890625,0.09296875,0.025,0.0,0.1015625,0.04609375,0.534375,0.046875
8.0,38380.090625,722.2869995117187,1.1466943085193635,0.040712174808140794,40249.07193303108,0.00805714130401607,0.5434034764766693,0.5592340052127838,0.04140625,0.0078125,0.084375,0.08359375,0.01875,0.0,0.09140625,0.046875,0.5703125,0.05546875
9.0,40659.541015625,714.5097778320312,1.1034544646739959,0.06661293503711926,42477.50525813103,0.007920265197753849,0.5355265706777572,0.5563258290290832,0.0265625,0.003125,0.09296875,0.07109375,0.01796875,0.0,0.08203125,0.04765625,0.5953125,0.06328125
10.0,41633.223046875,704.0840087890625,1.0604546308517455,0.0774299722164869,43397.761686515805,0.00790507793426509,0.5274248480796814,0.5539803624153137,0.01640625,0.0046875,0.1015625,0.0640625,0.01484375,0.00078125,0.0796875,0.053125,0.59140625,0.0734375
