Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,21146.3984375,784.351318359375,1.488416075706482,0.013722098432481289,23419.165831565857,0.008780956268310547,0.3764599561691284,0.35805293917655945,0.1015625,0.1015625,0.0546875,0.0625,0.0625,0.0078125,0.1640625,0.046875,0.2421875,0.15625
2,23945.94140625,755.7918701171875,1.0392136573791504,0.1150442510843277,25740.946933746338,0.007895708084106445,0.3850598931312561,0.39260387420654297,0.1015625,0.078125,0.0546875,0.0546875,0.0625,0.0078125,0.15625,0.0390625,0.28125,0.1640625
3,25170.93359375,742.3667602539062,1.0063141584396362,0.07711168378591537,26919.614512443542,0.008640289306640625,0.3988109827041626,0.41844266653060913,0.1015625,0.0546875,0.0546875,0.046875,0.0625,0.0078125,0.15625,0.03125,0.3125,0.171875
4,26093.951171875,741.776611328125,0.9790889024734497,0.0014852891908958554,27814.816685676575,0.008271932601928711,0.45959433913230896,0.461060106754303,0.1015625,0.0390625,0.0625,0.03125,0.0703125,0.0,0.140625,0.0390625,0.359375,0.15625
5,29976.0078125,715.337158203125,0.9065845012664795,0.07187505066394806,31597.929471969604,0.00824737548828125,0.46563366055488586,0.4810321033000946,0.1015625,0.015625,0.0703125,0.03125,0.0703125,0.0,0.1171875,0.0390625,0.4140625,0.140625
6,30591.66015625,722.80908203125,0.8632868528366089,3.7389945646282285e-05,32177.75609111786,0.008516311645507812,0.4875020384788513,0.49895554780960083,0.0859375,0.0,0.0625,0.0546875,0.0625,0.0,0.1328125,0.0390625,0.4296875,0.1328125
7,37389.765625,720.4741821289062,0.8879320025444031,0.010829822160303593,38998.17180967331,0.008364677429199219,0.503960132598877,0.5194619297981262,0.0703125,0.0,0.0625,0.09375,0.0234375,0.0,0.125,0.046875,0.46875,0.109375
8,35609.0859375,710.2286376953125,0.941323459148407,0.05914325639605522,37260.63803434372,0.008137941360473633,0.5141060948371887,0.5323240160942078,0.0546875,0.0,0.0625,0.09375,0.0078125,0.0,0.109375,0.046875,0.5234375,0.1015625
9,36968.16015625,706.7850341796875,0.9618538618087769,0.08592242747545242,38636.799052238464,0.008094549179077148,0.5191873908042908,0.5383528470993042,0.03125,0.0,0.078125,0.0859375,0.0078125,0.0,0.109375,0.046875,0.5390625,0.1015625
10,39464.1015625,694.837890625,0.9766473770141602,0.07961899042129517,41135.58683013916,0.008091926574707031,0.525126576423645,0.5488904714584351,0.03125,0.0,0.078125,0.0703125,0.0078125,0.0,0.109375,0.046875,0.53125,0.125
