Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,44395.02734375,1498.0718994140625,1.1410109996795654,0.049570318311452866,45942.669561475515,0.07760405540466309,0.4122198224067688,0.42434263229370117,0.1015625,0.1015625,0.109375,0.125,0.0625,0.046875,0.109375,0.0703125,0.1640625,0.109375
2,49096.6328125,1470.740478515625,0.988486647605896,0.0018080654554069042,50569.18135647103,0.011054754257202148,0.41162246465682983,0.4326140880584717,0.109375,0.09375,0.109375,0.125,0.0703125,0.046875,0.109375,0.0703125,0.15625,0.109375
3,48472.140625,1463.73388671875,0.7647609710693359,0.1148405596613884,50050.71507138014,0.01030588150024414,0.418654203414917,0.4319711923599243,0.109375,0.0625,0.109375,0.140625,0.0703125,0.0390625,0.109375,0.0703125,0.1796875,0.109375
4,49459.30859375,1462.339599609375,0.5813525915145874,0.011752107180655003,50933.40030054003,0.010883092880249023,0.4127729535102844,0.42083829641342163,0.109375,0.0390625,0.109375,0.1484375,0.078125,0.046875,0.109375,0.0703125,0.1875,0.1015625
5,51099.7421875,1460.529052734375,0.47701776027679443,0.19686424732208252,52757.13548755646,0.01036977767944336,0.4090425670146942,0.41598254442214966,0.109375,0.0234375,0.109375,0.15625,0.0703125,0.046875,0.109375,0.0703125,0.1953125,0.109375
6,52968.578125,1481.713134765625,0.41640612483024597,0.08826275169849396,54538.55401146412,0.009894847869873047,0.4045535922050476,0.41443711519241333,0.109375,0.0234375,0.109375,0.15625,0.0703125,0.046875,0.109375,0.0703125,0.1875,0.1171875
7,50193.6640625,1478.423583984375,0.4104843735694885,0.11746241897344589,51789.55006545782,0.010146141052246094,0.4040612578392029,0.4179501533508301,0.109375,0.015625,0.109375,0.1640625,0.0703125,0.046875,0.109375,0.0703125,0.1796875,0.125
8,51541.52734375,1468.000244140625,0.4268171191215515,0.0743028074502945,53083.83039534092,0.010750055313110352,0.3998504877090454,0.4156162142753601,0.109375,0.0234375,0.109375,0.1640625,0.078125,0.046875,0.109375,0.0625,0.171875,0.125
9,48744.2421875,1478.6221923828125,0.45589667558670044,0.023682087659835815,50246.54646754265,0.010453224182128906,0.3972190022468567,0.4254361391067505,0.1171875,0.03125,0.109375,0.1640625,0.078125,0.0390625,0.109375,0.0546875,0.1640625,0.1328125
10,51474.125,1466.32373046875,0.5093590617179871,0.0055115665309131145,52945.96029699966,0.010656118392944336,0.3939121961593628,0.42574483156204224,0.1171875,0.0390625,0.109375,0.15625,0.078125,0.0390625,0.109375,0.0546875,0.1640625,0.1328125
11,51912.6640625,1475.2235107421875,0.5392747521400452,0.00015849342162255198,53388.04606666381,0.010510921478271484,0.391438364982605,0.4243770241737366,0.1171875,0.0390625,0.109375,0.1484375,0.078125,0.0390625,0.109375,0.0546875,0.171875,0.1328125
12,51319.1953125,1468.84619140625,0.5477534532546997,0.0032118342351168394,52791.25333814137,0.010097742080688477,0.3905773162841797,0.42228394746780396,0.125,0.0390625,0.109375,0.1484375,0.0703125,0.0390625,0.109375,0.0546875,0.1640625,0.140625
13,51130.03125,1447.7105712890625,0.5039067268371582,0.1081623062491417,52685.904127538204,0.010369300842285156,0.38905438780784607,0.4212934374809265,0.1328125,0.03125,0.109375,0.1484375,0.0703125,0.0390625,0.109375,0.0546875,0.1640625,0.140625
14,50672.2109375,1467.4085693359375,0.4780547618865967,0.026439065113663673,52166.0585719496,0.010029077529907227,0.38967716693878174,0.4188879132270813,0.1171875,0.0234375,0.109375,0.1328125,0.0703125,0.0390625,0.109375,0.0546875,0.203125,0.140625
15,48944.23046875,1455.184326171875,0.4678114950656891,0.014766422100365162,50414.18121702224,0.010150671005249023,0.39305388927459717,0.4260970950126648,0.1171875,0.0234375,0.109375,0.1328125,0.0703125,0.0390625,0.109375,0.0546875,0.203125,0.140625
16,52179.07421875,1449.8536376953125,0.4776431620121002,0.0003229547874070704,53629.25081123272,0.011850833892822266,0.39934876561164856,0.42513176798820496,0.109375,0.0234375,0.109375,0.1328125,0.0703125,0.046875,0.109375,0.0625,0.203125,0.1328125
17,48775.953125,1465.19287109375,0.47074592113494873,0.08458932489156723,50325.73532098532,0.011016130447387695,0.4053936004638672,0.42824041843414307,0.109375,0.0234375,0.1171875,0.125,0.0703125,0.0390625,0.1015625,0.0703125,0.21875,0.125
18,51718.1015625,1451.3004150390625,0.49382346868515015,0.0015053200768306851,53170.90729761589,0.010582923889160156,0.41033804416656494,0.4332018494606018,0.109375,0.0234375,0.1171875,0.125,0.0703125,0.0390625,0.1015625,0.0703125,0.21875,0.125
19,51999.8203125,1460.5498046875,0.5217166543006897,0.03313257172703743,53493.50268891454,0.009723663330078125,0.41462284326553345,0.4340342879295349,0.109375,0.0234375,0.1171875,0.1171875,0.0703125,0.0390625,0.1015625,0.0703125,0.2265625,0.125
20,50481.3984375,1451.1904296875,0.551434338092804,0.0637611374258995,51996.3500046134,0.010660171508789062,0.41717666387557983,0.43361353874206543,0.109375,0.03125,0.1171875,0.125,0.0703125,0.0390625,0.1015625,0.0703125,0.2109375,0.125
