Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,State Step,Method,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Full Dataset Cosine Distance
1,44395.02734375,1498.0718994140625,1.1410109996795654,0.0495703183114528,45942.669561475515,0.077604055404663,0.4122198224067688,0.4243426322937011,0.1015625,0.1015625,0.109375,0.125,0.0625,0.046875,0.109375,0.0703125,0.1640625,0.109375,0,UNO,7543.0673828125,116.72111511230469,118.3237075805664,0.5461686849594116,0.5461686849594116,0.4538313150405884
2,49096.6328125,1470.740478515625,0.988486647605896,0.0018080654554069,50569.18135647103,0.0110547542572021,0.4116224646568298,0.4326140880584717,0.109375,0.09375,0.109375,0.125,0.0703125,0.046875,0.109375,0.0703125,0.15625,0.109375,1,UNO,5397.70654296875,483.9657287597656,178.6106414794922,0.062443509697914124,0.062443509697914124,0.9375565052032471
3,48472.140625,1463.73388671875,0.7647609710693359,0.1148405596613884,50050.71507138014,0.0103058815002441,0.418654203414917,0.4319711923599243,0.109375,0.0625,0.109375,0.140625,0.0703125,0.0390625,0.109375,0.0703125,0.1796875,0.109375,2,UNO,23546.986328125,473.5533142089844,219.5785369873047,0.22645220160484314,0.22645220160484314,0.7735477685928345
4,49459.30859375,1462.339599609375,0.5813525915145874,0.011752107180655,50933.40030054003,0.010883092880249,0.4127729535102844,0.4208382964134216,0.109375,0.0390625,0.109375,0.1484375,0.078125,0.046875,0.109375,0.0703125,0.1875,0.1015625,3,UNO,51565.23828125,435.5726623535156,265.7183837890625,0.4455277919769287,0.4455277919769287,0.5544722080230713
5,51099.7421875,1460.529052734375,0.4770177602767944,0.1968642473220825,52757.13548755646,0.0103697776794433,0.4090425670146942,0.4159825444221496,0.109375,0.0234375,0.109375,0.15625,0.0703125,0.046875,0.109375,0.0703125,0.1953125,0.109375,4,UNO,58043.03125,381.5816650390625,360.8159484863281,0.42157697677612305,0.42157697677612305,0.578423023223877
6,52968.578125,1481.713134765625,0.4164061248302459,0.0882627516984939,54538.55401146412,0.009894847869873,0.4045535922050476,0.4144371151924133,0.109375,0.0234375,0.109375,0.15625,0.0703125,0.046875,0.109375,0.0703125,0.1875,0.1171875,5,UNO,30099.4140625,433.6307678222656,350.2924499511719,0.1981559693813324,0.1981559693813324,0.8018440008163452
7,50193.6640625,1478.423583984375,0.4104843735694885,0.1174624189734458,51789.55006545782,0.010146141052246,0.4040612578392029,0.4179501533508301,0.109375,0.015625,0.109375,0.1640625,0.0703125,0.046875,0.109375,0.0703125,0.1796875,0.125,6,UNO,12121.27734375,449.5619201660156,304.1423645019531,0.0886506587266922,0.0886506587266922,0.911349356174469
8,51541.52734375,1468.000244140625,0.4268171191215515,0.0743028074502945,53083.83039534092,0.0107500553131103,0.3998504877090454,0.4156162142753601,0.109375,0.0234375,0.109375,0.1640625,0.078125,0.046875,0.109375,0.0625,0.171875,0.125,7,UNO,10589.9248046875,421.0041198730469,286.9100646972656,0.08767196536064148,0.08767196536064148,0.9123280048370361
9,48744.2421875,1478.6221923828125,0.4558966755867004,0.0236820876598358,50246.54646754265,0.0104532241821289,0.3972190022468567,0.4254361391067505,0.1171875,0.03125,0.109375,0.1640625,0.078125,0.0390625,0.109375,0.0546875,0.1640625,0.1328125,8,UNO,21024.046875,376.7862548828125,263.8479309082031,0.21147915720939636,0.21147915720939636,0.7885208129882812
10,51474.125,1466.32373046875,0.5093590617179871,0.0055115665309131,52945.96029699966,0.0106561183929443,0.3939121961593628,0.4257448315620422,0.1171875,0.0390625,0.109375,0.15625,0.078125,0.0390625,0.109375,0.0546875,0.1640625,0.1328125,9,UNO,29498.744140625,413.4478759765625,255.68466186523438,0.279047429561615,0.279047429561615,0.720952570438385
11,51912.6640625,1475.2235107421875,0.5392747521400452,0.0001584934216225,53388.04606666381,0.0105109214782714,0.391438364982605,0.4243770241737366,0.1171875,0.0390625,0.109375,0.1484375,0.078125,0.0390625,0.109375,0.0546875,0.171875,0.1328125,10,UNO,48971.08984375,534.7328491210938,264.5369873046875,0.3461915850639343,0.3461915850639343,0.6538084149360657
12,51319.1953125,1468.84619140625,0.5477534532546997,0.0032118342351168,52791.25333814137,0.0100977420806884,0.3905773162841797,0.4222839474678039,0.125,0.0390625,0.109375,0.1484375,0.0703125,0.0390625,0.109375,0.0546875,0.1640625,0.140625,11,UNO,60359.95703125,630.9223022460938,275.6001892089844,0.3471311330795288,0.3471311330795288,0.6528688669204712
13,51130.03125,1447.7105712890625,0.5039067268371582,0.1081623062491417,52685.90412753821,0.0103693008422851,0.389054387807846,0.4212934374809265,0.1328125,0.03125,0.109375,0.1484375,0.0703125,0.0390625,0.109375,0.0546875,0.1640625,0.140625,12,UNO,65621.125,702.556396484375,277.959716796875,0.3360319435596466,0.3360319435596466,0.6639680862426758
14,50672.2109375,1467.4085693359375,0.4780547618865967,0.0264390651136636,52166.0585719496,0.0100290775299072,0.3896771669387817,0.4188879132270813,0.1171875,0.0234375,0.109375,0.1328125,0.0703125,0.0390625,0.109375,0.0546875,0.203125,0.140625,13,UNO,86337.1015625,740.2384033203125,341.49505615234375,0.3415399193763733,0.3415399193763733,0.6584600806236267
15,48944.23046875,1455.184326171875,0.4678114950656891,0.0147664221003651,50414.18121702224,0.010150671005249,0.3930538892745971,0.4260970950126648,0.1171875,0.0234375,0.109375,0.1328125,0.0703125,0.0390625,0.109375,0.0546875,0.203125,0.140625,14,UNO,110063.1953125,735.8298950195312,422.0433654785156,0.3544113337993622,0.3544113337993622,0.6455886363983154
16,52179.07421875,1449.8536376953125,0.4776431620121002,0.000322954787407,53629.25081123272,0.0118508338928222,0.3993487656116485,0.4251317679882049,0.109375,0.0234375,0.109375,0.1328125,0.0703125,0.046875,0.109375,0.0625,0.203125,0.1328125,15,UNO,142076.3125,739.8053588867188,531.4752807617188,0.36134421825408936,0.36134421825408936,0.6386557817459106
