Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,46100.16015625,1496.559814453125,0.622546374797821,0.0003847952757496387,48219.651140776696,0.011136054992675781,0.3644197881221771,0.3971337080001831,0.078125,0.0390625,0.0546875,0.1015625,0.0625,0.0234375,0.1328125,0.078125,0.28125,0.1484375
2,20719.599609375,758.115966796875,0.27818456292152405,0.02695094794034958,21782.85108703375,0.006991863250732422,0.344743013381958,0.38723546266555786,0.078125,0.0078125,0.046875,0.1171875,0.078125,0.03125,0.1328125,0.0859375,0.28125,0.140625
3,50026.1484375,1452.1329345703125,0.16407284140586853,0.0015913095558062196,51643.94552303199,0.01203298568725586,0.3487921953201294,0.37526947259902954,0.078125,0.0,0.046875,0.140625,0.1015625,0.03125,0.1328125,0.0859375,0.2421875,0.140625
4,21308.47265625,757.4404907226562,0.12670350074768066,0.009808560833334923,22202.425208553672,0.006044864654541016,0.3636181056499481,0.3695015609264374,0.078125,0.0,0.046875,0.1484375,0.1328125,0.0390625,0.1328125,0.0859375,0.21875,0.1171875
5,53595.73828125,1467.208251953125,0.1091582328081131,0.00035830916021950543,55172.46307517146,0.010962963104248047,0.35850924253463745,0.3649129271507263,0.078125,0.0,0.046875,0.15625,0.140625,0.03125,0.140625,0.0859375,0.2109375,0.109375
6,22186.09375,761.2701416015625,0.0973552018404007,0.0017501418478786945,23046.469235289842,0.007136106491088867,0.3658902645111084,0.3720378577709198,0.0859375,0.0,0.046875,0.1640625,0.1484375,0.03125,0.1328125,0.0859375,0.203125,0.1015625
7,52661.44921875,1482.4727783203125,0.0916900485754013,0.07810565829277039,54313.717703938484,0.011651992797851562,0.37952396273612976,0.3899540901184082,0.0859375,0.0,0.046875,0.15625,0.1328125,0.0234375,0.1328125,0.0859375,0.2109375,0.125
8,21402.966796875,778.033935546875,0.09529749304056168,0.052150093019008636,22328.448318481445,0.0063860416412353516,0.389259397983551,0.4065758287906647,0.0859375,0.0,0.0546875,0.1484375,0.125,0.0234375,0.1328125,0.0859375,0.203125,0.140625
9,51746.890625,1490.250244140625,0.10455387085676193,0.007187254726886749,53348.881994724274,0.011070013046264648,0.39475616812705994,0.4007030725479126,0.0859375,0.0,0.0546875,0.140625,0.109375,0.0234375,0.1328125,0.0859375,0.2109375,0.15625
10,21611.693359375,781.12158203125,0.11648495495319366,7.897680006863084e-06,22509.30779403945,0.0066950321197509766,0.39675599336624146,0.3976238965988159,0.0859375,0.0,0.0546875,0.140625,0.1015625,0.0234375,0.1328125,0.0859375,0.2109375,0.1640625
