Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,State Step,Method,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Full Dataset Cosine Distance
1,46475.9453125,1486.5927734375,1.3561596870422363,0.0032526133581995,47965.7906992957,0.0105361938476562,0.3800587058067322,0.3875818848609924,0.0859375,0.109375,0.0625,0.1171875,0.078125,0.0078125,0.1484375,0.0625,0.1875,0.140625,0,UNO-S,7381.0244140625,117.55319213867188,115.83208465576172,0.5420675277709961,0.5420675277709961,0.4579324722290039
2,22266.990234375,764.6818237304688,1.0893077850341797,0.0103797130286693,23042.051771134134,0.0049600601196289,0.3967486023902893,0.3938258290290832,0.09375,0.078125,0.078125,0.125,0.109375,0.015625,0.140625,0.0703125,0.1875,0.1015625,1,UNO-S,101916.953125,743.3602294921875,231.4473419189453,0.592372477054596,0.592372477054596,0.40762752294540405
3,52030.6015625,1460.2841796875,0.9313379526138306,0.0451733358204364,53536.05907800794,0.0106341838836669,0.4153610169887543,0.4028356671333313,0.1015625,0.0703125,0.078125,0.140625,0.1171875,0.0078125,0.140625,0.0703125,0.1796875,0.09375,2,UNO-S,147395.890625,912.9502563476562,448.8728942871094,0.35967880487442017,0.35967880487442017,0.6403211951255798
4,24185.3828125,748.2871704101562,0.8945740461349487,0.0100936507806181,24943.763633690774,0.0063920021057128,0.4114385843276977,0.4082702100276947,0.1015625,0.0703125,0.078125,0.1484375,0.109375,0.0078125,0.140625,0.0703125,0.171875,0.1015625,3,UNO-S,215847.953125,908.97900390625,542.950927734375,0.43735432624816895,0.43735432624816895,0.562645673751831
5,52320.6484375,1431.143310546875,0.8548686504364014,0.1371544003486633,53888.94614839554,0.0109028816223144,0.4082065224647522,0.4145075678825378,0.109375,0.0703125,0.078125,0.15625,0.1015625,0.0078125,0.140625,0.0625,0.15625,0.1171875,4,UNO-S,249146.375,841.0050659179688,560.0667724609375,0.5289518237113953,0.5289518237113953,0.47104817628860474
6,20613.001953125,746.1882934570312,0.8878293633460999,0.0272261518985033,21386.416398480535,0.0048820972442626,0.4105983674526214,0.4099482595920563,0.1171875,0.0703125,0.078125,0.1640625,0.0859375,0.0078125,0.140625,0.0625,0.1328125,0.140625,5,UNO-S,173355.359375,755.3592529296875,468.5075988769531,0.48985445499420166,0.48985445499420166,0.5101455450057983
7,54242.1640625,1412.830078125,0.9483337998390198,0.0258729178458452,55680.867058470845,0.0103509426116943,0.4111613631248474,0.4098751544952392,0.1171875,0.0703125,0.078125,0.1640625,0.078125,0.0078125,0.140625,0.0625,0.1328125,0.1484375,6,UNO-S,63807.88671875,603.92578125,337.1463623046875,0.31338074803352356,0.31338074803352356,0.6866192817687988
8,22733.09765625,745.0520629882812,0.9953375458717346,0.0016625130083411,23479.812232246622,0.0050036907196044,0.4164732098579407,0.4086757302284241,0.109375,0.0703125,0.0859375,0.1640625,0.078125,0.0078125,0.140625,0.0625,0.1328125,0.1484375,7,UNO-S,16067.5615234375,488.5648498535156,243.6312255859375,0.13498789072036743,0.13498789072036743,0.8650121092796326
9,50357.43359375,1416.91943359375,1.0221500396728516,0.0038556442596018,51778.20867160335,0.0099830627441406,0.4216863512992859,0.4120051264762878,0.109375,0.0703125,0.0859375,0.1640625,0.078125,0.0078125,0.140625,0.0625,0.1328125,0.1484375,8,UNO-S,7974.4853515625,470.7488098144531,174.41358947753906,0.09712546318769455,0.09712546318769455,0.9028745293617249
10,22538.2734375,728.7674560546875,1.0235553979873655,0.0016901545459404,23268.731048100628,0.0046093463897705,0.4298771619796753,0.4112133383750915,0.109375,0.0703125,0.0859375,0.1640625,0.078125,0.0078125,0.140625,0.0625,0.1328125,0.1484375,9,UNO-S,19499.3359375,487.0194396972656,231.49916076660156,0.17295138537883759,0.17295138537883759,0.8270485997200012
11,48951.6015625,1417.638916015625,0.9812482595443726,0.139711782336235,50508.95226085186,0.0099327564239501,0.4430262744426727,0.4225333929061889,0.109375,0.0703125,0.0859375,0.1640625,0.0859375,0.0078125,0.140625,0.0546875,0.1328125,0.1484375,10,UNO-S,53806.59375,493.6982116699219,441.88714599609375,0.24663949012756348,0.24663949012756348,0.7533605098724365
12,22964.50390625,746.04541015625,0.9371035695075988,0.1045730635523796,23815.12237995863,0.0050742626190185,0.454564094543457,0.4307324588298797,0.1015625,0.0703125,0.0859375,0.15625,0.0859375,0.015625,0.140625,0.0625,0.140625,0.140625,11,UNO-S,72694.0703125,478.7604675292969,552.0645751953125,0.2750368118286133,0.2750368118286133,0.7249631881713867
13,49379.125,1411.5537109375,0.8535176515579224,0.1705381870269775,50961.21689796448,0.01003098487854,0.4723501205444336,0.4390207529067993,0.1171875,0.0625,0.078125,0.1640625,0.1015625,0.0078125,0.140625,0.0625,0.1328125,0.1328125,12,UNO-S,72126.5390625,484.0911560058594,621.3010864257812,0.23980921506881714,0.23980921506881714,0.7601907849311829
14,22606.51171875,756.8038330078125,0.793877363204956,0.0015018716221675,23364.81742337998,0.0051989555358886,0.4843210875988006,0.4467130899429321,0.1171875,0.0625,0.078125,0.1640625,0.1171875,0.0078125,0.140625,0.0625,0.1328125,0.1171875,13,UNO-S,64580.234375,501.2134704589844,605.4133911132812,0.21282608807086945,0.21282608807086945,0.7871739268302917
15,49599.54296875,1416.7042236328125,0.7541869282722473,0.000252508703852,51016.499701086665,0.0103483200073242,0.4848511219024658,0.4541511535644531,0.125,0.0625,0.078125,0.1640625,0.125,0.0078125,0.1328125,0.0625,0.125,0.1171875,14,UNO-S,47058.2265625,506.4952392578125,507.9067077636719,0.18292634189128876,0.18292634189128876,0.81707364320755
16,21118.84765625,774.62060546875,0.7314559817314148,0.0420830957591533,21935.551357477903,0.0050468444824218,0.4712031781673431,0.4468877911567688,0.125,0.0625,0.078125,0.1640625,0.125,0.0078125,0.1328125,0.0625,0.125,0.1171875,15,UNO-S,55692.8046875,526.439453125,462.45562744140625,0.2287602722644806,0.2287602722644806,0.7712397575378418
17,50151.88671875,1444.7982177734375,0.7084318399429321,0.0064283302053809,51603.11326672882,0.010422945022583,0.4540578126907348,0.4424252510070801,0.1171875,0.0625,0.078125,0.1640625,0.1328125,0.015625,0.1328125,0.0625,0.125,0.109375,16,UNO-S,44253.3671875,494.4141540527344,351.1572570800781,0.2548905909061432,0.2548905909061432,0.7451094388961792
18,21308.814453125,759.6375732421875,0.7103375792503357,0.0144287310540676,22082.880757421255,0.0049147605895996,0.4350571632385254,0.4336474239826202,0.109375,0.0546875,0.078125,0.171875,0.1328125,0.015625,0.1328125,0.0625,0.1328125,0.109375,17,UNO-S,45529.328125,494.955322265625,284.7402038574219,0.3230549395084381,0.3230549395084381,0.6769450902938843
19,50725.6953125,1437.9715576171875,0.7312682867050171,0.0905026495456695,52254.16951966286,0.0101468563079833,0.4165875911712646,0.426526665687561,0.1015625,0.0546875,0.0859375,0.171875,0.1328125,0.015625,0.1328125,0.0625,0.1328125,0.109375,18,UNO-S,43486.19140625,485.87176513671875,268.9649353027344,0.33276230096817017,0.33276230096817017,0.6672376990318298
20,22302.953125,735.9070434570312,0.7582239508628845,0.0029863584786653,23041.846526935697,0.0050649642944335,0.3989894986152649,0.414736270904541,0.1015625,0.0703125,0.0859375,0.171875,0.1328125,0.015625,0.1328125,0.0625,0.125,0.1015625,19,UNO-S,39004.984375,477.6573486328125,266.5342712402344,0.30637311935424805,0.30637311935424805,0.693626880645752
21,50555.8828125,1436.0177001953125,0.7804991602897644,0.0353885404765605,52027.28905317187,0.0117011070251464,0.3863058090209961,0.409231036901474,0.09375,0.0703125,0.0859375,0.171875,0.1328125,0.015625,0.140625,0.0625,0.125,0.1015625,20,UNO-S,28775.177734375,457.84967041015625,247.24830627441406,0.25419196486473083,0.25419196486473083,0.7458080053329468
22,20749.314453125,747.4822998046875,0.7792162299156189,0.068220742046833,21565.01749497652,0.0048973560333251,0.3796617388725281,0.4005255103111267,0.09375,0.0625,0.0859375,0.1796875,0.1328125,0.015625,0.140625,0.0625,0.125,0.1015625,21,UNO-S,25148.681640625,436.2839050292969,245.6855010986328,0.2346208095550537,0.2346208095550537,0.7653791904449463
23,49289.421875,1411.32568359375,0.7750649452209473,0.0017969851614907,50702.54454375524,0.0103898048400878,0.3756720423698425,0.3962648212909698,0.0859375,0.0546875,0.0859375,0.1796875,0.1328125,0.015625,0.1484375,0.0625,0.1328125,0.1015625,22,UNO-S,27246.80859375,439.7520751953125,276.28082275390625,0.22426265478134155,0.22426265478134155,0.7757373452186584
24,21258.84375,756.5052490234375,0.733295738697052,0.0126295387744903,22027.978537797928,0.0048930644989013,0.3730705082416534,0.3887657821178436,0.0859375,0.0546875,0.078125,0.1796875,0.1328125,0.015625,0.1484375,0.0546875,0.140625,0.109375,23,UNO-S,29420.265625,463.6932067871094,318.22760009765625,0.1993783563375473,0.1993783563375473,0.8006216287612915
25,49201.00390625,1439.75830078125,0.6922526955604553,0.0017099272226914,50642.47213425394,0.0103816986083984,0.3727105259895324,0.3904112577438354,0.0859375,0.0546875,0.078125,0.1796875,0.125,0.015625,0.1484375,0.0546875,0.140625,0.1171875,24,UNO-S,42547.61328125,522.0443725585938,344.3741760253906,0.2366667240858078,0.2366667240858078,0.763333261013031
26,21310.66015625,750.294189453125,0.6676572561264038,0.0105085149407386,22071.462860643864,0.0053339004516601,0.3749067783355713,0.3881557583808899,0.0859375,0.046875,0.078125,0.1796875,0.1015625,0.015625,0.1484375,0.0546875,0.15625,0.1328125,25,UNO-S,54488.9609375,568.1625366210938,383.7771911621094,0.24989452958106995,0.24989452958106995,0.7501055002212524
27,52868.8515625,1441.697509765625,0.6480624675750732,0.0211526658385992,54331.701738104224,0.0103111267089843,0.3795549273490906,0.3890345990657806,0.0859375,0.046875,0.0859375,0.1796875,0.0859375,0.015625,0.1484375,0.0546875,0.1484375,0.1484375,26,UNO-S,57077.42578125,631.6448364257812,402.5409851074219,0.22448188066482544,0.22448188066482544,0.7755181193351746
28,21555.65234375,768.7908935546875,0.6438760161399841,0.1248115971684455,22449.254834473133,0.0048983097076416,0.3847079277038574,0.3954077363014221,0.09375,0.046875,0.0859375,0.1796875,0.0859375,0.015625,0.140625,0.0546875,0.1484375,0.1484375,27,UNO-S,62853.859375,676.8953247070312,425.2425537109375,0.2183602750301361,0.2183602750301361,0.7816396951675415
29,50656.921875,1400.7998046875,0.6455986499786377,0.0052388929761946,52062.960572663695,0.010221242904663,0.3903060853481293,0.3980435729026794,0.1015625,0.0546875,0.0859375,0.1796875,0.0859375,0.015625,0.1328125,0.0546875,0.140625,0.1484375,28,UNO-S,70635.421875,704.7033081054688,415.2551574707031,0.24137994647026062,0.24137994647026062,0.758620023727417
30,20969.1328125,747.6256103515625,0.6702881455421448,0.0477272607386112,21764.485683590177,0.0051419734954833,0.3936531245708465,0.398863136768341,0.1015625,0.0546875,0.0859375,0.1796875,0.09375,0.015625,0.1328125,0.0546875,0.140625,0.140625,29,UNO-S,69646.5078125,685.7890014648438,426.6098327636719,0.23805534839630127,0.23805534839630127,0.7619446516036987
31,50908.6015625,1386.263427734375,0.6921085119247437,0.0003333181375637,52295.19830837194,0.0109968185424804,0.3952513933181762,0.4013512134552002,0.1015625,0.0546875,0.0859375,0.1796875,0.09375,0.015625,0.1328125,0.046875,0.140625,0.1484375,30,UNO-S,75020.6640625,699.2215576171875,421.1843566894531,0.25473809242248535,0.25473809242248535,0.7452619075775146
32,22078.65625,746.51611328125,0.7280619144439697,0.0129865799099206,22838.15894319117,0.0060610771179199,0.3920080363750458,0.4077656269073486,0.09375,0.0546875,0.0859375,0.1796875,0.0859375,0.015625,0.140625,0.046875,0.140625,0.15625,31,UNO-S,84752.1875,722.2552490234375,459.4378967285156,0.25540733337402344,0.25540733337402344,0.7445926666259766
33,50309.38671875,1409.29931640625,0.7578703165054321,0.0132938623428344,51731.979897499084,0.0106439590454101,0.3882466852664947,0.4017407298088074,0.09375,0.0625,0.0859375,0.1796875,0.0859375,0.015625,0.140625,0.046875,0.1328125,0.15625,32,UNO-S,70924.8125,689.2501831054688,426.52484130859375,0.24125538766384125,0.24125538766384125,0.7587445974349976
34,21322.177734375,748.3213500976562,0.779715895652771,0.0398530699312686,22110.352154403925,0.0050749778747558,0.3870023488998413,0.4141147136688232,0.09375,0.0625,0.0859375,0.1796875,0.0859375,0.015625,0.140625,0.0546875,0.1328125,0.1484375,33,UNO-S,53950.3515625,639.1911010742188,421.5954284667969,0.20020170509815216,0.20020170509815216,0.799798309803009
35,51461.4375,1403.27294921875,0.7877458930015564,0.004383189138025,52869.093638356775,0.0101318359375,0.3858257532119751,0.4132552444934845,0.09375,0.0625,0.0859375,0.1796875,0.0859375,0.015625,0.140625,0.0546875,0.1328125,0.1484375,34,UNO-S,39572.94140625,617.6944580078125,412.2576599121094,0.1554017812013626,0.1554017812013626,0.8445982336997986
36,21198.580078125,749.330810546875,0.7961850166320801,0.0104448711499571,21958.355759821832,0.0053672790527343,0.3893384635448456,0.4053224325180053,0.1015625,0.0625,0.0859375,0.1796875,0.0859375,0.015625,0.140625,0.0546875,0.125,0.1484375,35,UNO-S,29606.494140625,586.21630859375,395.68267822265625,0.127638578414917,0.127638578414917,0.872361421585083
