State Step,Reference Log Step,Method,1 Fraction,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Full Dataset Cosine Distance
0,1,Retraining,0.078125,7174.974609375,116.74788665771484,112.23868560791016,0.5475561618804932,0.5475561618804932,0.45244383811950684
1,2,Retraining,0.0703125,-16751.17578125,304.6434326171875,217.43624877929688,-0.2528841197490692,0.2528841197490692,1.2528841495513916
2,3,Retraining,0.0546875,33620.16015625,435.7200012207031,265.10504150390625,0.29105448722839355,0.29105448722839355,0.7089455127716064
3,4,Retraining,0.03125,100737.1953125,477.29052734375,402.29620361328125,0.5246396064758301,0.5246396064758301,0.4753603935241699
4,5,Retraining,0.03125,111231.796875,532.7952880859375,444.5388488769531,0.4696332812309265,0.4696332812309265,0.5303667187690735
5,6,Retraining,0.03125,73099.9375,475.11456298828125,423.2238464355469,0.3635369837284088,0.3635369837284088,0.6364630460739136
6,7,Retraining,0.03125,27945.49609375,464.2133483886719,277.5947570800781,0.21686173975467682,0.21686173975467682,0.7831382751464844
7,8,Retraining,0.0390625,11992.3583984375,434.0771789550781,219.383544921875,0.1259312629699707,0.1259312629699707,0.8740687370300293
8,9,Retraining,0.0390625,7498.17333984375,399.8242492675781,252.9425048828125,0.07414203137159348,0.07414203137159348,0.9258579611778259
9,10,Retraining,0.0390625,10127.6865234375,371.74371337890625,318.71002197265625,0.08548127114772797,0.08548127114772797,0.9145187139511108
10,11,Retraining,0.0390625,10254.7275390625,341.45806884765625,350.99554443359375,0.08556283265352249,0.08556283265352249,0.9144371747970581
11,12,Retraining,0.03125,1693.361083984375,317.7705078125,321.9230651855469,0.016553271561861038,0.016553271561861038,0.9834467172622681
12,13,Retraining,0.03125,1137.9287109375,303.3698425292969,324.7878112792969,0.01154895406216383,0.01154895406216383,0.9884510636329651
13,14,Retraining,0.03125,2055.7021484375,302.24530029296875,299.1869201660156,0.022733069956302643,0.022733069956302643,0.9772669076919556
14,15,Retraining,0.03125,9810.2177734375,335.6871337890625,287.8802490234375,0.10151544213294983,0.10151544213294983,0.8984845876693726
15,16,Retraining,0.03125,30940.015625,450.37451171875,316.8879089355469,0.21679088473320007,0.21679088473320007,0.7832090854644775
16,17,Retraining,0.0234375,38307.4609375,495.3072509765625,326.0664367675781,0.23719337582588196,0.23719337582588196,0.7628066539764404
17,18,Retraining,0.015625,55559.3984375,552.4934692382812,367.6950378417969,0.2734907269477844,0.2734907269477844,0.7265092730522156
18,19,Retraining,0.015625,63557.015625,578.8810424804688,370.87548828125,0.2960370182991028,0.2960370182991028,0.7039629817008972
19,20,Retraining,0.015625,75398.9296875,593.5984497070312,399.7261657714844,0.31776776909828186,0.31776776909828186,0.6822322607040405
20,21,Retraining,0.015625,77820.5859375,551.0584106445312,406.5066833496094,0.34739944338798523,0.34739944338798523,0.6526005268096924
21,22,Retraining,0.015625,79569.640625,510.1753845214844,435.16717529296875,0.3584030270576477,0.3584030270576477,0.6415969729423523
22,23,Retraining,0.015625,83243.9453125,490.6387634277344,464.531982421875,0.36523735523223877,0.36523735523223877,0.6347626447677612
23,24,Retraining,0.015625,79078.8125,464.93145751953125,477.9732360839844,0.35585054755210876,0.35585054755210876,0.6441494226455688
24,25,Retraining,0.015625,65871.6953125,462.0713806152344,426.1622314453125,0.33451443910598755,0.33451443910598755,0.6654855608940125
25,26,Retraining,0.015625,69354.671875,472.0872497558594,424.9617614746094,0.3457034230232239,0.3457034230232239,0.6542965769767761
26,27,Retraining,0.015625,59320.53125,480.763427734375,407.09466552734375,0.3030945956707001,0.3030945956707001,0.6969053745269775
27,28,Retraining,0.015625,41892.51171875,447.319580078125,381.77886962890625,0.2453051060438156,0.2453051060438156,0.7546948790550232
28,29,Retraining,0.015625,53351.9375,506.97845458984375,417.5259704589844,0.2520444095134735,0.2520444095134735,0.7479555606842041
29,30,Retraining,0.015625,63615.12109375,530.5794677734375,476.628662109375,0.25155317783355713,0.25155317783355713,0.7484468221664429
30,31,Retraining,0.015625,71321.8515625,559.0682983398438,501.52520751953125,0.25436946749687195,0.25436946749687195,0.7456305027008057
31,32,Retraining,0.015625,68500.5390625,577.1771850585938,483.96197509765625,0.24522998929023743,0.24522998929023743,0.754770040512085
32,33,Retraining,0.0234375,72590.671875,594.65087890625,491.2652282714844,0.2484864890575409,0.2484864890575409,0.7515134811401367
33,34,Retraining,0.03125,76982.84375,612.854736328125,476.5398254394531,0.26359501481056213,0.26359501481056213,0.7364050149917603
34,35,Retraining,0.03125,96625.5234375,698.9342041015625,473.49542236328125,0.29197102785110474,0.29197102785110474,0.7080289721488953
35,36,Retraining,0.03125,113125.9296875,737.814697265625,506.50323486328125,0.302714079618454,0.302714079618454,0.6972858905792236
36,37,Retraining,0.03125,114118.8359375,741.746826171875,503.75628662109375,0.3054084777832031,0.3054084777832031,0.6945915222167969
37,38,Retraining,0.03125,118268.5234375,738.7652587890625,512.1992797851562,0.3125531077384949,0.3125531077384949,0.6874468922615051
38,39,Retraining,0.03125,134711.515625,769.0000610351562,528.8876953125,0.3312187194824219,0.3312187194824219,0.6687812805175781
39,40,Retraining,0.03125,135163.53125,762.4125366210938,505.66717529296875,0.35059425234794617,0.35059425234794617,0.6494057178497314
40,41,Retraining,0.03125,125708.765625,772.403564453125,480.2477111816406,0.3388878405094147,0.3388878405094147,0.6611121892929077
41,42,Retraining,0.03125,98948.75,748.728515625,441.83551025390625,0.2991061806678772,0.2991061806678772,0.7008938193321228
42,43,Retraining,0.03125,82714.9453125,702.6944580078125,433.6778869628906,0.27142518758773804,0.27142518758773804,0.728574812412262
43,44,Retraining,0.0234375,62350.06640625,643.1148071289062,403.44281005859375,0.2403070032596588,0.2403070032596588,0.7596930265426636
44,45,Retraining,0.0234375,70104.171875,619.5753784179688,428.6515808105469,0.26396438479423523,0.26396438479423523,0.7360355854034424
45,46,Retraining,0.0234375,83173.8828125,598.5767211914062,470.795166015625,0.2951447665691376,0.2951447665691376,0.70485520362854
46,47,Retraining,0.0234375,109361.3203125,639.3695678710938,515.7029418945312,0.33167463541030884,0.33167463541030884,0.6683253645896912
47,48,Retraining,0.0234375,111814.59375,626.747314453125,505.7394714355469,0.35275983810424805,0.35275983810424805,0.647240161895752
48,49,Retraining,0.0234375,107629.21875,602.939208984375,504.484619140625,0.3538414239883423,0.3538414239883423,0.6461585760116577
49,50,Retraining,0.0234375,91030.5703125,542.0443115234375,475.4063415527344,0.3532543182373047,0.3532543182373047,0.6467456817626953
50,51,Retraining,0.0234375,97447.0234375,542.1005249023438,502.6372375488281,0.35763019323349,0.35763019323349,0.64236980676651
51,52,Retraining,0.0234375,86254.15625,510.37139892578125,503.4234924316406,0.33570683002471924,0.33570683002471924,0.6642931699752808
52,53,Retraining,0.0234375,76026.25,516.7394409179688,493.0318298339844,0.2984125018119812,0.2984125018119812,0.7015874981880188
