Step,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Time,Entropy,Margin,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction
1,21949.87109375,765.1376953125,1.3790369033813477,0.1496879607439041,22715.0087890625,0.006237030029296875,0.3532372713088989,0.3333163261413574,0.109375,0.09375,0.046875,0.140625,0.03125,0.0078125,0.15625,0.078125,0.1953125,0.140625
2,23112.44140625,761.15283203125,1.3793210983276367,0.041990067809820175,23873.59423828125,0.005156040191650391,0.3623374104499817,0.34432196617126465,0.1171875,0.09375,0.046875,0.1171875,0.03125,0.0,0.15625,0.0703125,0.21875,0.1484375
3,22333.89453125,743.5684814453125,1.1996897459030151,0.02572287991642952,23077.463012695312,0.005251407623291016,0.3751145303249359,0.3575569689273834,0.125,0.09375,0.046875,0.125,0.046875,0.0,0.15625,0.0703125,0.203125,0.1328125
4,22904.32421875,750.762939453125,1.0162043571472168,0.0009381687268614769,23655.087158203125,0.005324125289916992,0.3794938027858734,0.3706687092781067,0.125,0.078125,0.046875,0.125,0.046875,0.0,0.15625,0.0625,0.2109375,0.1484375
5,21694.34765625,735.2276611328125,0.8735201358795166,0.1059727817773819,22429.575317382812,0.005198240280151367,0.38736867904663086,0.37868553400039673,0.125,0.0625,0.046875,0.1328125,0.046875,0.0,0.15625,0.0625,0.21875,0.1484375
6,24703.08203125,749.646240234375,0.7608970999717712,0.023618627339601517,25452.728271484375,0.00514674186706543,0.40093398094177246,0.3875143527984619,0.1328125,0.0625,0.046875,0.140625,0.046875,0.0,0.15625,0.0625,0.203125,0.1484375
7,21826.953125,752.0546875,0.6778874397277832,0.010982283391058445,22579.0078125,0.004950046539306641,0.4093438982963562,0.39211881160736084,0.1328125,0.0390625,0.046875,0.140625,0.03125,0.0,0.15625,0.0625,0.21875,0.171875
8,20835.53515625,761.0657348632812,0.6342431902885437,0.21787472069263458,21596.60089111328,0.005143165588378906,0.4125952124595642,0.3906363248825073,0.1328125,0.0390625,0.046875,0.140625,0.03125,0.0,0.15625,0.0625,0.21875,0.171875
9,23090.79296875,774.5172729492188,0.6008889675140381,0.03108019195497036,23865.31024169922,0.0051021575927734375,0.41729527711868286,0.40172478556632996,0.140625,0.0390625,0.046875,0.140625,0.03125,0.0,0.15625,0.0625,0.203125,0.1796875
10,21787.373046875,770.786865234375,0.5742871761322021,0.037633974105119705,22558.159912109375,0.005101919174194336,0.422462522983551,0.40505897998809814,0.1484375,0.0390625,0.0546875,0.1328125,0.046875,0.0,0.1484375,0.0625,0.1953125,0.171875
11,22757.701171875,767.122802734375,0.5668272376060486,0.14027279615402222,23524.823974609375,0.005410671234130859,0.42102110385894775,0.40775227546691895,0.140625,0.0390625,0.0625,0.1328125,0.0390625,0.0,0.1484375,0.0625,0.203125,0.171875
12,21571.697265625,772.9329223632812,0.6075554490089417,0.10638752579689026,22344.63018798828,0.004763364791870117,0.42213213443756104,0.39846208691596985,0.1484375,0.0390625,0.0625,0.140625,0.046875,0.0,0.140625,0.0625,0.1953125,0.1640625
13,21969.17578125,772.998779296875,0.6695942878723145,0.005976599641144276,22742.174560546875,0.004900217056274414,0.4208371639251709,0.3883615732192993,0.1484375,0.046875,0.0625,0.140625,0.0390625,0.0,0.140625,0.0625,0.1953125,0.1640625
14,21023.7265625,759.146484375,0.7708904147148132,0.035422686487436295,21782.873046875,0.004830360412597656,0.4193271994590759,0.37863287329673767,0.140625,0.046875,0.0546875,0.1484375,0.0234375,0.0,0.140625,0.0625,0.2109375,0.171875
15,20690.7890625,775.5055541992188,0.8812202215194702,0.03769279271364212,21466.29461669922,0.0058519840240478516,0.4142987132072449,0.37219008803367615,0.140625,0.0703125,0.0546875,0.140625,0.0234375,0.0,0.140625,0.0625,0.1953125,0.171875
16,23644.44140625,759.3487548828125,0.9889994859695435,7.261714927153662e-05,24403.790161132812,0.004770755767822266,0.40968313813209534,0.3597494661808014,0.140625,0.0703125,0.0546875,0.140625,0.0234375,0.0,0.140625,0.0625,0.1953125,0.171875
17,20998.87109375,754.6348266601562,1.0569941997528076,0.09487118571996689,21753.505920410156,0.0062258243560791016,0.40204566717147827,0.3600429594516754,0.140625,0.0703125,0.0546875,0.140625,0.015625,0.0,0.140625,0.0625,0.203125,0.171875
18,20948.705078125,764.009521484375,1.077936053276062,0.08602764457464218,21712.714599609375,0.005227804183959961,0.3996020555496216,0.36361759901046753,0.1328125,0.0703125,0.0546875,0.140625,0.0234375,0.0,0.140625,0.0625,0.2109375,0.1640625
19,20626.21875,759.069091796875,1.097604751586914,0.0011101620038971305,21385.287841796875,0.0054738521575927734,0.3980832099914551,0.3678411543369293,0.1328125,0.0703125,0.0546875,0.140625,0.0234375,0.0,0.140625,0.0546875,0.2109375,0.171875
20,21867.205078125,759.1793212890625,1.098677158355713,0.0027385407593101263,22626.384399414062,0.004891157150268555,0.39824026823043823,0.3740669786930084,0.1328125,0.0703125,0.0546875,0.140625,0.03125,0.0,0.140625,0.0546875,0.2109375,0.1640625
21,21296.46875,743.6841430664062,1.0724961757659912,0.00031350037897937,22040.152893066406,0.004969120025634766,0.39844995737075806,0.37169909477233887,0.1328125,0.0703125,0.0546875,0.140625,0.03125,0.0,0.140625,0.0625,0.2109375,0.15625
22,20696.806640625,760.2733154296875,1.043380856513977,0.0016025957884266973,21457.079956054688,0.004974842071533203,0.402731716632843,0.37383055686950684,0.1328125,0.078125,0.0546875,0.140625,0.0390625,0.0,0.140625,0.0625,0.1953125,0.15625
23,21490.1953125,749.6746215820312,1.0131789445877075,0.0010926109971478581,22239.86993408203,0.005176067352294922,0.4031616151332855,0.3829936683177948,0.1328125,0.078125,0.0546875,0.140625,0.0546875,0.0,0.1328125,0.0625,0.1953125,0.1484375
24,20544.765625,752.2622680664062,0.9816906452178955,3.009988176927436e-05,21297.027893066406,0.005390167236328125,0.4026362895965576,0.38576218485832214,0.1328125,0.078125,0.0546875,0.140625,0.046875,0.0,0.1328125,0.0625,0.1953125,0.15625
25,22399.66015625,746.4825439453125,0.9609401226043701,0.01552597526460886,23146.142700195312,0.004887104034423828,0.4029352366924286,0.391382098197937,0.125,0.078125,0.0546875,0.140625,0.0546875,0.0,0.140625,0.0625,0.1875,0.15625
