Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
0,None (initial state),1.0,UNO,UNO,46600.5625,1469.882080078125,0.7663294076919556,0.001916104811243713,24286.611328125,79781264.0,19648.888671875,92758.421875,0.043773334473371506,0.04588319733738899,0.9541168212890625,0.02834150000126101,0.078125,0.0625,0.1015625,0.1328125,0.09375,0.015625,0.125,0.0703125,0.2109375,0.109375,0.9375
1,UNO,2.0,UNO,UNO,46956.1171875,1485.852294921875,0.8803945779800415,0.05077684298157692,75717.484375,-737947264.0,74654.6171875,43866.78515625,-0.2253371775150299,0.054506558924913406,0.9454934597015381,0.023557583015644923,0.078125,0.0625,0.1015625,0.140625,0.109375,0.015625,0.125,0.0703125,0.203125,0.09375,0.9375
2,UNO,3.0,UNO,UNO,55623.5625,1486.004150390625,0.964205265045166,0.19629845023155212,225186.828125,7025496064.0,103163.5390625,153706.546875,0.44305580854415894,0.06031414866447449,0.9396858215332031,0.021483124990481883,0.0859375,0.0625,0.1015625,0.1484375,0.125,0.0234375,0.1171875,0.0625,0.171875,0.1015625,0.9375
3,UNO,4.0,UNO,UNO,64986.5234375,1495.214599609375,1.0374672412872314,0.15151828527450562,183399.109375,7316529664.0,115108.3203125,163292.390625,0.38925349712371826,0.0647854432463646,0.9352145791053772,0.021076249977340922,0.09375,0.0625,0.1015625,0.1484375,0.125,0.0234375,0.1015625,0.0625,0.1796875,0.1015625,0.9375
4,UNO,5.0,UNO,UNO,71633.09375,1509.9862060546875,1.105331301689148,0.18608300387859344,220580.375,6592465408.0,110607.890625,138168.296875,0.43137338757514954,0.06868968158960342,0.9313102960586548,0.02056691699544899,0.09375,0.0703125,0.1015625,0.1484375,0.1328125,0.0234375,0.09375,0.0546875,0.1796875,0.1015625,0.9296875
5,UNO,6.0,UNO,UNO,75888.515625,1529.2763671875,1.1626259088516235,0.21086981892585754,246814.65625,6404261888.0,110687.5703125,125997.796875,0.45920562744140625,0.0718255490064621,0.9281744360923767,0.01986787500209175,0.09375,0.078125,0.09375,0.1484375,0.1328125,0.015625,0.1015625,0.0546875,0.1796875,0.1015625,0.921875
6,UNO,7.0,UNO,UNO,79010.25,1553.3756103515625,1.2060095071792603,0.22116218507289886,258749.5625,5576176640.0,103135.6875,114966.7109375,0.4702788293361664,0.07408120483160019,0.9259188175201416,0.016898958012461662,0.09375,0.0703125,0.09375,0.1484375,0.1328125,0.015625,0.1015625,0.0546875,0.1875,0.1015625,0.9296875
7,UNO,8.0,UNO,UNO,80258.1171875,1578.2642822265625,1.2302660942077637,0.20452721416950226,243281.828125,5296779776.0,100758.390625,116239.90625,0.45224684476852417,0.07519564777612686,0.9248043298721313,0.016212667018407956,0.1015625,0.0703125,0.09375,0.15625,0.1328125,0.0,0.0859375,0.0546875,0.203125,0.1015625,0.9296875
8,UNO,9.0,UNO,UNO,80997.53125,1605.44189453125,1.2381832599639893,0.16270007193088531,202602.28125,4541743104.0,97851.953125,115069.2265625,0.4033609628677368,0.07537630200386047,0.9246237277984619,0.015659833006793633,0.1015625,0.0703125,0.09375,0.1484375,0.1328125,0.0,0.078125,0.0546875,0.21875,0.1015625,0.9296875
9,UNO,10.0,UNO,UNO,82123.4375,1633.064453125,1.237260103225708,0.10821546614170074,149168.03125,3603572480.0,97220.4296875,112675.9296875,0.32896119356155396,0.07503277063369751,0.9249672293663025,0.01589604202308692,0.09375,0.0703125,0.09375,0.1484375,0.1328125,0.0,0.0859375,0.0625,0.21875,0.09375,0.9296875
