Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
0,None (initial state),1.0,UNO,UNO-S,46600.5625,1469.882080078125,0.7663294076919556,0.001916104811243713,24286.611328125,79781264.0,19648.888671875,92758.421875,0.043773334473371506,0.04588319733738899,0.9541168212890625,0.02519524999661371,0.078125,0.0625,0.1015625,0.1328125,0.09375,0.015625,0.125,0.0703125,0.2109375,0.109375,0.9375
1,UNO,2.0,S,UNO-S,46956.1171875,1485.852294921875,0.8803945779800415,0.05077684298157692,24940.642578125,-737947264.0,74654.6171875,43866.78515625,-0.2253371775150299,0.054506558924913406,0.9454934597015381,0.011491499986732379,0.078125,0.0625,0.1015625,0.140625,0.109375,0.015625,0.125,0.0703125,0.203125,0.09375,0.9375
2,S,3.0,UNO,UNO-S,51028.3125,1503.8975830078125,0.954055666923523,0.039959345012903214,69013.09375,1131522304.0,109836.2109375,51535.73046875,0.19989833235740662,0.05944445729255676,0.9405555725097656,0.021921667008427903,0.078125,0.0625,0.1015625,0.140625,0.125,0.0234375,0.125,0.0625,0.1796875,0.1015625,0.9375
3,UNO,4.0,S,UNO-S,52367.23046875,1518.5118408203125,0.9497393369674683,0.2952910363674164,28842.03515625,-4423868416.0,103660.765625,78534.890625,-0.5434068441390991,0.0589170940220356,0.9410828948020935,0.01065179199213162,0.078125,0.0625,0.1015625,0.1484375,0.125,0.015625,0.125,0.0625,0.1796875,0.1015625,0.9375
4,S,5.0,UNO,UNO-S,56089.9140625,1536.12060546875,0.9423476457595825,0.27740734815597534,306192.5,-5597318144.0,96639.8515625,109967.625,-0.5266947150230408,0.05810585618019104,0.9418941736221313,0.01951970800291747,0.078125,0.0625,0.1015625,0.140625,0.125,0.015625,0.125,0.0625,0.1875,0.1015625,0.9375
5,UNO,6.0,S,UNO-S,60116.38671875,1551.988037109375,0.933742880821228,0.16055874526500702,29295.23828125,-4469493248.0,100894.25,110554.09375,-0.40069782733917236,0.057499561458826065,0.9425004124641418,0.011925625003641471,0.078125,0.0625,0.1015625,0.140625,0.125,0.015625,0.125,0.0703125,0.1875,0.09375,0.9375
6,S,7.0,UNO,UNO-S,64179.65625,1569.830078125,0.9192434549331665,0.12103225290775299,151169.65625,-3437690880.0,97051.0859375,101815.9609375,-0.34789690375328064,0.056413501501083374,0.9435864686965942,0.017075082985684276,0.0859375,0.0625,0.1015625,0.140625,0.125,0.015625,0.1171875,0.0703125,0.1875,0.09375,0.9375
7,UNO,8.0,S,UNO-S,68813.4375,1591.33642578125,0.8891619443893433,0.05739101767539978,31539.919921875,-2637972992.0,108287.6640625,101687.9375,-0.2395642250776291,0.05415301024913788,0.9458469748497009,0.012111417017877102,0.0859375,0.0625,0.1015625,0.1171875,0.140625,0.0234375,0.1171875,0.0703125,0.203125,0.078125,0.9375
8,S,9.0,UNO,UNO-S,72934.359375,1613.56884765625,0.8575706481933594,0.03724846616387367,70014.109375,-1969498880.0,102970.734375,99103.21875,-0.19299861788749695,0.0516962856054306,0.9483036994934082,0.01975829101866111,0.0859375,0.0625,0.1015625,0.109375,0.1484375,0.0234375,0.1171875,0.0703125,0.2109375,0.0703125,0.9375
9,UNO,10.0,S,UNO-S,77595.6484375,1636.00439453125,0.8065655827522278,0.020758401602506638,34181.34375,-1416449920.0,107756.8828125,91234.5390625,-0.14407776296138763,0.04780224338173866,0.9521977305412292,0.01158833401859738,0.0859375,0.0625,0.1015625,0.1015625,0.1484375,0.0234375,0.1171875,0.0703125,0.21875,0.0703125,0.9375
10,S,11.0,UNO,UNO-S,82180.890625,1658.451904296875,0.7615399360656738,0.013712367042899132,49300.41796875,-1067547712.0,103356.453125,88205.0546875,-0.1170998141169548,0.044192180037498474,0.9558078050613403,0.03463020900380798,0.0859375,0.0625,0.1015625,0.09375,0.1484375,0.0234375,0.1171875,0.0703125,0.2265625,0.0703125,0.9375
11,UNO,12.0,S,UNO-S,85343.640625,1680.92138671875,0.7157077789306641,0.0029312516562640667,36932.421875,-482069504.0,103630.96875,85919.859375,-0.05414103344082832,0.04037077724933624,0.959629237651825,0.010792666987981647,0.078125,0.0625,0.1015625,0.0859375,0.15625,0.015625,0.125,0.0703125,0.2421875,0.0625,0.9375
