Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
0,None (initial state),1.0,Retraining,Retraining,46600.5625,1469.882080078125,0.7663294076919556,0.001916104811243713,22370.505859375,79781264.0,19648.888671875,92758.421875,0.043773334473371506,0.04588319733738899,0.9541168212890625,0.011907958018127829,0.078125,0.0625,0.1015625,0.1328125,0.09375,0.015625,0.125,0.0703125,0.2109375,0.109375,0.9375
1,Retraining,2.0,Retraining,Retraining,46588.2265625,1458.130126953125,0.6784965395927429,0.034415628761053085,21722.619140625,-587423488.0,38404.48828125,82450.15625,-0.18551449477672577,0.040427058935165405,0.9595729112625122,0.009260207996703684,0.0703125,0.0546875,0.1015625,0.1328125,0.109375,0.0234375,0.1328125,0.0703125,0.2109375,0.09375,0.9453125
2,Retraining,3.0,Retraining,Retraining,47508.1171875,1460.173828125,0.6420260071754456,0.07299906015396118,20902.3671875,500199232.0,20049.392578125,92338.59375,0.27018338441848755,0.03835715353488922,0.961642861366272,0.008585832983953878,0.0703125,0.0546875,0.1015625,0.125,0.109375,0.0234375,0.1328125,0.0703125,0.2109375,0.1015625,0.9453125
3,Retraining,4.0,Retraining,Retraining,47468.26171875,1467.436279296875,0.6020659804344177,0.11155303567647934,20504.3671875,567007296.0,19058.83984375,89074.125,0.3339955508708954,0.03602270036935806,0.9639772772789001,0.00889608301804401,0.0703125,0.046875,0.1015625,0.140625,0.1015625,0.015625,0.1328125,0.0703125,0.203125,0.1171875,0.953125
4,Retraining,5.0,Retraining,Retraining,47558.109375,1471.9501953125,0.5536355972290039,0.0004302720190025866,20372.625,-28562100.0,17591.92578125,78271.78125,-0.020742999389767647,0.03282848745584488,0.9671714901924133,0.00889716699020937,0.0859375,0.046875,0.1015625,0.140625,0.09375,0.0078125,0.125,0.0703125,0.203125,0.125,0.953125
5,Retraining,6.0,Retraining,Retraining,47509.1328125,1477.8526611328125,0.515500009059906,0.01643085852265358,20142.623046875,-128483240.0,13416.392578125,74710.328125,-0.12818290293216705,0.030100032687187195,0.9698999524116516,0.009534833021461964,0.09375,0.046875,0.1015625,0.140625,0.078125,0.0078125,0.1171875,0.0703125,0.203125,0.140625,0.953125
6,Retraining,7.0,Retraining,Retraining,46876.609375,1486.1544189453125,0.5036982297897339,0.07637923955917358,19960.025390625,-288859392.0,13409.30078125,77945.7734375,-0.2763679325580597,0.02910454571247101,0.9708954691886902,0.009652208012994379,0.0859375,0.046875,0.1015625,0.1640625,0.078125,0.015625,0.1171875,0.0703125,0.1796875,0.140625,0.953125
7,Retraining,8.0,Retraining,Retraining,47469.125,1492.20458984375,0.5145245790481567,0.05100320279598236,19811.95703125,-233980848.0,12558.37890625,82498.8671875,-0.22583888471126556,0.02965812385082245,0.9703418612480164,0.00896337500307709,0.0703125,0.046875,0.1015625,0.1640625,0.078125,0.015625,0.1328125,0.0703125,0.1796875,0.140625,0.953125
8,Retraining,9.0,Retraining,Retraining,47296.4140625,1497.439208984375,0.5475384593009949,0.0128859244287014,19688.626953125,80488800.0,8350.783203125,84908.3671875,0.1135161817073822,0.03173984959721565,0.9682601690292358,0.008843540999805555,0.0703125,0.046875,0.1015625,0.1640625,0.078125,0.015625,0.1328125,0.0703125,0.1796875,0.140625,0.953125
9,Retraining,10.0,Retraining,Retraining,46967.79296875,1502.341796875,0.5888983607292175,0.0510881170630455,19656.130859375,298048704.0,15322.912109375,86056.953125,0.22602680325508118,0.03447047621011734,0.9655295014381409,0.011002916988218203,0.0625,0.046875,0.1015625,0.1640625,0.0703125,0.015625,0.140625,0.0703125,0.1796875,0.1484375,0.953125
10,Retraining,11.0,Retraining,Retraining,47242.296875,1506.8135986328125,0.6153863072395325,0.09786328673362732,19598.23046875,364562912.0,12956.7822265625,89942.59375,0.3128310739994049,0.036226071417331696,0.9637739062309265,0.010920792003162205,0.0625,0.046875,0.1015625,0.1640625,0.0703125,0.015625,0.140625,0.0703125,0.1796875,0.1484375,0.953125
11,Retraining,12.0,Retraining,Retraining,46968.02734375,1511.14501953125,0.6254749298095703,0.02855807915329933,19442.322265625,148312896.0,9379.26953125,93571.890625,0.168991357088089,0.036861058324575424,0.9631389379501343,0.011104792007245123,0.078125,0.046875,0.1015625,0.1640625,0.0703125,0.015625,0.125,0.0703125,0.1796875,0.1484375,0.953125
12,Retraining,13.0,Retraining,Retraining,46749.92578125,1514.74267578125,0.6153542399406433,0.05570162832736969,19327.693359375,-170904064.0,8178.65185546875,88539.421875,-0.23601192235946655,0.036094993352890015,0.9639049768447876,0.01043291701353155,0.078125,0.0546875,0.1015625,0.1640625,0.0703125,0.015625,0.125,0.0703125,0.171875,0.1484375,0.9453125
13,Retraining,14.0,Retraining,Retraining,46723.875,1517.4952392578125,0.5973847508430481,0.010395810939371586,19280.849609375,-95608464.0,11109.1669921875,84408.390625,-0.10195984691381454,0.03469967842102051,0.9653003215789795,0.011698499991325662,0.0859375,0.046875,0.1015625,0.1640625,0.0703125,0.015625,0.1171875,0.0703125,0.1796875,0.1484375,0.953125
14,Retraining,15.0,Retraining,Retraining,46510.96875,1519.9888916015625,0.5799485445022583,0.03883105143904686,19157.41796875,-113060248.0,7118.1708984375,80603.1484375,-0.19705595076084137,0.03327392041683197,0.9667260646820068,0.012592499988386407,0.0859375,0.046875,0.1015625,0.1640625,0.0703125,0.015625,0.1171875,0.0703125,0.1796875,0.1484375,0.953125
15,Retraining,16.0,Retraining,Retraining,46546.80078125,1519.439208984375,0.5736240744590759,0.10906565189361572,19130.400390625,-203365248.0,7284.4453125,84534.921875,-0.33025088906288147,0.03256301209330559,0.9674369692802429,0.014858125010505319,0.09375,0.046875,0.1015625,0.1640625,0.0625,0.015625,0.109375,0.0703125,0.1875,0.1484375,0.953125
16,Retraining,17.0,Retraining,Retraining,46331.9296875,1517.8330078125,0.5755636692047119,0.009689828380942345,19043.828125,-47177964.0,5865.41357421875,81711.3671875,-0.09843692183494568,0.03247045353055,0.9675295352935791,0.013437458022963256,0.09375,0.046875,0.1015625,0.1640625,0.0546875,0.015625,0.109375,0.0703125,0.1875,0.15625,0.953125
17,Retraining,18.0,Retraining,Retraining,46619.9453125,1513.7890625,0.5860888957977295,0.005870750639587641,19025.556640625,-37234344.0,5840.556640625,83203.703125,-0.07662082463502884,0.03303001821041107,0.9669699668884277,0.012246333004441112,0.078125,0.0546875,0.1015625,0.1640625,0.0546875,0.015625,0.125,0.0625,0.1796875,0.1640625,0.9453125
18,Retraining,19.0,Retraining,Retraining,46950.6171875,1510.5018310546875,0.5912274122238159,0.04591038078069687,18972.0703125,158379360.0,7832.6484375,94370.109375,0.2142670750617981,0.033320508897304535,0.9666795134544373,0.014652332989498973,0.078125,0.0546875,0.1015625,0.1640625,0.0546875,0.015625,0.125,0.0625,0.1796875,0.1640625,0.9453125
19,Retraining,20.0,Retraining,Retraining,47122.11328125,1507.068603515625,0.5906866788864136,0.023882046341896057,18951.98828125,100389000.0,7103.82421875,91444.6328125,0.15453816950321198,0.03332828730344772,0.9666717052459717,0.016765917011070997,0.078125,0.0546875,0.1015625,0.1640625,0.0546875,0.015625,0.125,0.0625,0.1796875,0.1640625,0.9453125
20,Retraining,21.0,Retraining,Retraining,47176.62890625,1505.171142578125,0.5789440870285034,0.08739331364631653,18884.2890625,181792464.0,6317.8544921875,97334.578125,0.2956236004829407,0.03268187865614891,0.9673181176185608,0.02337874998920597,0.078125,0.0546875,0.1015625,0.1640625,0.0546875,0.015625,0.125,0.0625,0.1796875,0.1640625,0.9453125
21,Retraining,22.0,Retraining,Retraining,46928.859375,1502.671875,0.5619204044342041,0.0021965152118355036,18834.892578125,-28321520.0,6565.81982421875,92036.5625,-0.046866994351148605,0.0316741056740284,0.9683259129524231,0.01697891700314358,0.078125,0.0546875,0.1015625,0.1640625,0.0546875,0.015625,0.125,0.0625,0.1796875,0.1640625,0.9453125
22,Retraining,23.0,Retraining,Retraining,46811.2890625,1500.2767333984375,0.5435882210731506,0.00048760612844489515,18795.84765625,10673760.0,5169.9873046875,93496.0703125,0.022081805393099785,0.030542636290192604,0.9694573879241943,0.012370082986308262,0.078125,0.046875,0.1015625,0.1640625,0.0546875,0.015625,0.125,0.0625,0.1875,0.1640625,0.953125
