Step,Update,Next Update Number,Next Update,Method,Reconstruction Loss,KL Loss,Uniformity Loss,Orthogonality Loss,Total Loss,Gradient Dot Product,Retain Gradient Norm,Forget Gradient Norm,Cosine Similarity,Absolute Cosine Similarity,Full Dataset Gradient Dot Product,Full Dataset Retain Gradient Norm,Full Dataset Forget Gradient Norm,Full Dataset Cosine Similarity,Absolute Full Dataset Cosine Similarity,Mean 1 Probability,1 - Mean 1 Probability,Time,0 Fraction,1 Fraction,2 Fraction,3 Fraction,4 Fraction,5 Fraction,6 Fraction,7 Fraction,8 Fraction,9 Fraction,1 - Fraction
0,None (initial state),1.0,UNO,UNO,46574.9921875,1483.72216796875,0.7663294076919556,0.0038297255523502,22693.375,-86540464.0,19739.04296875,70845.015625,-0.0618847757577896,0.0618847757577896,7383.72265625,116.76532745361328,117.35769653320312,0.5388277173042297,0.5388277173042297,0.0458831973373889,0.9541168212890624,1.1047861249826385,0.078125,0.0625,0.1015625,0.1328125,0.09375,0.015625,0.125,0.0703125,0.2109375,0.109375,0.9375
1,UNO,2.0,UNO,UNO,48098.22265625,1479.15576171875,0.6356833577156067,0.0114684207364916,23055.728515625,-212461200.0,26750.734375,74163.8203125,-0.1070907115936279,0.1070907115936279,148601.484375,802.9813842773438,349.7120361328125,0.5291844010353088,0.5291844010353088,0.037789799273014,0.962210178375244,0.9784181659924798,0.078125,0.046875,0.1015625,0.1328125,0.0859375,0.0234375,0.125,0.0703125,0.21875,0.1171875,0.953125
2,UNO,3.0,UNO,UNO,51654.1484375,1477.88916015625,0.5191739201545715,0.0554131865501403,24773.93359375,351765248.0,23874.43359375,62591.203125,0.2354000508785247,0.2354000508785247,241982.96875,859.5086059570312,494.26361083984375,0.5696077942848206,0.5696077942848206,0.0304483119398355,0.969551682472229,1.0505973330000415,0.078125,0.0390625,0.1015625,0.125,0.09375,0.0234375,0.125,0.0703125,0.2265625,0.1171875,0.9609375
3,UNO,4.0,UNO,UNO,53021.84375,1486.4720458984375,0.5031650066375732,0.1944170594215393,24028.287109375,609148096.0,25279.884765625,54648.80078125,0.440927505493164,0.440927505493164,207402.875,860.62548828125,478.7703552246094,0.5033536553382874,0.5033536553382874,0.030010562390089,0.9699894189834596,0.9120723329833708,0.078125,0.0390625,0.1015625,0.1171875,0.1171875,0.0234375,0.1328125,0.0703125,0.21875,0.1015625,0.9609375
4,UNO,5.0,UNO,UNO,49865.59375,1468.668212890625,0.5460683107376099,0.0047641242854297,22796.662109375,97147824.0,29621.759765625,47514.98828125,0.0690226331353187,0.0690226331353187,173813.671875,831.097412109375,559.5551147460938,0.3737567961215973,0.3737567961215973,0.0330648832023143,0.966935098171234,0.9232523329847028,0.1015625,0.046875,0.109375,0.1171875,0.125,0.015625,0.109375,0.0703125,0.2109375,0.09375,0.953125
5,UNO,6.0,UNO,UNO,54757.50390625,1457.023193359375,0.5895510911941528,0.1212483644485473,25225.181640625,-556855872.0,25152.3359375,63580.87890625,-0.3482073545455932,0.3482073545455932,142581.734375,757.8350830078125,513.51318359375,0.366384893655777,0.366384893655777,0.0360069945454597,0.9639930129051208,0.9913648340152575,0.1015625,0.046875,0.109375,0.125,0.125,0.015625,0.109375,0.0703125,0.203125,0.09375,0.953125
6,UNO,7.0,UNO,UNO,50111.578125,1464.758544921875,0.5743685960769653,0.0351066328585147,22385.75390625,-235646608.0,26882.720703125,46783.57421875,-0.187367632985115,0.187367632985115,132699.015625,696.0090942382812,526.0221557617188,0.3624504804611206,0.3624504804611206,0.0348624661564827,0.965137541294098,0.9240002909791656,0.109375,0.046875,0.109375,0.125,0.125,0.0078125,0.109375,0.0703125,0.203125,0.09375,0.953125
7,UNO,8.0,UNO,UNO,49830.76171875,1445.202392578125,0.5790266394615173,0.0017060468671843,22317.177734375,-53626080.0,20991.193359375,61850.54296875,-0.0413043200969696,0.0413043200969696,121857.484375,649.0560302734375,516.2733154296875,0.3636556565761566,0.3636556565761566,0.0351878777146339,0.9648120999336244,0.9313049170013984,0.1015625,0.046875,0.109375,0.125,0.125,0.015625,0.109375,0.0703125,0.203125,0.09375,0.953125
8,UNO,9.0,UNO,UNO,51087.3984375,1431.6083984375,0.5723822712898254,0.0022987907286733,22580.541015625,73745664.0,24772.13671875,62090.24609375,0.0479457043111324,0.0479457043111324,116925.84375,665.988525390625,490.6180419921875,0.3578493893146515,0.3578493893146515,0.0346412137150764,0.9653587937355042,1.0140087920008227,0.1015625,0.046875,0.109375,0.125,0.125,0.015625,0.109375,0.0703125,0.203125,0.09375,0.953125
9,UNO,10.0,UNO,UNO,50200.95703125,1410.5703125,0.5576409697532654,0.0407428331673145,23102.564453125,242156832.0,18006.90234375,66624.1953125,0.2018485367298126,0.2018485367298126,112513.9140625,674.3707885742188,463.8522033691406,0.3596895933151245,0.3596895933151245,0.0335791371762752,0.9664208889007568,1.136841415980598,0.09375,0.0546875,0.109375,0.125,0.1171875,0.015625,0.1171875,0.0703125,0.1953125,0.1015625,0.9453125
